test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
2122,0,10.0,10.0,1.0,13.0,1.0,2.0,3.0,17.0,0.0,37.0,28.0,0.06,1.0,93.0,3.0,2.0,32.0,2.0,4.86538461538461,1.0,7.98076923076923,0.0,0.0,0.981990521327014,0.933333333333333,1.0,0.51,0.49,2,4472135954999.579
101,0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,6.0,7.0,1.0,0.09,0.0,91.0,2.0,0.0,31.0,1.0,5.70588235294118,1.0,7.91176470588235,1.0,0.0,0.353146853146853,0.0,1.0,0.54,0.46,3,1054092553389.4596
132,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,65.0,0.1,0.0,0.0,1.0,20.0,28.0,2.0,3.70769230769231,1.0,0.0,1.0,0.0,0.660714285714286,1.0,0.0,0.5,0.5,3,3000000000000.0
147,0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,64.0,0.11,0.0,0.0,1.0,2.0,28.0,2.0,3.72222222222222,0.0,0.40625,0.0,0.0,0.654605263157895,1.0,2.0,0.5,0.5,2,2000000000000.0
148,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,65.0,0.09,0.0,0.0,1.0,2.0,29.0,2.0,0.984615384615385,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,4,3000000000000.0
153,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,71.0,0.09,0.0,88.0,1.0,0.0,25.0,2.0,3.29166666666667,1.0,1.0,1.0,0.0,0.96551724137931,0.666666666666667,1.0,0.5,0.5,4,2000000000000.0
181,0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,13.0,29.0,12.0,14.0,0.04,0.0,0.0,3.0,6.0,22.0,2.0,3.73913043478261,0.0,3.41304347826087,0.0,0.0,0.472118959107807,0.333333333333333,0.0,0.5,0.5,2,2000000000000.0
193,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,67.0,0.1,0.0,94.0,1.0,3.0,28.0,2.0,3.6865671641791,0.0,1.0,1.0,0.0,0.825,1.0,0.0,0.5,0.5,4,3162277660168.3794
199,0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,9.0,43.0,0.0,0.4,0.0,97.0,1.0,2.0,29.0,2.0,3.0,0.0,2.01052631578947,0.0,0.0,0.578005115089514,0.0,0.0,0.53,0.47,3,2061552812808.8303
203,0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,12.0,50.0,0.35,0.0,93.0,1.0,5.0,14.0,2.0,2.80769230769231,0.0,1.19230769230769,0.0,0.0,0.968354430379747,1.0,1.0,0.5,0.5,4,3464101615137.7544
204,0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,8.0,8.0,0.0,0.12,0.0,82.0,2.0,2.0,0.0,2.0,3.53333333333333,0.0,3.96666666666667,0.0,0.0,0.636075949367089,1.0,2.0,0.5,0.5,2,5.425121863397867
205,0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,6.0,12.0,1.0,0.17,0.0,87.0,2.0,0.0,20.0,2.0,4.02777777777778,0.0,6.08333333333333,1.0,0.0,0.75992438563327,0.0,1.0,0.51,0.49,3,1118033988749.8948
215,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,65.0,0.12,0.0,53.0,1.0,4.0,0.0,2.0,1.89393939393939,1.0,1.5,1.0,0.0,0.334365325077399,0.0,1.0,0.51,0.49,3,500000000000.0
218,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,7.0,6.0,1.0,0.11,0.0,83.0,3.0,0.0,26.0,2.0,4.53846153846154,0.0,5.5,0.0,0.0,0.252747252747253,0.0,0.0,0.54,0.46,3,2061552812808.8303
271,0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,11.0,14.0,34.0,0.19,0.0,0.0,2.0,2.0,27.0,2.0,4.14893617021277,0.0,5.36170212765957,0.0,0.0,0.347517730496454,0.5,0.0,0.53,0.47,2,2000000000000.0
272,0,16.0,6.0,1.0,1.0,0.0,1.0,3.0,15.0,10.0,44.0,82.0,0.14,0.0,0.0,2.0,1.0,58.0,3.0,4.74561403508772,0.0,7.15789473684211,0.0,0.0,0.367626886145405,0.6,0.0,0.5,0.5,2,3000000000000.0
286,0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,7.0,4.0,10.0,38.0,0.13,1.0,0.0,2.0,1.0,43.0,2.0,3.36170212765957,0.0,6.04255319148936,0.0,0.0,0.329113924050633,0.5,0.0,0.52,0.48,2,3000000000000.0
287,0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,4.0,6.0,12.0,0.11,0.0,0.0,1.0,1.0,27.0,2.0,3.88888888888889,0.0,8.88888888888889,1.0,0.0,0.605263157894737,1.0,0.0,0.5,0.5,4,2000000000000.0
2154,0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,1.0,2.0,8.0,0.0,0.1,4.0,71.0,2.0,0.0,0.0,2.0,9.75,1.0,14.25,2.0,0.0,0.55448717948718,0.666666666666667,1.0,0.59,0.41,2,8.871540832295631
303,0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,5.0,16.0,40.0,81.0,0.12,0.0,95.0,1.0,1.0,72.0,4.0,3.35514018691589,0.0,6.1588785046729,1.0,0.0,1.0,0.0,0.0,0.5,0.5,4,9492687243932.096
312,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,60.0,0.1,0.0,0.0,3.0,0.0,25.0,1.0,3.93333333333333,1.0,1.0,1.0,0.0,0.732348111658456,1.0,0.0,0.5,0.5,4,3000000000000.0
551,0,15.0,4.0,2.0,2.0,1.0,1.0,3.0,13.0,25.0,50.0,52.0,0.11,0.0,94.0,1.0,2.0,63.0,3.0,4.96739130434783,0.0,6.71739130434783,1.0,0.0,1.0,0.466666666666667,0.0,0.5,0.5,3,5000000000000.0
901,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,34.0,0.13,0.0,0.0,1.0,4.0,1.0,2.0,3.23529411764706,1.0,1.38235294117647,1.0,0.0,0.979166666666667,1.0,1.0,0.51,0.49,3,2000000000000.0
82,0,16.0,6.0,1.0,1.0,0.0,3.0,3.0,10.0,0.0,34.0,48.0,0.28,0.0,92.0,2.0,4.0,38.0,4.0,5.24358974358974,0.0,6.67948717948718,1.0,0.0,1.0,0.666666666666667,0.0,0.51,0.49,3,10000000000000.0
2190,0,0.0,6.0,1.0,6.0,17.0,1.0,3.0,2.0,10.0,5.0,3.0,0.16,2.0,89.0,1.0,0.0,1.0,1.0,5.52631578947368,2.0,5.05263157894737,1.0,0.0,0.498614958448753,0.0,1.0,0.5,0.5,1,1000000000000.0
328,0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,13.0,7.0,0.0,71.0,0.08,0.0,97.0,3.0,11.0,1.0,3.0,6.0875,0.0,2.95,0.0,0.0,0.536423841059603,0.0,3.0,0.5,0.5,3,666666666666.667
816,0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,4.0,5.0,2.0,43.0,0.12,0.0,87.0,2.0,2.0,29.0,2.0,3.08163265306122,1.0,5.3265306122449,1.0,0.0,0.321789321789322,1.0,0.0,0.5,0.5,4,3316624790355.4
941,0,9.0,3.0,1.0,3.0,0.0,1.0,3.0,4.0,0.0,48.0,75.0,0.08,0.0,95.0,1.0,0.0,19.0,2.0,3.38888888888889,0.0,3.9,1.0,0.0,0.326880119136262,1.0,0.0,0.5,0.5,4,3872983346207.4165
2201,0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,8.0,10.0,0.0,0.15,2.0,84.0,6.0,3.0,0.0,2.0,4.42857142857143,0.0,5.47619047619048,1.0,0.0,0.48951048951049,1.0,1.0,0.51,0.49,2,4.722773402040071
1004,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,5.0,20.0,0.0,0.35,0.0,93.0,4.0,10.0,16.0,2.0,2.13636363636364,0.0,2.38636363636364,0.0,0.0,0.339544513457557,0.0,0.0,0.51,0.49,3,3162277660168.3794
1047,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,6.0,14.0,32.0,1.0,0.0,86.0,2.0,5.0,1.0,2.0,8.76923076923077,1.0,2.41025641025641,1.0,0.0,0.621103117505995,0.0,0.0,0.5,0.5,4,2236067977499.7896
1066,0,0.0,0.0,1.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,8.0,0.56,0.0,89.0,1.0,0.0,1.0,1.0,8.125,1.0,3.5,1.0,0.0,0.440217391304348,1.0,2.0,0.56,0.44,2,1000000000000.0
835,0,1.0,0.0,1.0,2.0,6.0,0.0,3.0,1.0,4.0,6.0,44.0,0.07,0.0,77.0,1.0,8.0,1.0,2.0,6.44897959183673,1.0,11.6734693877551,1.0,0.0,0.341442224152911,0.0,1.0,0.51,0.49,2,500000000000.0
849,0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,8.0,3.0,0.17,0.0,73.0,3.0,1.0,5.0,1.0,4.2,1.0,4.5,1.0,0.0,0.194690265486726,0.0,0.0,0.5,0.5,2,666666666666.667
852,0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,4.0,1.0,8.0,17.0,0.15,0.0,0.0,2.0,1.0,16.0,2.0,4.54545454545455,0.0,6.09090909090909,0.0,0.0,0.327485380116959,1.0,0.0,0.53,0.47,2,1000000000000.0
853,0,3.0,1.0,1.0,4.0,1.0,0.0,2.0,5.0,2.0,20.0,75.0,0.16,0.0,96.0,4.0,1.0,1.0,2.0,4.07407407407407,0.0,3.22222222222222,0.0,0.0,0.312883435582822,0.0,0.0,0.5,0.5,3,4031128874149.275
855,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,63.0,127.0,0.14,0.0,98.0,1.0,0.0,0.0,1.0,2.52755905511811,1.0,1.96850393700787,1.0,0.0,0.655737704918033,0.0,1.0,0.5,0.5,2,1000000000000.0
856,0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,8.0,14.0,0.15,0.0,77.0,1.0,0.0,4.0,1.0,8.73333333333333,2.0,3.86666666666667,1.0,0.0,1.0,1.0,0.0,0.52,0.48,2,4000000000000.0
2254,0,19.0,0.0,1.0,0.0,5.0,0.0,3.0,4.0,0.0,14.0,35.0,0.15,0.0,78.0,2.0,0.0,1.0,2.0,4.88888888888889,0.0,3.68518518518519,0.0,0.0,0.989195678271308,0.0,0.0,0.51,0.49,3,1414213562373.095
885,0,1.0,8.0,1.0,6.0,0.0,1.0,2.0,27.0,0.0,34.0,99.0,0.08,0.0,96.0,3.0,3.0,38.0,3.0,4.04918032786885,0.0,4.55737704918033,0.0,0.0,0.408675799086758,0.5,0.0,0.5,0.5,4,12124355652982.14
