,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
476,6,0,1,0,71.5,8,30.5,1,0,5,2.15,0,83,1,1,21.5,2,9.36283185840708,0,2.99115044247788,1,1,0.216,0,0.0,0,1,1
956,10.5,0,2,5,0,2,30.5,3,0,13,0.27,1,89,2,0,18,0,3.93333333333333,0,5.18888888888889,0,1,1.24468085106383,0,1.0,0,3,4
575,1,0,1,4,17.0,0,259.0,6,1,4,0.13,0,16.0,2,0,15,2,3.16666666666667,1,6.52380952380952,1,1,0.73469387755102,0,0.888888888888889,0,3,3
678,10.5,0,1,2,7.0,0,99,2,0,2,0.05,0,100,2,0,5.5,1,5.8,0,3.8625,1,1,0.507739938080495,0,0.0,0,1,8.0
788,25.5,5,1,10,1,1,654,14,23,24.5,0.26,0,100,4,20,21.5,2,7.16666666666667,0,4.2953216374269,1,1,0.633053221288515,0,0.737628384687208,0,5,2.5
988,16.0,4,2,12,4.0,1,126.0,15,0,28.0,0.14,0,100,2,5,19,2,4.51960784313725,0,4.83333333333333,0,0,1.02542372881356,0,0.66798418972332,0,3,2
1188,10.0,0,2,27,27.0,0,141.5,3,0,4,0.1,1,97,4,0,21,2,4.15702479338843,0,6.14876033057851,1,1,0.832,0,0.714285714285714,0,1,0
578,9,1,1,9,2,0,259.0,2,7,3,0.11,2,16.0,5,1,14,2,4.25641025641026,1,3.87179487179487,1,1,0.666666666666667,0,0.69375,0,2,2
769,12.5,1,2,15,20.0,2,126.0,4,5,2,0.2,1,96,4,1,21.5,2,4.67708333333333,0,7.90625,0,1,1.11881188118812,0,0.445103857566766,0,4,11.0
782,14,0,1,5,197.0,0,141.5,14,1,0,0.1,0,99,4,5,13.5,2,3.46478873239437,1,4.72769953051643,1,1,0.442982456140351,0,0.614654002713704,0,3,14.0
633,4.5,0,2,9,12.5,0,151.0,2,0,0,0.09,0,95,1,4,20,2,4.57894736842105,1,3.63157894736842,1,1,0.941176470588235,0,0.342857142857143,0,1,0
905,9,0,2,7,2,1,42.5,15,22.0,23,0.25,1,100,2,6,25.0,2,4.41176470588235,0,2.47368421052632,0,0,1.08910891089109,0,0.41839762611276,0,4,0.5
658,32,11.5,1,18,1,0,198,23,0,24.5,0.12,0,98,4,4,31.0,2,3.2817679558011,0,5.27624309392265,0,0,0.760975609756098,0,0.699822380106572,0,4,2.5
780,16.0,0,2,7,4.0,1,498,6,17,14,0.15,2,97,3,3,1.5,2,4.69918699186992,0,7.72357723577236,0,1,1.12252964426877,0,0.87823275862069,0,3,0.5
750,7.0,0,2,6,1.0,1,66.0,12,1,6,0.16,1,87,3,1,1.5,3,6.62099125364431,0,5.21865889212828,1,1,0.896067415730337,0,0.401880141010576,0,6,0.5
1016,1,0,1,3,2,3,471,1,0,3,0.24,1,52,1,0,32,1,4.47572815533981,0,9.68932038834951,0,1,0.123809523809524,0,0.0,0,1,3
1349,3,0,1,8,8,2,55,1,0,0,0.19,4,94,1,0,13,2,4.44444444444444,1,8.0,2,1,0.916666666666667,0,0.0,0,5,10
775,3,0,1,0,2,0,91,2,2,3,0.14,0,80,5,2,48,2,2.98648648648649,0,4.67567567567568,2,1,0.346534653465347,0,0.539617486338798,0,3,12
32,0,0,1,0,18,0,4,1,0,0,0.08,0,0,1,0,28.5,1,0.0,0,0.565217391304348,0,1,0.0,0,0.664705882352941,0,3,2
793,10,1,1,6,29,2,270,8,9,0,0.45,0,100,3,5,31,2,8.43564356435644,0,3.58415841584158,1,1,0.381818181818182,0,0.0,0,5,10
771,4,0,1,0,61,0,55,2,0,0,0.12,0,0,1,0,15,1,3.39344262295082,2,5.65573770491803,2,1,0.4375,0,0.0,0,5,9
806,156.0,16.0,2,12,1.0,0,469,9,3,18,0.07,0,100,3,0,34.0,2,5.80628272251309,0,6.14485165794066,1,0,0.835334476843911,0,0.478550295857988,4,2,0.5
748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
