test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
32,0,0.0,0.0,1.0,0.0,10.49853515625,0.0,4.0,1.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.565217391304348,0.0,1.0,0.0,0.0,0.664705882352941,0.0,3.0,2.0,0.7076715766369908,0.2923284233630092,1,7501464843750.0
476,0,6.0,0.0,1.0,0.0,0.0,8.0,1130.0,1.0,0.0,5.0,2.15,0.0,83.0,1.0,1.0,41.0,2.0,9.36283185840708,0.0,2.99115044247788,1.0,1.0,0.216,0.0,0.2928520810287611,0.0,1.0,4.0,0.7521141265910217,0.2478858734089783,1,211572697732.30084
1188,0,40.0,0.0,2.0,27.0,27.0,0.0,154.0,3.0,0.0,4.0,0.1,1.0,97.0,4.0,0.0,21.0,2.0,4.15702479338843,0.0,6.14876033057851,1.0,1.0,0.832,0.0,0.5634785124233788,0.0,5.0,5.0,0.5069173612132327,0.4930826387867672,1,150807201862.3352
1349,0,3.0,0.0,1.0,8.0,8.0,2.0,55.0,1.0,0.0,0.0,0.19,4.0,94.0,1.0,0.0,13.0,2.0,4.44444444444444,1.0,8.0,2.0,1.0,0.916666666666667,0.0,0.5358712196350099,0.0,5.0,10.0,0.5011783553448774,0.4988216446551226,1,264128780364.99005
575,0,1.0,0.0,1.0,4.0,37.0,0.0,55.0,6.0,1.0,4.0,0.13,0.0,94.0,2.0,0.0,15.0,2.0,3.16666666666667,1.0,6.52380952380952,1.0,1.0,0.73469387755102,0.0,0.42849784427218973,0.0,3.0,6.0,0.5067513016606162,0.4932486983393838,1,460391044616.69916
578,0,9.0,1.0,1.0,9.0,15.0,0.0,45.0,2.0,7.0,3.0,0.11,2.0,94.0,5.0,1.0,14.0,2.0,4.25641025641026,1.0,3.87179487179487,1.0,1.0,0.666666666666667,0.0,0.32736152013142894,0.0,2.0,8.0,0.5825130686824003,0.4174869313175997,1,605971813201.904
633,0,21.0,0.0,2.0,9.0,28.0,0.0,33.0,11.0,0.0,0.0,0.09,0.0,95.0,1.0,4.0,20.0,2.0,4.57894736842105,1.0,3.63157894736842,1.0,1.0,0.941176470588235,0.0,0.292724609375,0.0,1.0,0.0,0.8860854507617065,0.11391454923829344,1,707275390625.0
658,0,32.0,40.0,1.0,18.0,5.5,0.0,198.0,30.00048828125,0.0,47.0,0.12,0.0,98.0,4.0,4.0,53.0,2.0,3.2817679558011,0.0,5.27624309392265,0.0,0.0,0.760975609756098,0.0,0.699822380106572,0.0,4.0,1.08203125,0.5105613153962684,0.48943868460373163,3,21524284315672.266
678,0,20.0,0.0,1.0,2.0,317.0,0.0,99.0,2.0,0.0,2.0,0.05,0.0,100.0,2.0,0.0,89.0,1.0,5.8,0.0,3.8625,1.0,1.0,0.507739938080495,0.0,0.2928494829723381,0.0,1.0,13.0,0.5953946977929675,0.4046053022070325,1,470198533729.123
748,0,26.0,53.0,1.0,8.0,14.0,1.0,747.0,9.0,0.0,206.0,0.25,0.0,100.0,2.0,3.0,159.0,2.0,5.501812902968171,0.0,2.2403821745769665,0.0,1.0,0.254545454545455,0.0,0.12497967902490131,5.0,4.0,21.0,0.6114066878063746,0.3885933121936253,3,696716573440.5815
750,0,78.0,0.0,2.0,6.0,34.0,1.0,518.0,6.49951171875,1.0,6.0,0.16,1.0,87.0,3.0,1.0,40.0,3.0,6.62099125364431,0.0,2.6448237916818513,1.0,1.0,0.896067415730337,0.0,0.12499885245299656,0.0,6.0,19.0,0.6080814823410696,0.39191851765893043,3,5507452639843.749
