0,1,2,3,4
"[0, 0.051775147928994084]","[0.05660377358490566, 1]",,,
"[0, 0.5946745562130177]","[0, 0.6037735849056604]","[0, 1.1615384615384616]","[0.2, 1]",
"[0, 1.1124260355029587]","[0.0, 1]","[0.0, 1]",,
"[0, 0.17159763313609466]","[0, 0.24528301886792453]","[0, 0.19230769230769232]","[1.2000000000000002, 1]",
"[0, 0.07396449704142012]","[0, 0.18867924528301885]","[0, 0.23076923076923078]",,
"[0, 0.24260355029585795]","[0, 0.16981132075471697]","[0, 0.09230769230769231]","[0.8, 1]",
"[0, 0.14644970414201183]","[0, 0.7169811320754716]","[0, 0.7384615384615385]",,
"[0, 0.08136094674556213]","[0, 0.1320754716981132]","[0, 0.1]","[1.0, 1]",
"[0, 0.03402366863905325]","[0, 0.22641509433962265]","[0, 0.2]","[1.0, 1]",
"[0.008875739644970414, 1]","[0, 0.1509433962264151]","[0, 0.19230769230769232]","[0, 0.140625]","[0.2, 1]"
"[0, 0.12426035502958581]","[0, 0.0]","[0, 0.38461538461538464]","[0.6000000000000001, 1]",
"[0, 0.3402366863905325]","[0.05660377358490566, 1]","[0.8, 1]",,
"[0, 0.5088757396449703]","[0, 1.2075471698113207]","[0, 1.1461538461538463]","[2.2, 1]",
"[0, 0.23076923076923073]","[0.018867924528301886, 1]","[1.0, 1]",,
"[0, 0.0650887573964497]","[0, 0.16981132075471697]","[0, 0.07692307692307693]","[0.6000000000000001, 1]",
"[0, 0.22041420118343194]","[0, 0.0]","[0, 0.015384615384615385]","[0.2, 1]",
"[0, 0.21745562130177512]","[0, 0.24528301886792453]","[0, 0.2]","[0.8, 1]",
"[0.0073964497041420114, 1]","[0.07547169811320754, 1]","[0, 0.19230769230769232]","[0.6000000000000001, 1]",
"[0, 0.22337278106508873]","[0.4716981132075472, 1]","[1.4000000000000001, 1]",,
"[0, 0.10502958579881656]","[0, 0.20754716981132074]","[0, 0.3230769230769231]",,
"[0, 0.4319526627218935]","[0, 0.32075471698113206]","[0, 0.6923076923076923]","[1.0, 1]",
"[0, 2.335798816568047]","[0, 0.1320754716981132]","[0, 1.3923076923076925]","[1.6, 1]",
"[0, 0.1183431952662722]","[0, 0.20754716981132074]","[0, 0.3384615384615385]","[1.4000000000000001, 1]",
"[0, 0.05473372781065089]","[0, 0.09433962264150943]","[0, 0.16923076923076924]",,
"[0, 0.21745562130177512]","[0.6226415094339622, 1]",,,
"[0, 0.15680473372781065]","[0, 0.33962264150943394]","[0, 0.35384615384615387]","[0.6000000000000001, 1]",
"[0, 0.3668639053254438]","[0, 0.4528301886792453]","[0, 0.2076923076923077]","[1.6, 1]",
"[0, 0.3979289940828402]","[0, 0.5471698113207547]","[0, 0.12307692307692308]","[1.4000000000000001, 1]",
"[0, 0.10502958579881656]","[0, 0.1320754716981132]","[0, 0.1076923076923077]","[0.8, 1]",
"[0, 0.17751479289940827]","[0, 0.0]","[0.0, 1]","[0.109375, 1]",
"[0, 0.09615384615384616]","[0, 0.16981132075471697]","[0, 0.1076923076923077]","[0.015625, 1]","[0.2, 1]"
"[0, 0.25295857988165676]","[0, 0.0]","[0, 0.1]","[0.6000000000000001, 1]",
"[0, 0.6494082840236686]","[0.07547169811320754, 1]","[1.4000000000000001, 1]",,
"[0, 0.08431952662721894]","[0, 0.0]","[0, 0.06153846153846154]","[0.046875, 1]","[0.2, 1]"
"[0.02514792899408284, 1]","[0, 0.11320754716981132]","[0, 0.6461538461538462]","[0, 0.28125]",
"[0.02071005917159763, 1]","[0.0, 1]","[0, 0.015384615384615385]","[0.4, 1]",
"[0.023668639053254437, 1]","[0, 0.1509433962264151]","[0, 0.11538461538461539]","[0, 0.234375]","[0.4, 1]"
"[0, 0.128698224852071]","[0, 0.22641509433962265]","[0, 0.07692307692307693]","[0.4, 1]",
"[0, 0.03550295857988166]","[0, 0.1320754716981132]","[0, 0.14615384615384616]","[0.6000000000000001, 1]",
"[0, 0.031065088757396452]","[0, 0.20754716981132074]","[0, 0.16923076923076924]","[0.140625, 1]","[0.4, 1]"
"[0, 0.06656804733727811]","[0, 0.20754716981132074]","[0, 0.11538461538461539]","[1.0, 1]",
"[0, 0.08579881656804735]","[0.03773584905660377, 1]",,,
"[0, 0.04733727810650888]","[0.05660377358490566, 1]",,,
"[0, 0.09911242603550297]","[0, 0.0]","[0, 0.18461538461538463]","[0.4, 1]",
"[0.028106508875739646, 1]","[0.018867924528301886, 1]","[0.015384615384615385, 1]","[0.8, 1]",
"[0, 0.038461538461538464]","[0, 0.3018867924528302]","[0, 0.34615384615384615]","[0.4, 1]",
"[0, 0.12426035502958581]","[0.05660377358490566, 1]",,,
"[0, 0.05917159763313609]","[0, 0.2641509433962264]","[0, 0.3230769230769231]","[0.4, 1]",
"[0, 0.11686390532544379]","[0.05660377358490566, 1]","[1.2000000000000002, 1]",,
"[0, 0.1316568047337278]","[0.4716981132075472, 1]","[1.2000000000000002, 1]",,
"[0, 0.04142011834319527]","[0.03773584905660377, 1]","[1.0, 1]",,
"[0, 0.17751479289940827]","[0.05660377358490566, 1]","[1.4000000000000001, 1]",,
"[0, 0.06804733727810651]","[0.07547169811320754, 1]","[1.0, 1]",,
"[0, 0.23372781065088755]","[0, 1.169811320754717]","[0, 1.0846153846153848]","[1.2000000000000002, 1]",
"[0, 0.12426035502958581]","[0, 0.24528301886792453]","[0, 1.2153846153846155]","[1.4000000000000001, 1]",
"[0, 0.10502958579881656]","[0, 0.11320754716981132]","[0, 0.07692307692307693]",,
"[0.013313609467455623, 1]","[0.03773584905660377, 1]","[0.03076923076923077, 1]","[0.2, 1]",
"[0, 0.07100591715976332]","[0, 0.18867924528301885]","[0, 0.17692307692307693]","[0.109375, 1]",
"[0, 0.0]","[0, 0.0]","[0.007692307692307693, 1]","[0.015625, 1]",
