0,1,2,3
"[0, 0.9]","[0, 0.014492753623188404]","[0, 1.0]",
"[0, 0.88]","[0, 0.13043478260869565]","[0.9999999999999999, 1]","[0, 0.6153846153846154]"
"[1.0, 1]","[0.014492753623188404, 1]","[0, 0.37037037037037]",
"[0.004830917874396135, 1]","[0, 1.0]","[0.0, 1]",
"[0, 0.96]","[0.01932367149758454, 1]","[0, 1.0]","[0.07692307692307693, 1]"
"[0, 0.75]","[0, 0.06763285024154589]","[0, 1.0]",
"[0, 0.88]","[0.01932367149758454, 1]","[0, 1.0]",
"[0, 0.96]","[0, 0.429951690821256]","[0, 0.307692307692308]",
"[0, 0.9]","[0, 0.18357487922705312]","[0, 0.333333333333333]",
"[0, 0.96]","[0, 0.1111111111111111]","[0, 0.833333333333333]",
"[1.0, 1]","[0, 0.357487922705314]","[0, 0.5]",
"[0, 0.77]","[0, 0.15942028985507245]","[0, 0.333333333333333]",
"[0, 0.93]","[0, 0.02898550724637681]","[0, 0.333333333333333]",
"[0, 0.84]","[0, 0.3961352657004831]","[0, 0.571428571428571]",
"[0, 0.88]","[0, 0.05797101449275362]","[0, 0.5]",
"[0, 0.9]","[0, 0.07729468599033816]","[0, 0.666666666666667]",
"[0, 0.85]","[0, 0.043478260869565216]","[0, 0.33333333333333337]","[0.0, 1]"
"[0, 0.86]","[0, 0.5845410628019323]","[0, 0.454545454545455]",
"[0, 0.86]","[0, 0.1932367149758454]","[0, 0.428571428571429]",
"[0, 1.0]","[0, 0.13043478260869565]","[0, 0.5]",
"[0, 1.0]","[0, 0.18840579710144928]","[0, 0.428571428571429]",
"[0, 0.8]","[0, 0.09178743961352656]","[0, 0.428571428571429]",
"[0, 0.85]","[0, 0.1400966183574879]","[0, 1.0]","[0.07692307692307693, 1]"
"[1.0, 1]","[0, 0.06280193236714976]","[0, 0.666666666666667]",
"[0, 0.86]","[0, 0.12560386473429952]","[0.16666666666666666, 1]","[0, 0.07692307692307693]"
"[0, 0.86]","[0, 0.10628019323671498]","[0, 0.8]",
"[0, 1.0]","[0, 0.12077294685990338]","[0, 0.6]",
"[0, 0.86]","[0, 0.1497584541062802]","[0.16666666666666666, 1]","[0, 0.3076923076923077]"
"[0, 0.86]","[0, 0.07729468599033816]","[0, 0.5]",
"[1.0, 1]","[0, 0.07729468599033816]","[0, 0.4]",
"[0, 0.8]","[0, 0.06763285024154589]","[0, 1.0]",
"[0, 0.76]","[0, 0.08695652173913043]","[0, 0.5]",
"[1.0, 1]","[0, 0.09178743961352656]","[0, 0.5]",
"[0.85, 1]","[0, 0.714285714285714]","[0.16666666666666666, 1]",
"[0, 1.0]","[0, 0.3043478260869565]","[0, 0.454545454545455]",
"[0.6, 1]","[0, 0.5]","[0.07692307692307693, 1]",
"[1.0, 1]","[0.05314009661835749, 1]","[0, 0.5]",
"[0, 0.9]","[0, 0.0966183574879227]","[0.0, 1]","[0, 0.46153846153846156]"
"[0, 0.92]","[0, 0.21739130434782608]","[0, 0.444444444444444]",
"[0.84, 1]","[0, 0.0966183574879227]","[0, 0.666666666666667]",
"[0, 0.89]","[0, 0.13043478260869565]","[0, 0.714285714285714]",
"[1.0, 1]","[0, 1.0]","[0.16666666666666666, 1]",
"[0, 0.86]","[0, 0.27053140096618356]","[0, 0.4]",
"[0, 0.88]","[0, 0.24637681159420288]","[0.16666666666666666, 1]","[0, 0.23076923076923078]"
"[0, 0.0]","[0, 0.1400966183574879]","[0, 1.0]","[0.0, 1]"
"[1.0, 1]","[0, 0.12560386473429952]","[0, 0.571428571428571]",
"[0, 0.97]","[0, 0.4685990338164251]","[0, 0.5]",
"[0, 0.86]","[0.0, 1]","[0.0, 1]","[0, 0.23076923076923078]"
"[0.7000000000000001, 1]","[0, 0.10144927536231883]","[0, 0.333333333333333]",
"[0, 0.96]","[0, 0.8985507246376812]","[0, 0.542857142857143]",
"[0.9400000000000001, 1]","[0, 0.06763285024154589]","[0, 1.0]",
"[0, 0.9400000000000001]","[0.01932367149758454, 1]","[0, 1.0]",
"[1.0, 1]","[0, 0.16425120772946858]","[0, 0.5]",
"[0, 0.91]","[0, 0.1497584541062802]","[0, 1.0]",
"[0.48, 1]","[0, 0.024154589371980676]","[0, 1.0]",
"[1.0, 1]","[0, 1.0]","[0.0, 1]","[0.0, 1]"
"[0.4, 1]","[0, 0.09178743961352656]","[0, 0.666666666666667]",
"[0, 0.91]","[0, 0.16425120772946858]","[0, 0.5]",
"[0, 0.9]","[0, 0.014492753623188404]","[0, 1.0]","[0.0, 1]"
"[0, 0.9]","[0.01932367149758454, 1]","[0, 1.0]","[0.0, 1]"
"[0, 0.92]","[0.01932367149758454, 1]","[0, 0.5]","[0.07692307692307693, 1]"
"[0, 0.9]","[0.014492753623188404, 1]","[0, 1.0]",
"[0, 0.96]","[0.024154589371980676, 1]","[0, 0.666666666666667]","[0.07692307692307693, 1]"
"[0, 0.91]","[0, 0.01932367149758454]","[0, 1.0]","[0.0, 1]"
"[0.0, 1]","[0.0, 1]","[0, 0.33333333333333337]",
"[0, 0.9]","[0, 0.1111111111111111]","[0, 1.0]",
"[0, 0.9]","[0, 0.09178743961352656]","[0, 1.0]",
"[0.4, 1]","[0, 0.09178743961352656]","[0, 1.0]",
"[0, 0.9500000000000001]","[0, 0.10628019323671498]","[0, 0.666666666666667]",
"[0, 0.0]","[0, 0.10628019323671498]","[0, 1.0]",
"[0, 1.0]","[0, 0.07729468599033816]","[0, 0.5]",
"[0.72, 1]","[0, 1.0]","[0.0, 1]",
"[0.96, 1]","[0, 0.024154589371980676]","[0, 0.5]",
