0,1,2,3,4
"[0, 0.16535927204267337]","[0.014925373134328358, 1]","[0.14285714285714285, 1]","[0.0, 1]",
"[0, 0.1396297458424851]","[0, 0.11940298507462686]","[0.023809523809523808, 1]","[0.0, 1]",
"[0, 0.053655475368685285]","[0.07936507936507936, 1]","[0, 0.4]",,
"[0.028867273297772198, 1]","[0.01990049751243781, 1]","[0.047619047619047616, 1]","[0, 0.4]",
"[0.01725760903671164, 1]","[0.01990049751243781, 1]","[0.03968253968253968, 1]","[0.0, 1]",
"[0, 0.12802008158142453]","[0.0, 1]","[0.14285714285714285, 1]","[0.07142857142857142, 1]","[0.0, 1]"
"[0.014119861939127704, 1]","[0, 0.42786069651741293]","[0.09523809523809523, 1]",,
"[0, 0.07185440853467209]","[0, 0.14925373134328357]","[0.2857142857142857, 1]","[0, 0.1349206349206349]",
"[0, 0.032318795105114526]","[0.02487562189054726, 1]","[0.2857142857142857, 1]","[0.05555555555555555, 1]","[0.1, 1]"
"[0, 0.035770316912456857]","[0.05555555555555555, 1]","[0, 0.5]",,
"[0, 0.11170379667398807]","[0, 0.4527363184079602]","[0.14285714285714285, 1]","[0, 0.1984126984126984]",
"[0, 0.057734546595544396]","[0, 0.17412935323383083]","[0.14285714285714285, 1]","[0, 0.1111111111111111]",
"[0, 0.14057106997176028]","[0, 0.8606965174129353]","[0.14285714285714285, 1]","[0, 0.10317460317460317]",
"[0, 0.08471917163476622]","[0.03968253968253968, 1]","[0, 0.30000000000000004]",,
"[0.005020395356134295, 1]","[0.02487562189054726, 1]","[0.031746031746031744, 1]","[0, 0.2]",
"[0, 0.038908064010040794]","[0.06349206349206349, 1]","[0, 0.30000000000000004]",,
"[0, 0.16567304675243175]","[0, 0.3880597014925373]","[0, 0.2857142857142857]","[0, 0.18253968253968253]",
"[0, 0.3134609350486351]","[0, 1.0199004975124377]","[0.14285714285714285, 1]","[0, 0.18253968253968253]",
"[0, 0.027925949168497017]","[0, 0.06965174129353234]","[0.14285714285714285, 1]","[0, 0.0873015873015873]",
"[0, 0.05804832130530279]","[0, 0.13930348258706468]","[0, 0.42857142857142855]","[0, 0.07142857142857142]",
"[0, 0.16598682146219015]","[0, 0.4129353233830846]","[0.14285714285714285, 1]","[0, 0.15873015873015872]",
"[0, 0.03451521807342328]","[0.014925373134328358, 1]","[0.03968253968253968, 1]","[0.1, 1]",
"[0, 0.03514276749294007]","[0.009950248756218905, 1]","[0.2857142857142857, 1]","[0.023809523809523808, 1]","[0.1, 1]"
"[0, 0.021336680263570756]","[0, 0.05970149253731343]","[0.14285714285714285, 1]","[0, 0.10317460317460317]",
"[0.002823972387825541, 1]","[0.0, 1]","[0.14285714285714285, 1]","[0.0, 1]","[0.0, 1]"
"[0, 0.11986193912770629]","[0, 0.263681592039801]","[0.2857142857142857, 1]","[0, 0.30952380952380953]",
"[0, 0.3304047693755883]","[0.029850746268656716, 1]","[0.2857142857142857, 1]","[0, 0.5]",
"[0, 0.125196109193599]","[0, 0.2857142857142857]","[0, 0.1746031746031746]",,
"[0.009727016002510198, 1]","[0.009950248756218905, 1]","[0.2857142857142857, 1]","[0.047619047619047616, 1]","[0.1, 1]"
"[0, 0.18136178224035143]","[0, 0.5714285714285714]","[0, 0.23809523809523808]",,
"[0, 0.15688735487919672]","[0, 0.04975124378109452]","[0, 0.5714285714285714]","[0, 0.1984126984126984]",
"[0, 0.08817069344210855]","[0, 0.07462686567164178]","[0.14285714285714285, 1]","[0, 0.12698412698412698]",
"[0, 0.10574207718857859]","[0.009950248756218905, 1]","[0.14285714285714285, 1]","[0, 0.5]",
"[0, 0.20677753373078128]","[0.009950248756218905, 1]","[0.14285714285714285, 1]","[0, 0.4]",
"[0, 0.12143081267649826]","[0.09523809523809523, 1]","[0, 0.7000000000000001]",,
"[0, 0.12237213680577345]","[0.023809523809523808, 1]","[0, 0.4]",,
"[0, 0.0335738939441481]","[0.0, 1]","[0.14285714285714285, 1]","[0.03968253968253968, 1]",
"[0.01098211484154377, 1]","[0.009950248756218905, 1]","[0.007936507936507936, 1]","[0, 0.2]",
"[0, 0.21368057734546594]","[0.0, 1]","[0.14285714285714285, 1]","[0, 0.5]",
"[0, 0.23187951051145278]","[0.004975124378109453, 1]","[0.14285714285714285, 1]","[0, 0.8]",
"[0, 0.8167555695010981]","[0.01990049751243781, 1]","[0.2857142857142857, 1]","[0, 1.2000000000000002]",
"[0, 0.02070913084405397]","[0, 0.42857142857142855]","[0, 0.06349206349206349]",,
"[0, 0.20426733605271413]","[0.02487562189054726, 1]","[0.14285714285714285, 1]","[0, 0.30000000000000004]",
"[0, 0.06369626608095387]","[0.0, 1]","[0.14285714285714285, 1]","[0, 0.2]",
"[0, 0.03451521807342328]","[0.047619047619047616, 1]","[0, 0.30000000000000004]",,
"[0, 0.019140257295262]","[0.0, 1]","[0.14285714285714285, 1]","[0.031746031746031744, 1]",
"[0, 0.3683715092563539]","[0, 0.1890547263681592]","[0.14285714285714285, 1]","[0, 0.25396825396825395]",
"[0, 0.03169124568559774]","[0.0, 1]","[0.14285714285714285, 1]","[0.03968253968253968, 1]","[0.1, 1]"
"[0, 0.05051772827110135]","[0.004975124378109453, 1]","[0.14285714285714285, 1]","[0.05555555555555555, 1]",
"[0.008471917163476624, 1]","[0.004975124378109453, 1]","[0.0, 1]","[0.0, 1]","[0.0, 1]"
