0,1,2,3,4
"[0, 0.8500000000000001]","[0, 0.32989690721649484]","[0, 0.695852534562212]","[0, 0.12962962962962962]",
"[0, 0.75]","[0, 0.10309278350515463]","[0, 0.059907834101382486]","[0, 0.2962962962962963]",
"[0, 0.2]","[0, 0.13402061855670103]","[0, 0.1152073732718894]","[0, 0.17592592592592593]",
"[0.0, 1]","[0.010309278350515464, 1]","[0.013824884792626727, 1]","[0, 0.09259259259259259]","[0, 0.2727272727272727]"
"[0, 0.1]","[0, 0.09278350515463918]","[0, 0.041474654377880185]","[0, 0.18518518518518517]",
"[0, 0.05]","[0, 0.41237113402061853]","[0, 0.46543778801843316]","[0, 0.25925925925925924]",
"[0, 0.05]","[0, 0.08247422680412371]","[0, 0.059907834101382486]","[0, 0.16666666666666666]",
"[0.0, 1]","[0.0, 1]","[0, 0.0]","[0.05555555555555555, 1]",
"[0, 0.05]","[0.020618556701030927, 1]","[0, 0.25806451612903225]","[0.046296296296296294, 1]",
"[0.0, 1]","[0, 0.18556701030927836]","[0, 0.16589861751152074]","[0, 0.2037037037037037]",
"[0, 0.1]","[0, 0.25773195876288657]","[0, 0.41935483870967744]","[0, 0.15740740740740738]",
"[0.0, 1]","[0, 0.1134020618556701]","[0, 0.1935483870967742]","[0.07407407407407407, 1]",
"[0, 0.2]","[0, 0.17525773195876287]","[0, 0.41013824884792627]","[0, 0.19444444444444442]",
"[0.05, 1]","[0, 0.07216494845360824]","[0, 0.8341013824884793]","[0, 0.8703703703703703]",
"[0.05, 1]","[0, 0.13402061855670103]","[0, 0.23963133640552994]","[0, 0.09259259259259259]",
"[0.0, 1]","[0, 0.12371134020618557]","[0, 0.21658986175115208]","[0, 0.12037037037037036]",
"[0, 0.35000000000000003]","[0, 0.36082474226804123]","[0, 0.22580645161290322]","[0, 0.28703703703703703]",
"[0, 0.25]","[0, 0.25773195876288657]","[0, 0.12442396313364056]","[0, 0.28703703703703703]",
"[0, 0.15000000000000002]","[0, 0.07216494845360824]","[0, 0.06451612903225806]","[0, 0.14814814814814814]",
"[0, 0.15000000000000002]","[0, 0.061855670103092786]","[0, 0.08294930875576037]","[0, 0.09259259259259259]",
"[0, 0.05]","[0.0, 1]","[0, 0.08333333333333333]","[0, 0.2727272727272727]",
"[0, 0.15000000000000002]","[0, 0.041237113402061855]","[0, 0.35944700460829493]","[0, 0.10185185185185185]",
"[0, 0.1]","[0.0, 1]","[0, 0.07834101382488479]","[0.046296296296296294, 1]",
"[0.0, 1]","[0.0, 1]","[0, 0.16129032258064516]","[0.046296296296296294, 1]",
"[0, 0.2]","[0, 0.12371134020618557]","[0, 0.05069124423963134]","[0, 0.10185185185185185]",
"[0, 0.05]","[0.0, 1]","[0.02304147465437788, 1]","[0, 0.08333333333333333]","[0, 0.18181818181818182]"
"[0.0, 1]","[0, 0.3917525773195876]","[0, 0.35023041474654376]","[0, 0.35185185185185186]",
"[0.05, 1]","[0, 0.1134020618556701]","[0, 0.09216589861751152]","[0, 0.08333333333333333]",
"[0.05, 1]","[0, 0.030927835051546393]","[0, 0.059907834101382486]","[0, 0.2037037037037037]",
"[0.0, 1]","[0, 0.17525773195876287]","[0, 0.21658986175115208]","[0, 0.1388888888888889]",
"[0, 0.05]","[0, 0.030927835051546393]","[0, 0.059907834101382486]","[0, 0.2037037037037037]",
"[0.0, 1]","[0, 0.16494845360824742]","[0, 0.2119815668202765]","[0, 0.12962962962962962]",
"[0, 0.05]","[0, 0.041237113402061855]","[0.02304147465437788, 1]","[0, 0.17592592592592593]",
"[0, 0.5]","[0, 0.25773195876288657]","[0, 0.2350230414746544]","[0, 0.2037037037037037]",
"[0.05, 1]","[0.020618556701030927, 1]","[0.027649769585253454, 1]","[0, 0.17592592592592593]","[0, 0.4545454545454546]"
"[0, 0.1]","[0, 0.10309278350515463]","[0, 0.7695852534562212]","[0, 0.2962962962962963]",
"[0, 0.2]","[0.004608294930875576, 1]","[0.009259259259259259, 1]","[0.09090909090909091, 1]",
"[0, 0.25]","[0, 0.09278350515463918]","[0, 0.10599078341013825]","[0.06481481481481481, 1]",
