0,1,2,3,4
"[0, 0.13333333333333333]","[0, 0.4246575342465753]","[0, 0.8450704225352113]","[0, 0.005025125628140704]",
"[0, 0.022222222222222223]","[0, 0.2328767123287671]","[0, 0.26760563380281693]","[0, 0.005025125628140704]",
"[0, 0.17777777777777778]","[0, 0.1643835616438356]","[0, 0.4507042253521127]","[0, 0.18090452261306533]",
"[0.0, 1]","[0, 0.04794520547945205]","[0, 0.18309859154929578]",,
"[0, 0.022222222222222223]","[0, 0.15753424657534246]","[0, 0.7464788732394366]",,
"[0.0, 1]","[0, 0.03424657534246575]","[0, 0.14084507042253522]",,
"[0.0, 1]","[0, 0.0410958904109589]","[0, 0.4084507042253521]","[0, 0.010050251256281407]",
"[0.022222222222222223, 1]","[0, 0.5068493150684932]","[0, 0.9154929577464789]","[0, 1.899497487437186]",
"[0.0, 1]","[0, 0.02054794520547945]","[0, 0.3943661971830986]","[0, 0.005025125628140704]","[0.25, 1]"
"[0.0, 1]","[0, 0.1095890410958904]","[0, 0.5633802816901409]","[0, 0.18592964824120603]",
"[0, 0.08888888888888889]","[0.014084507042253521, 1]","[0, 0.06532663316582915]","[0, 0.5]",
"[0.0, 1]","[0, 0.0821917808219178]","[0, 0.3943661971830986]","[0, 0.06532663316582915]",
"[0.0, 1]","[0, 0.19863013698630136]","[0, 0.3098591549295775]","[0, 0.035175879396984924]",
"[0.0, 1]","[0.0, 1]","[0.0, 1]","[0.0, 1]",
"[0.0, 1]","[0, 0.26712328767123283]","[0, 0.3943661971830986]","[0, 0.05025125628140704]",
"[0.0, 1]","[0, 0.0958904109589041]","[0, 0.36619718309859156]","[0, 0.19597989949748745]",
"[0, 0.3111111111111111]","[0, 0.19863013698630136]","[0, 0.6901408450704225]","[0, 0.9346733668341709]",
"[0, 0.022222222222222223]","[0, 0.13013698630136986]","[0, 0.5915492957746479]","[0, 0.09045226130653267]",
"[0, 0.022222222222222223]","[0, 0.06164383561643835]","[0, 0.5633802816901409]","[0, 0.20100502512562815]",
"[0, 0.06666666666666667]","[0, 0.0273972602739726]","[0, 0.36619718309859156]",,
"[0, 0.06666666666666667]","[0, 0.08904109589041095]","[0, 0.36619718309859156]","[0, 0.08542713567839195]",
"[0, 0.11111111111111112]","[0, 0.2602739726027397]","[0, 1.0]","[0, 0.8140703517587939]",
