,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,effort
57,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,6.0,0.0,2.08474576271186,0.0,0.0,0.0,0.3,0.0,1.0,1.0,4.11876128113553e-05
104,18.0,0.0,3.0,3.0,4.0,5.0,5.0,197.0,2.0,5.0,10.0,13.0,2.0,1.0,0.0,32.0,2.0,2.0,8.06060606060606,1.0,1.0,0.0,0.5,0.0,2.0,1.0,0.0005540074739320833
115,4.0,0.0,2.0,1.0,0.0,4.0,3.0,132.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,19.0,2.0,0.0,2.2,1.0,1.0,0.0,0.333333333333333,0.0,3.0,2.0,0.000876357135739747
141,0.0,0.0,3.0,0.0,1.0,6.0,0.0,44.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,10.0,1.0,1.0,14.25,7.0,1.0,0.0,1.0,0.0,3.0,3.0,0.010390502695253212
148,2.0,0.0,2.0,0.0,0.0,6.0,3.0,178.0,2.0,12.0,9.0,9.0,2.0,5.0,2.0,20.0,2.0,1.0,5.78260869565217,0.0,1.0,0.0,0.2,0.0,1.0,0.0,0.0003887946060215919
152,1.0,1.0,1.0,2.0,0.0,0.0,1.0,115.0,2.0,7.0,40.0,101.0,0.0,1.0,2.0,28.0,2.0,0.0,1.88181818181818,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0006558818200822492
310,0.0,0.0,1.0,0.0,0.0,0.0,2.0,45.0,1.0,0.0,18.0,36.0,0.0,7.0,0.0,22.0,2.0,1.0,2.83333333333333,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.004383882917147752
491,2.0,0.0,1.0,0.0,0.0,1.0,1.0,164.0,1.0,3.0,25.0,91.0,0.0,3.0,0.0,17.0,2.0,0.0,2.03092783505155,1.0,1.0,0.0,0.1,0.0,3.0,7.0,1.6022075143951042e-05
589,4.0,0.0,1.0,0.0,0.0,2.0,1.0,300.0,1.0,4.0,3.0,89.0,0.0,3.0,0.0,21.0,1.0,0.0,2.52577319587629,1.0,1.0,0.0,0.666666666666667,0.0,3.0,5.0,0.00099287937252035
599,1.0,2.0,1.0,0.0,0.0,8.0,1.0,1598.0,1.0,11.0,7.0,181.0,0.0,3.0,27.0,94.0,2.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,4.0,9.0,1.8600157551951213e-06
601,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.0,2.0,0.0,13.0,52.0,0.0,5.0,0.0,10.0,2.0,0.0,1.88679245283019,1.0,1.0,0.0,0.8,0.0,3.0,0.0,0.0009018793398115621
637,0.0,0.0,1.0,0.0,0.0,1.0,1.0,97.0,1.0,1.0,12.0,47.0,0.0,4.0,0.0,13.0,3.0,0.0,1.95833333333333,1.0,1.0,0.0,0.666666666666667,0.0,1.0,0.0,0.00041768723808888186
655,7.0,0.0,1.0,2.0,0.0,2.0,2.0,175.0,7.0,7.0,35.0,49.0,1.0,3.0,0.0,31.0,5.0,0.0,4.33333333333333,1.0,1.0,0.0,1.0,3.0,3.0,5.0,0.00018325947105135576
731,5.0,0.0,1.0,1.0,1.0,5.0,3.0,270.0,6.0,19.0,25.0,27.0,1.0,2.0,3.0,31.0,4.0,0.0,5.19607843137255,0.0,1.0,0.0,0.888888888888889,0.0,1.0,1.0,0.0003232764099762031
755,3.0,2.0,1.0,0.0,0.0,3.0,2.0,86.0,5.0,7.0,7.0,14.0,2.0,2.0,2.0,16.0,3.0,0.0,15.3,1.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0077242670258861335
770,3.0,0.0,1.0,1.0,0.0,1.0,2.0,62.0,7.0,9.0,6.0,18.0,1.0,3.0,1.0,10.0,4.0,0.0,3.73333333333333,1.0,1.0,0.0,0.1,0.0,2.0,5.0,1.7690669792291835e-05
779,0.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,1.0,3.0,10.0,22.0,0.0,1.0,0.0,6.0,2.0,1.0,3.1,1.0,1.0,0.0,0.666666666666667,0.0,3.0,3.0,0.0001846184759261016
897,1.0,0.0,2.0,0.0,17.0,6.0,3.0,133.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,9.0,2.0,0.0,3.61111111111111,1.0,1.0,0.0,0.1,0.0,2.0,3.0,2.197164585260314e-05
939,3.0,0.0,2.0,2.0,70.0,5.0,3.0,495.0,4.0,0.0,4.0,78.0,0.0,4.0,0.0,6.0,2.0,0.0,3.39506172839506,0.0,1.0,0.0,0.75,0.0,4.0,7.0,5.657244322021526e-05
946,2.0,0.0,1.0,1.0,18.0,4.0,4.0,106.0,1.0,0.0,4.0,17.0,0.0,1.0,0.0,5.0,1.0,0.0,2.63157894736842,1.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0006685651761444422
2825,4.0,0.0,1.0,1.0,0.0,5.0,5.0,111.0,1.0,0.0,12.0,11.0,7.0,0.0,0.0,11.0,2.0,2.0,10.4666666666667,8.0,1.0,0.0,0.571428571428571,0.0,4.0,3.0,0.002035363913504895
2829,1.0,0.0,1.0,1.0,0.0,6.0,4.0,62.0,1.0,16.0,0.0,5.0,5.0,2.0,0.0,9.0,1.0,0.0,8.85714285714286,1.0,1.0,0.0,0.5,0.0,3.0,2.0,0.025982900912427165
2936,2.0,0.0,1.0,1.0,0.0,0.0,1.0,37.0,1.0,8.0,38.0,76.0,0.0,3.0,0.0,38.0,1.0,0.0,1.63095238095238,0.0,1.0,0.0,0.714285714285714,0.0,6.0,1.0,0.0006398158675978705
3867,1.0,0.0,1.0,1.0,0.0,1.0,3.0,56.0,1.0,5.0,3.0,13.0,0.0,1.0,4.0,22.0,2.0,0.0,8.1578947368421,1.0,1.0,0.0,0.0,0.0,2.0,3.0,4.5687351996392955e-05
3877,0.0,0.0,1.0,1.0,0.0,0.0,1.0,42.0,1.0,0.0,17.0,47.0,0.0,3.0,2.0,15.0,2.0,0.0,1.85106382978723,1.0,1.0,0.0,0.3,0.0,1.0,4.0,0.000443487508995144
3912,1.0,0.0,1.0,1.0,0.0,1.0,3.0,55.0,1.0,5.0,3.0,13.0,0.0,1.0,3.0,22.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,3.259293060209334e-05
3919,0.0,0.0,6.0,1.0,0.0,0.0,1.0,48.0,1.0,1.0,16.0,46.0,0.0,5.0,0.0,14.0,6.0,0.0,1.72340425531915,1.0,1.0,0.0,0.5,0.0,4.0,3.0,0.004102354386210427
3926,1.0,0.0,2.0,1.0,3.0,5.0,1.0,95.0,1.0,7.0,4.0,5.0,2.0,3.0,0.0,19.0,1.0,1.0,10.8461538461538,1.0,1.0,0.0,0.9,0.0,3.0,6.0,0.0008259338370233404
4145,10.0,0.0,1.0,6.0,0.0,1.0,3.0,99.0,3.0,10.0,2.0,51.0,0.0,5.0,0.0,22.0,2.0,0.0,4.12676056338028,0.0,1.0,0.0,0.428571428571429,0.0,4.0,7.0,0.019236548201876702
