,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
57,17.0,7.0,1.0,1.0,23.0,2.0,12.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,1.0,1.0
104,15.0,0.0,3.0,3.0,4.0,5.0,5.0,197.0,28.0,5.0,10.0,186.0,2.0,1.0,0.0,32.0,2.0,2.0,8.06060606060606,1.0,1.0,0.0,0.5,0.0,2.0,7.0
115,4.0,0.0,2.0,1.0,0.0,4.0,3.0,132.0,4.0,9.0,13.0,25.0,1.0,3.0,2788.0,19.0,2.0,0.0,1.4,1.0,1.0,0.0,0.333333333333333,0.0,3.0,7.0
141,0.0,0.0,3.0,0.0,1.0,6.0,5.0,44.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,10.0,1.0,1.0,1.4,2.0,1.0,0.0,1.0,0.0,3.0,3.0
148,2.0,0.0,2.0,0.0,0.0,6.0,3.0,178.0,2.0,12.0,9.0,9.0,2.0,5.0,1665.0,20.0,6.0,1.0,5.78260869565217,0.0,1.0,0.0,0.75,0.0,1.0,5.0
152,1.0,1.0,1.0,2.0,0.0,0.0,1.0,115.0,2.0,7.0,40.0,101.0,0.0,4.0,2.0,28.0,6.0,87.0,1.88181818181818,1.0,1.0,0.0,1.0,0.0,1.0,5.0
310,0.0,0.0,1.0,0.0,0.0,0.0,2.0,45.0,1.0,0.0,18.0,36.0,0.0,1.0,1835.0,22.0,2.0,1.0,2.83333333333333,1.0,1.0,0.0,1.0,0.0,3.0,5.0
491,2.0,0.0,1.0,0.0,0.0,1.0,1.0,23.0,1.0,4.0,25.0,91.0,0.0,3.0,0.0,17.0,2.0,0.0,2.03092783505155,1.0,1.0,0.0,0.5,0.0,3.0,7.0
589,4.0,0.0,1.0,0.0,0.0,2.0,1.0,300.0,33.0,4.0,17.0,89.0,0.0,3.0,3069.0,21.0,1.0,0.0,2.52577319587629,1.0,1.0,0.0,0.666666666666667,0.0,3.0,5.0
599,1.0,2.0,1.0,0.0,0.0,8.0,1.0,1598.0,1.0,11.0,7.0,10.0,0.0,3.0,27.0,94.0,2.0,0.0,3.57435897435897,0.0,1.0,0.0,0.9,0.0,4.0,9.0
601,1.0,0.0,1.0,0.0,0.0,1.0,1.0,104.0,2.0,5.0,13.0,52.0,0.0,5.0,2205.0,10.0,2.0,0.0,1.88679245283019,1.0,1.0,0.0,0.8,0.0,3.0,5.0
637,0.0,0.0,1.0,10.0,0.0,1.0,1.0,97.0,1.0,1.0,12.0,47.0,0.0,4.0,0.0,13.0,2.0,253.0,1.95833333333333,1.0,1.0,0.0,0.666666666666667,0.0,1.0,3.0
655,7.0,0.0,1.0,2.0,0.0,2.0,2.0,175.0,7.0,7.0,35.0,49.0,1.0,3.0,2788.0,31.0,5.0,0.0,4.33333333333333,1.0,16.0,0.0,1.0,0.0,1.0,5.0
731,5.0,0.0,1.0,1.0,1.0,5.0,3.0,270.0,6.0,19.0,25.0,27.0,1.0,2.0,646.0,31.0,4.0,0.0,5.19607843137255,0.0,1.0,0.0,0.888888888888889,0.0,1.0,2.0
755,7.0,2.0,1.0,0.0,0.0,3.0,2.0,86.0,5.0,7.0,7.0,14.0,2.0,2.0,313.0,16.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0
770,3.0,58.0,1.0,1.0,0.0,1.0,2.0,62.0,7.0,9.0,6.0,18.0,1.0,3.0,1632.0,10.0,4.0,0.0,3.73333333333333,1.0,1.0,0.0,0.5,0.0,2.0,5.0
