,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
57,17,7,1,1,0,2,1,418,26,2,32,2,0,3,19,2,2,0,2.08474576271186,0,0,0,151,0,13,0.9500000000000001
148,2,0,2,0,0,6,3,178,2,12,9,4,2,5,2,2,2,1,5.78260869565217,0,1,0,7,0,0.25,18
310,0,0,1,0,0,0,2,45,1,0,18,11,0,1,0,18,2,1,2.83333333333333,1,1,0,0.9500000000000001,0,3,4
601,1,0,1,0,0,1,1,104,2,0,13,4,0,5,0,43,2,0,1.88679245283019,1,1,0,8,0,0.25,4
637,0,0,1,0,0,1,1,97,1,1,12,2,0,4,0,43,2,0,1.95833333333333,1,1,0,2,0,0.25,8
655,7,0,1,2,0,2,2,175,7,7,35,2,1,3,0,43,5,0,4.33333333333333,1,1,0,4,0,0.9500000000000001,18
731,5,0,1,1,1,5,3,270,6,19,25,18,1,2,3,6,4,0,5.19607843137255,0,1,0,2,0,11,0.9
755,3,2,1,0,0,3,2,86,5,7,7,11,2,2,2,13,3,0,4.0,1,1,0,0.9500000000000001,0,3,2
770,3,0,1,1,0,1,2,62,7,9,6,8,1,3,1,4,4,0,3.73333333333333,1,1,0,11,0,0.25,3
104,15,0,3,3,4,5,5,197,2,5,10,18,2,1,0,6,2,2,8.06060606060606,1,1,0,11,0,0.25,3
141,0,0,3,0,1,6,5,44,1,1,1,8,3,6,1,5,1,1,14.25,2,1,0,0.9500000000000001,0,2,3
152,1,1,1,2,0,0,1,115,2,7,40,2,0,4,2,72,2,0,1.88181818181818,1,1,0,4,0,0.9500000000000001,18
779,0,0,1,0,0,0,1,39,1,3,10,11,0,1,0,5,2,1,2.2,1,1,0,0.25,0,3,2
491,2,0,1,0,0,1,1,164,1,4,25,72,0,3,0,13,2,0,2.03092783505155,1,1,0,0.1,0,3,6
897,1,0,2,0,17,6,3,133,1,0,0,3,0,1,0,11,2,0,3.61111111111111,1,1,0,2,0,0.9500000000000001,8
939,3,0,2,2,70,5,3,495,4,0,4,72,0,2,0,8,2,0,3.39506172839506,0,1,0,0.25,0,4,6
946,2,0,1,1,18,4,4,106,1,0,0,6,0,1,0,4,1,0,2.63157894736842,1,1,0,1.0,0,11,3
2825,4,0,1,1,0,5,5,111,1,0,12,7,7,2,0,8,2,2,10.4666666666667,1,1,0,0.25,0,4,2
589,4,0,1,0,0,2,1,300,1,4,17,72,0,3,0,18,1,0,2.52577319587629,1,1,0,0.1,0,3,4
115,4,0,2,1,0,4,3,132,4,9,13,11,1,3,0,18,2,0,5.02631578947368,1,1,0,0.1,0,3,6
2936,0,0,1,1,0,0,1,37,1,8,38,34,0,3,0,2,1,0,1.63095238095238,0,1,0,72,0,3,0.25
3867,1,0,1,1,0,1,3,56,1,5,3,18,0,1,4,3,2,0,8.1578947368421,1,1,0,2,0,0.25,11
2829,1,0,1,1,0,6,4,62,1,1,0,0.25,5,2,0,7,1,0,8.85714285714286,1,1,0,2,0,8,2
599,1,2,1,0,0,8,1,1598,1,11,7,181,0,3,27,94,2,0,3.57435897435897,0,1,0,0.1,0,4,6
3877,0,0,1,1,0,0,1,42,1,0,17,2,0,5,2,43,2,0,1.85106382978723,1,1,0,2,0,0.25,13
4147,1,0,1,1,1,2,3,47,1,4,2,4,1,3,0,2,2,1,7.81818181818182,1,1,0,4,0,0.25,18
3926,1,0,2,1,3,5,5,95,1,7,4,2,2,3,0,7,1,1,10.8461538461538,1,1,0,18,0,0.25,6
3912,1,0,1,1,0,1,3,55,1,5,3,18,0,1,3,4,2,0,8.0,1,1,0,11,0,0.25,3
4304,2,0,1,0,2,0,1,97,1,7,10,3,0,3,2,6,4,0,2.59659090909091,1,1,0,18,0,0.25,167
3919,0,0,1,1,0,0,1,48,1,1,16,43,0,5,0,13,2,0,1.72340425531915,1,1,0,0.2,0,4,2
4145,10,0,1,6,0,1,3,99,3,10,25,43,0,5,0,18,2,0,4.12676056338028,0,1,0,0.1,0,4,6
