,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
115,4,0,2,1,0,4,3,70,4,7,7,25,1,3,0,18,2,0,5.02631578947368,1,1,0,0.333333333333333,0,3,6
141,0,0,2,0,1,6,4,44,1,1,1,3,3,6,1,8,1,1,13.14999999999997,2,1,0,1.0,0,3,2
779,0,0,1,0,0,0,1,35,1,2,8,11,0,1,0,6,2,1,2.2,1,1,0,0.666666666666667,0,3,2
897,1,0,1,0,14,6,2,70,1,0,0,11,0,1,0,9,2,0,3.61111111111111,1,1,0,1.0,0,2,3
148,2,0,2,0,0,6,3,70,2,7,9,7,2,5,2,18,2,1,5.78260869565217,0,1,0,0.75,0,1,4
2825,4,0,1,1,0,5,4,70,1,0,12,11,7,2,0,8,2,2,9.916666666666709,1,1,0,0.571428571428571,0,4,2
946,2,0,1,1,14,4,2,70,1,0,0,11,0,1,0,5,1,0,2.63157894736842,1,1,0,1.0,0,2,4
601,1,0,1,0,0,1,1,70,2,0,8,43,0,5,0,8,2,0,1.88679245283019,1,1,0,0.8,0,3,4
637,0,0,1,0,0,1,1,70,1,1,8,43,0,4,0,8,2,0,1.95833333333333,1,1,0,0.666666666666667,0,1,2
2829,0,0,1,1,0,6,2,35,1,1,0,5,5,2,0,8,1,0,8.85714285714286,1,1,0,0.25,0,3,2
3912,1,2,1,1,0,1,18,55,1,4,3,13,0,1,3,4,2,0,8.0,1,1,0,0.5,0,2,1
3867,1,0,1,1,0,1,2,35,1,4,3,13,0,1,4,18,2,0,8.1578947368421,1,1,0,0.6,0,2,2
3877,0,0,1,1,0,0,1,35,1,0,8,43,0,5,2,13,2,0,1.85106382978723,1,1,0,0.5,0,1,2
770,3,0,1,1,0,1,2,35,6,7,6,18,1,3,1,10,3,0,3.73333333333333,1,1,0,0.5,0,2,4
491,2,0,1,0,0,1,1,70,1,4,23,72,0,3,0,8,2,0,2.03092783505155,1,1,0,0.5,0,3,6
655,7,0,1,2,0,2,2,70,6,7,23,49,1,3,0,18,5,0,4.33333333333333,1,1,0,1.0,0,1,4
152,1,1,1,2,0,0,1,70,2,6,11,72,0,4,2,18,2,0,1.88181818181818,1,1,0,1.0,0,1,5
2936,0,0,1,1,0,0,1,32,1,7,23,72,0,3,0,34,1,0,1.63095238095238,0,1,0,0.714285714285714,0,3,1
4304,2,6,1,0,2,0,1,97,1,3,10,167,0,3,2,6,18,0,2.59659090909091,1,1,0,0.625,0,2,1
57,17,405,1,1,0,2,1,1,26,2,32,3,0,3,19,151,2,0,2.08474576271186,0,13,0,1.0,0,1,1
3919,0,0,1,1,0,0,1,35,1,1,8,43,0,5,0,13,2,0,1.72340425531915,1,1,0,0.5,0,4,1
4147,1,0,1,1,1,2,3,35,1,3,2,6,1,2,0,18,2,1,7.81818181818182,1,1,0,0.75,0,1,4
310,0,0,1,0,0,0,2,35,1,0,8,11,0,1,0,18,2,1,2.83333333333333,1,1,0,1.0,0,3,4
104,14,0,1,3,4,5,5,197,2,4,10,13,2,1,0,11,2,2,8.06060606060606,1,1,0,0.5,0,2,6
755,3,1,1,0,0,3,2,70,5,6,7,14,2,2,2,13,1,0,4.0,1,1,0,1.0,0,3,4
599,1,2,1,0,0,8,1,1598,1,0,7,181,0,3,27,94,2,0,3.57435897435897,0,1,0,0.545454545454545,0,4,3
3926,1,0,2,1,3,5,4,36,1,6,4,5,2,3,0,18,1,1,9.896153846153808,1,1,0,0.666666666666667,0,3,6
4145,7,0,1,6,0,1,2,99,3,2,25,43,0,5,0,22,2,0,4.12676056338028,0,1,0,0.428571428571429,0,4,4
589,4,0,1,0,0,2,1,300,1,2,17,72,0,3,0,18,1,0,2.52577319587629,1,1,0,0.666666666666667,0,3,1
731,5,0,1,1,1,5,3,270,6,1,22,27,1,2,3,18,4,0,5.19607843137255,0,1,0,0.888888888888889,0,1,6
