,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
57,17.0,7.0,1.0,1.0,0.0,2.0,1.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,19.0,4.0,2.0,0.0,2.08474576271186,0.0,0.0,0.0,1.0,0.0,1.0,1.0
115,4.0,0.0,2.0,1.0,0.0,4.0,3.0,25.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,19.0,2.0,0.0,5.02631578947368,1.0,1.0,0.0,0.333333333333333,0.0,3.0,7.0
104,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0.0,0.0,3.0,0.0,1.0,6.0,5.0,44.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,10.0,1.0,1.0,14.25,2.0,1.0,0.0,1.0,0.0,3.0,0.0
939,,,,,,,,,,,,,,,,,,,,,,,,,,
4145,10.0,0.0,1.0,6.0,0.0,1.0,3.0,20.0,3.0,10.0,25.0,51.0,0.0,5.0,0.0,22.0,2.0,0.0,4.12676056338028,0.0,1.0,0.0,0.428571428571429,0.0,4.0,7.0
3867,1.0,0.0,1.0,1.0,0.0,1.0,3.0,56.0,1.0,5.0,3.0,13.0,0.0,1.0,4.0,22.0,2.0,0.0,8.1578947368421,1.0,1.0,0.0,0.09,0.0,2.0,3.0
491,,,,,,,,,,,,,,,,,,,,,,,,,,
599,1.0,2.0,1.0,0.0,0.0,8.0,1.0,1598.0,1.0,11.0,7.0,181.0,0.0,3.0,27.0,94.0,2.0,0.0,3.57435897435897,0.0,1.0,0.0,0.545454545454545,0.0,4.0,0.0
601,,,,,,,,,,,,,,,,,,,,,,,,,,
770,,,,,,,,,,,,,,,,,,,,,,,,,,
