test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
26,0,6.0,1.0,0.0,28.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.5,4.0,6.0,16.0,0.52963495,0.47036505,1
26,1,6.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.9933443,0.00665568,2
26,2,6.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,0.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.9984304,0.001569655,3
26,3,0.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,0.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.9995658,0.000434193,4
26,4,0.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,0.0,1.0,6.9,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.9997508,0.00024922824,5
26,5,0.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.9982926,0.0017073544,3
26,6,0.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,2.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.9993132,0.0006868319,4
26,7,0.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,50.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,2.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.99966717,0.00033281808,5
26,8,0.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,66.0,2.0,5.0,0.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.99964935,0.00035064045,5
26,9,0.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,2.0,0.99959916,0.00040082654,4
26,10,0.0,1.0,0.0,0.0,76.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,2.0,0.9997259,0.00027412386,5
26,11,0.0,21.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,0.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.9995771,0.00042288846,5
26,12,6.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,0.0,1.0,12.6617647058824,0.0,2.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.9993255,0.00067449966,4
26,13,6.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,0.0,1.0,6.9,0.0,2.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.99951214,0.00048784897,5
26,14,0.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,4.1,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.9992645,0.0007355003,4
26,15,0.0,1.0,0.0,0.0,0.0,383.0,0.3,0.0,50.0,2.0,5.0,4.0,1.0,4.1,0.0,0.0,0.0,0.384615384615385,0.0,0.0,4.0,6.0,16.0,0.99955076,0.0004492152,5
