test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
30,0,7.0,0.0,1.0,12.0,4.0,3.0,16.0,10.0,0.6,0.0,70.0,2.0,3.0,1.0,10.0,2.0,3.6,0.0,3.1,0.0,1.0,0.7,0.0,2.0,1.0,0.8138168,0.1861832
49,0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,30.0,0.3,0.0,98.0,2.0,3.0,3.0,24.0,2.0,9.6,1.0,4.1,1.0,1.0,0.6,0.0,3.0,7.0,0.8248545,0.17514554
49,1,2.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.2,0.0,173.0,1.0,2.0,0.0,1.0,1.0,3.2,0.0,1.3,0.0,1.0,0.0,0.0,1.0,3.0,0.9992126,0.00078738644
340,0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.2,0.0,173.0,1.0,2.0,0.0,1.0,1.0,3.2,0.0,1.3,0.0,1.0,0.0,0.0,1.0,3.0,0.9992126,0.00078738644
340,1,3.0,0.0,1.0,3.0,1.0,2.0,3.0,30.0,0.3,0.0,98.0,2.0,3.0,3.0,24.0,2.0,9.6,1.0,4.1,1.0,1.0,0.6,0.0,3.0,7.0,0.8248545,0.17514554
358,0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,0.2,1.0,21.0,4.0,2.0,0.0,13.0,1.0,5.4,1.0,6.5,1.0,1.0,0.5,0.0,2.0,2.0,0.9927371,0.007262874
358,1,9.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,0.2,1.0,21.0,4.0,2.0,0.0,13.0,1.0,5.4,1.0,6.5,1.0,1.0,0.5,0.0,2.0,2.0,0.9927371,0.007262874
359,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1,0.0,53.0,1.0,1.0,7.0,55.0,2.0,2.2,0.0,2.5,0.0,1.0,0.7,0.0,2.0,6.0,0.9991712,0.00082881405
359,1,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,0.1,0.0,50.0,1.0,3.0,0.0,46.0,1.0,1.9,0.0,2.4,0.0,1.0,0.7,0.0,1.0,1.0,0.9937522,0.0062478012
359,2,9.0,0.0,1.0,1.0,3.0,6.0,1.0,5.0,0.6,0.0,50.0,2.0,2.0,0.0,10.0,2.0,3.9,1.0,3.5,1.0,1.0,0.7,0.0,3.0,9.0,0.9891923,0.010807702
359,3,9.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,0.2,1.0,21.0,4.0,2.0,0.0,13.0,1.0,5.4,1.0,6.5,1.0,1.0,0.5,0.0,2.0,2.0,0.9927371,0.007262874
390,0,3.0,0.0,2.0,0.0,0.0,1.0,7.0,4.0,0.2,0.0,15.0,3.0,1.0,0.0,19.0,1.0,5.0,2.0,6.3,1.0,1.0,0.5,0.0,4.0,0.0,0.8744539,0.12554613
390,1,6.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,0.2,0.0,20.0,3.0,2.0,0.0,11.0,1.0,2.8,0.0,4.6,2.0,1.0,1.0,0.0,2.0,3.0,0.72771543,0.27228457
439,0,5.0,0.0,1.0,0.0,2.0,17.0,3.0,25.0,0.4,1.0,59.0,2.0,2.0,10.0,27.0,2.0,4.0,0.0,4.5,0.0,1.0,0.6,0.0,4.0,10.0,0.9497362,0.050263837
439,1,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,0.1,0.0,50.0,1.0,3.0,0.0,46.0,1.0,1.9,0.0,2.4,0.0,1.0,0.7,0.0,1.0,1.0,0.9937522,0.0062478012
439,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.1,0.0,53.0,1.0,1.0,7.0,55.0,2.0,2.2,0.0,2.5,0.0,1.0,0.7,0.0,2.0,6.0,0.9991712,0.00082881405
471,0,3.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.1,0.0,0.0,6.0,1.0,0.0,12.0,1.0,5.4,1.0,6.3,1.0,1.0,0.9,0.0,2.0,4.0,0.9976066,0.0023934531
471,1,19.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.1,0.0,7.0,2.0,1.0,0.0,5.0,2.0,2.6,0.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,0.6561152,0.34388483
