,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
11,1,0,1,1,3,2,2,44,1,1,3,8,0,2,0,9,1,1,1,0,0.15000000000000002,1,3,2,3
38,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,0,1,0,0,1,2,44,1,3,5,16,0,2,0,10,2,0,1,0,0.5,0,3,1,3
58,4,0,2,0,0,4,3,44,4,8,13,25,1,3,0,18,2,0,1,0,0.727272727272727,0,3,2,6
1533,0,0,1,1,0,1,2,44,1,3,10,19,1,6,1,9,2,1,0,0,0.5,0,2,1,3
1534,2,0,2,0,0,6,3,180,2,8,9,12,1,4,2,20,3,0,0,0,0.5,1,1,2,3
1537,1,1,1,0,0,0,1,44,2,7,38,96,0,4,2,18,2,0,1,0,0.15000000000000002,0,1,3,5
106,1,0,1,0,0,2,1,44,3,8,7,13,0,2,0,10,5,0,0,0,0.5,0,2,2,5
110,0,0,1,1,0,0,1,22,1,0,8,19,0,3,0,9,1,0,0,0,0.15000000000000002,1,5,2,1
123,0,0,1,0,0,2,2,233,1,0,3,84,0,1,1,9,1,0,1,0,0.5,0,4,3,4
153,,,,,,,,,,,,,,,,,,,,,,,,,
1620,,,,,,,,,,,,,,,,,,,,,,,,,
1690,,,,,,,,,,,,,,,,,,,,,,,,,
1742,1,2,1,0,0,8,1,233,1,11,6,98,0,3,27,18,2,0,0,0,0.5,0,4,2,8
1764,1,0,1,0,0,1,2,44,1,1,5,22,0,4,0,10,2,0,1,0,0.15000000000000002,0,3,2,4
1775,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,
361,5,0,1,0,1,5,3,233,6,18,24,27,1,2,3,18,4,0,0,0,0.5,0,1,2,8
364,0,0,0,1,0,0,1,37,2,3,14,26,0,2,0,10,2,1,1,0,0.5,0,3,1,4
1800,7,0,2,0,0,6,1,285,7,17,29,16,2,4,3,18,2,0,0,0,0.5,0,1,2,4
377,3,2,1,0,0,3,2,44,4,6,7,14,1,2,2,10,3,0,1,0,0.5,0,3,1,4
422,0,9,1,1,0,5,1,44,1,0,0,0,0,1,1,7,1,0,0,0,0.45,0,1,1,4
454,3,0,2,0,10,4,1,44,1,0,0,8,1,1,0,3,1,0,1,0,0.15000000000000002,0,3,3,1
695,0,0,1,0,1,0,1,32,2,7,8,13,0,0,2,10,2,0,1,0,0.5,0,3,1,2
2414,2,0,1,1,0,6,6,44,1,0,6,10,8,2,0,10,2,1,1,0,0.8,0,4,1,2
2489,,,,,,,,,,,,,,,,,,,,,,,,,
2513,,,,,,,,,,,,,,,,,,,,,,,,,
2617,,,,,,,,,,,,,,,,,,,,,,,,,
865,,,,,,,,,,,,,,,,,,,,,,,,,
2906,0,0,1,1,0,0,2,44,1,1,14,42,0,5,0,10,2,0,1,1,0.5,0,5,1,2
2911,,,,,,,,,,,,,,,,,,,,,,,,,
921,,,,,,,,,,,,,,,,,,,,,,,,,
923,1,0,1,0,1,2,3,44,1,3,2,6,1,3,0,18,2,1,1,0,0.45,0,1,2,5
956,0,0,1,1,0,5,5,44,1,8,3,11,0,1,0,22,1,2,2,0,0.5,0,3,1,4
957,0,0,1,0,7,0,1,44,1,4,4,67,0,3,1,10,3,0,1,0,0.545454545454545,0,4,3,4
960,2,0,1,0,2,0,1,44,2,3,6,98,0,3,2,35,4,0,1,0,0.5,0,2,3,7
987,0,0,1,0,0,1,1,25,2,2,2,4,1,4,0,8,2,0,1,0,0.45,1,3,2,1
3523,1,0,1,1,0,0,1,16,2,1,0,1,0,5,0,1,2,0,0,0,0.9500000000000001,0,1,1,1
