,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
11,1,0,1,1,3,2,2,51,1,1,3,9,0,2,0,9,1,1,1,0,0.4,0,3,1,3
52,0,0,1,1,0,1,2,58,1,3,5,16,0,2,0,2,2,0,1,0,0.666666666666667,0,3,2,3
123,0,0,1,4,0,2,2,16,1,0,3,84,0,1,1,10,1,0,1,0,0.571428571428571,0,4,4,4
1764,1,0,1,0,0,1,1,53,1,1,5,22,0,4,0,11,2,0,1,0,0.05,0,3,3,4
361,5,0,1,1,1,5,3,264,6,18,24,27,1,2,3,31,4,0,0,0,0.05,0,1,3,8
364,0,0,1,0,0,0,1,37,2,4,14,2,0,2,0,14,2,1,1,0,0.5,0,3,2,4
1800,7,0,2,1,0,6,3,285,7,17,29,16,2,4,3,27,2,0,0,0,0.5,0,1,1,7
422,0,20,1,0,0,5,1,136,1,0,0,0,0,1,1,7,1,0,0,0,0.05,0,1,2,4
695,0,0,1,1,1,0,1,32,2,7,8,15,0,3,2,15,2,0,1,0,0.05,0,3,2,2
2906,0,0,1,1,0,0,1,56,1,1,14,42,0,5,0,14,2,0,1,0,0.05,0,5,2,2
921,5,0,1,6,0,1,3,18,3,10,25,51,0,5,0,23,2,0,0,0,0.4,0,4,3,6
923,1,0,1,1,1,2,3,18,1,4,2,6,1,3,0,19,2,1,1,0,0.5,0,1,3,5
957,0,0,1,1,7,0,1,62,1,4,4,67,0,3,1,3,3,0,1,0,0.545454545454545,0,4,5,5
