test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
11,0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,51.0,1.0,1.0,3.0,9.0,0.0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.4,0.0,3.0,1.0,3.0,0.6225910226566769,0.3774089773433231,1
1516,0,17.0,7.0,1.0,1.0,36.0,2.0,1.0,418.0,26.0,2.0,32.0,151.0,0.0,3.0,19.0,14.0,2.0,0.0,0.0,0.0,0.75,0.0,1.0,2.0,1.0,0.692640601239358,0.30735939876064194,1
38,0,0.0,114.0,1.0,0.0,0.0,6.0,1.0,768.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,0.0,0.0,0.0,0.375,0.0,3.0,1.0,9.0,0.5893064758338935,0.4106935241661065,1
50,0,12.0,0.0,3.0,3.0,4.0,5.0,2.0,193.0,2.0,7.0,9.0,12.0,2.0,1.0,0.0,32.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,6.0,0.5852909439263783,0.4147090560736217,1
52,0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,58.0,1.0,3.0,5.0,16.0,0.0,2.0,0.0,13.0,2.0,0.0,1.0,0.0,0.666666666666667,0.0,2.0,2.0,3.0,0.6427725810586548,0.35722741894134524,1
58,0,4.0,0.0,2.0,1.0,36.0,4.0,3.0,132.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,19.0,2.0,0.0,1.0,0.0,0.727272727272727,0.0,3.0,2.0,6.0,0.5962110140853611,0.4037889859146388,2
1534,0,2.0,0.0,2.0,0.0,0.0,6.0,3.0,180.0,2.0,11.0,9.0,12.0,1.0,4.0,2.0,20.0,3.0,0.0,0.0,0.0,0.571428571428571,0.0,1.0,0.0,4.0,0.5105052242321024,0.48949477576789757,1
1537,0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,115.0,2.0,7.0,38.0,96.0,0.0,4.0,2.0,27.0,2.0,0.0,1.0,0.0,0.428571428571429,0.0,1.0,2.0,5.0,0.5814257635570088,0.41857423644299124,1
106,0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,71.0,3.0,8.0,7.0,13.0,0.0,2.0,0.0,17.0,5.0,0.0,0.0,0.0,0.5,0.0,2.0,1.0,5.0,0.6239891952454204,0.37601080475457965,1
107,0,0.0,4.0,1.0,0.0,36.0,0.0,1.0,39.0,1.0,2.0,12.0,26.0,0.0,3.0,0.0,14.0,3.0,0.0,1.0,0.0,0.666666666666667,0.0,2.0,3.0,5.0,0.7723826434338911,0.22761735656610893,1
