test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
80,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,0.53,0.0,97.0,2.0,3.0,19.0,6.0,20.4848484848485,0.0,1.0,0.0,1.0,0.539735099337748,4.0,0.6919463620168473,0.3080536379831524,1
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,30.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,19.0,1.0,5.16666666666667,1.0,1.0,0.0,1.0,0.470715835140998,2.0,0.549486123924799,0.4505138760752011,3
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,155.0,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,16.0,1.0,3.32142857142857,0.0,1.0,0.0,0.0,0.659147869674185,1.0,0.5756627488756296,0.4243372511243704,2
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,35.0,16.0,0.05,0.0,88.0,3.0,0.0,40.0,2.0,4.97368421052632,0.0,1.0,0.0,37.0,0.547058823529412,3.0,0.5,0.5,1
172,0,4.0,0.0,1.0,2.0,4.0,2.0,2.0,121.0,2.0,3.0,16.0,0.38,0.0,92.0,1.0,0.0,1.0,2.0,3.92307692307692,1.0,1.0,0.0,0.0,0.495867768595041,2.0,0.694072002118317,0.30592799788168284,1
192,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,83.0,1.0,8.0,12.0,0.23,0.0,82.0,1.0,3.0,11.0,2.0,4.48275862068965,0.0,0.0,0.0,0.0,0.326653306613226,2.0,0.5334870174045767,0.4665129825954234,2
195,0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,164.0,1.0,2.0,29.0,0.56,0.0,96.0,1.0,2.0,7.0,2.0,2.75,0.0,0.0,0.0,1.0,0.796190476190476,2.0,0.5421124448514805,0.45788755514851953,2
251,0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,170.0,1.0,0.0,39.0,0.41,0.0,97.0,2.0,0.0,28.0,1.0,2.63529411764706,1.0,1.0,0.0,0.0,0.642647058823529,3.0,0.5490009488607036,0.4509990511392964,2
267,0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,132.0,4.0,9.0,14.0,0.24,0.0,89.0,2.0,2.0,26.0,2.0,4.025,0.0,0.0,0.0,108.0,0.531208499335989,2.0,0.6312239924756595,0.3687760075243406,1
275,0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,375.0,1.0,7.0,19.0,0.06,0.0,92.0,2.0,1.0,64.0,1.0,4.33802816901408,0.0,0.0,0.0,18.0,0.328063241106719,3.0,0.6535354733501498,0.3464645266498501,2
282,0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,70.0,13.0,2.0,1.0,0.15,1.0,85.0,2.0,1.0,40.0,2.0,3.23076923076923,0.0,0.0,0.0,40.0,0.416531604538088,3.0,0.5235772427669336,0.4764227572330662,2
