,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,CountLineComment,CountDeclMethodProtected,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
21,7.0,326.0,2.84745762711864,9.0,1.0,0.0,2.36,0.0,100.0,2.0,2.0,14.0,2.0,2.84745762711864,0.0,0.7796610169491531,0.0,1.0,0.0,0.0,0.470588235294118,0.0,4.0,7.0,7.0
22,6.0,72.0,531.0,3.0,3.0,16.0,0.26,0.0,97.0,3.0,3.9999999999999996,72.0,3.0,3.41706161137441,0.0,3.62085308056872,0.0,1.0,0.518828451882845,0.0,0.297297297297297,8.0,4.0,6.0,15.0
1633,5.0,0.08000000000000007,14.0,1.0,2.4179104477611872,0.0,0.0800000000000003,0.0,62.0,1.0,0.0,14.0,2.0,2.41791044776119,1.0,2.19402985074627,1.0,1.0,0.09333333333333327,0.0,0.285714285714286,0.0,3.0,5.0,2.0
23,0.43884892086330907,10.0,553.0,40.0,4.0,1.0,0.5899999999999999,0.0,91.0,2.0,1.0,39.99999999999999,2.0,17.1,1.0,4.21818181818182,1.0,1.0,0.438848920863309,0.0,0.428571428571429,5.0,6.0,4.0,10.0
30,100.0,4.0,4.0,4.85714285714286,1.0625,1.0,0.68,0.0,89.0,4.0,0.0,7.0,2.0,4.85714285714286,0.0,4.85714285714286,1.0,1.0,1.0625,0.0,0.444444444444444,0.0,2.0,4.0,4.0
39,6.0,4.0,148.0,3.0,10.0,1.0,0.7,0.0,86.0,3.0,3.9999999999999996,10.0,4.0,10.8333333333333,1.0,3.25,1.0,1.0,0.769230769230769,0.0,0.461538461538462,0.0,3.0,6.0,5.0
10,0.0,6.0,133.0,5.0,1.625,5.0,0.47,0.0,81.0,2.0,0.0,23.0,1.0,5.71428571428571,1.0,7.0,1.0,1.0,1.625,0.0,0.533333333333333,0.0,4.0,6.0,4.0
47,0.0,329.0,5.0,9.0,0.6666666666666714,2.0,0.97,0.0,90.0,1.0,0.0,5.0,2.0,18.3333333333333,2.0,3.72727272727273,1.0,1.0,0.638888888888889,0.0,0.666666666666667,0.0,3.0,2.0,5.0
185,6.0,15.0,150.0,3.0,1.6235294117647072,0.0,0.3900000000000001,0.0,98.0,2.0,0.0,150.0,1.0,9.3375,0.0,11.8625,1.0,1.0,1.62352941176471,0.0,0.448275862068966,6.0,2.0,6.0,15.0
1640,12.999999999999998,5.0,8.0,3.0,37.0,23.0,0.3999999999999999,0.0,94.0,2.0,1.0,31.0,2.0,5.62025316455696,0.0,6.13924050632911,1.0,1.0,0.91304347826087,0.0,0.538461538461538,0.0,2.0,5.0,8.0
44,,,,,,,,,,,,,,,,,,,,,,,,,
227,0.0,14.25,60.0,6.0,12.750000000000007,0.0,0.33000000000000007,3.0,60.0,1.0,0.0,2.0,1.0,12.75,6.0,14.25,3.0,1.0,2.5,0.0,0.333333333333333,0.0,1.0,3.0,5.0
19,,,,,,,,,,,,,,,,,,,,,,,,,
1661,0.0,20.0,0.08000000000000007,3.0,6.911764705882348,4.0,0.0800000000000003,1.9999999999999998,87.0,2.0,0.0,20.0,2.0,3.88235294117647,0.0,6.91176470588235,1.0,1.0,0.5,0.0,0.5,0.0,1.0,3.0,2.0
257,0.0,16.0,402.0,9.0,3.0,0.0,1.41,0.0,100.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.407407407407407,9.0,4.0,3.0,16.0
291,1.0,116.0,4.33333333333333,1.0,2.125,0.0,0.76,0.0,96.0,1.0,0.0,1.0000000000000009,1.0,9.83333333333333,1.0,4.33333333333333,1.0,1.0,2.1249999999999996,0.0,0.5,0.0,3.0,2.0,2.0
349,,,,,,,,,,,,,,,,,,,,,,,,,
455,5.0,3.0,2.88235294117647,5.705882352941179,1.0,2.0,0.27,1.0,74.0,2.0,0.0,16.0,3.0,2.88235294117647,0.0,5.70588235294118,0.0,1.0,0.708333333333333,0.0,0.333333333333333,0.0,3.0,5.0,2.0
456,18.0,0.0,5.0,149.0,100.0,10.0,0.18999999999999995,1.0,100.0,3.0,0.0,15.0,2.0,3.87037037037037,0.0,6.01851851851852,0.0,0.0,0.64,0.0,0.363636363636364,0.0,2.0,5.0,2.0
457,0.0,0.0,99.99999999999999,3.0,15.0,5.0,0.14000000000000012,1.0,100.0,3.0,0.0,16.0,1.0,3.95652173913043,0.0,7.39130434782609,1.0,0.0,0.931034482758621,0.0,0.333333333333333,0.0,2.0,3.0,1.0
503,0.0,0.0,1.0,3.0,17.0,1.0,0.31000000000000005,0.0,0.0,1.0,0.0,4.0,1.0,1.125,0.0,2.75,2.0,1.0,0.3,0.0,0.333333333333333,0.0,1.0,3.0,2.0
54,,,,,,,,,,,,,,,,,,,,,,,,,
552,0.0,5.0,210.99999999999997,3.0,3.287323943661974,76.0,0.020000000000000018,0.0,99.0,2.0,2.0,39.0,2.0,3.28732394366197,0.0,3.22464788732394,0.0,0.0,0.433378196500673,0.0,0.636363636363636,0.0,2.0,5.0,5.0
556,0.41341463414634094,3.07836587872559,0.0,3.0,4.0,265.0,0.020000000000000018,0.0,99.0,2.0,3.0,133.0,2.0,2.09224049331963,0.0,3.07836587872559,0.0,1.0,0.413414634146341,0.0,0.625,0.0,2.0,4.0,3.0
563,0.44208494208494176,2.25150905432596,13.0,0.833333333333333,1.0,24.0,0.020000000000000018,0.0,97.0,2.0,2.0,13.0,2.0,2.25150905432596,0.0,3.39034205231388,0.0,1.0,0.442084942084942,0.0,0.833333333333333,0.0,1.0,2.0,1.0
574,6.0,209.0,19.0,4.7037037037037,6.111111111111114,0.0,0.74,0.0,66.0,1.0,0.0,19.0,1.0,6.11111111111111,3.0,4.7037037037037,1.0,1.0,0.620689655172414,0.0,0.222222222222222,0.0,4.0,6.0,2.0
585,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,
589,0.3636363636363642,0.0,5.0,7.0,17.0,5.0,0.32000000000000006,0.0,89.0,2.0,3.9999999999999996,17.0,2.0,7.21538461538462,0.0,2.83076923076923,1.0,1.0,0.363636363636364,0.0,0.19999999999999996,0.0,4.0,5.0,3.0
592,1.0,453.0,3.0,2.0,1.0,0.0,2.68,0.0,0.0,1.0,3.0,8.0,1.0,1.0,1.0,0.015873015873015817,0.0,1.0,0.0,0.0,0.333333333333333,0.0,4.0,3.0,3.0
593,,,,,,,,,,,,,,,,,,,,,,,,,
597,700.0,0.88135593220339,4.0,2.0,3.0,0.0,3.47,0.0,0.0,1.0,1.0,23.0,1.0,0.8813559322033901,0.0,0.4237288135593218,0.0,1.0,0.0,0.0,0.4,0.0,5.0,3.0,5.0
621,2.0,2.7741935483870996,163.0,1.0,2.0,2.0,0.6200000000000001,0.0,76.0,2.0,2.0,2.0,3.0,3.48387096774194,0.0,2.7741935483871,0.0,1.0,0.882352941176471,0.0,1.0,0.0,1.0,1.0,2.0
622,0.0,0.0,3.5,2.0,1.1481481481481524,1.0,0.3599999999999999,1.0,75.0,2.0,0.0,6.0,2.0,3.5,0.0,3.875,1.0,1.0,1.14814814814815,0.0,0.5,0.0,4.0,3.0,4.0
682,17.0,6.0,505.0,5.5929203539823,6.0,12.0,0.27,0.0,95.0,2.0,1.0,29.0,2.0,5.5929203539823,0.0,6.69026548672566,1.0,1.0,1.25,0.0,0.705882352941177,0.0,1.0,6.0,6.0
717,5.0,10.0,143.0,7.0,1.4000000000000057,4.0,0.24,1.9999999999999998,88.0,2.0,3.9999999999999996,34.0,2.0,5.875,1.0,10.5,1.0,1.0,1.4,0.0,0.666666666666667,0.0,3.0,5.0,10.0
733,5.0,24.0,314.0,5.0,6.0,0.0,0.89,0.0,83.0,1.0,0.0,24.0,1.0,7.125,2.0,6.0,1.0,1.0,1.0,0.0,0.444444444444444,0.0,6.0,5.0,2.0
744,14.0,4.0,58.0,1.5,7.762376237623762,4.0,0.41999999999999993,1.0,92.0,3.0,2.0,58.0,2.0,8.4950495049505,0.0,7.76237623762376,1.0,1.0,1.5,0.0,0.387096774193548,7.000000000000001,4.0,4.0,14.0
746,5.0,130.0,1.47826086956522,4.6000000000000005,4.94736842105263,2.0,0.3400000000000001,1.0,78.0,1.0,3.9999999999999996,5.0,2.0,4.94736842105263,1.0,6.0,0.0,1.0,1.47826086956522,0.0,0.333333333333333,0.0,3.0,5.0,2.0
749,0.0,161.0,1.1111111111111098,9.0,3.1666666666666714,0.0,0.66,3.0,50.0,2.0,2.0,8.0,1.0,3.16666666666667,2.0,8.66666666666667,1.0,1.0,1.11111111111111,0.0,0.5,0.0,1.0,2.0,4.0
224,1.0,1.0,2.53333333333333,4.6000000000000005,5.0,0.0,0.24,0.0,84.0,1.0,0.0,3.0,1.0,9.03571428571429,1.0,6.5,1.0,1.0,2.53333333333333,0.0,0.571428571428571,0.0,4.0,3.0,5.0
1628,5.0,1.0,1.13513513513514,5.9,6.599999999999994,7.0,0.54,1.0,86.0,1.0,2.0,22.0,2.0,6.6,1.0,5.9,0.0,1.0,1.13513513513514,0.0,0.5,0.0,1.0,5.0,4.0
771,,,,,,,,,,,,,,,,,,,,,,,,,
777,,,,,,,,,,,,,,,,,,,,,,,,,
757,,,,,,,,,,,,,,,,,,,,,,,,,
782,0.0,1.0,4.6000000000000005,3.5,4.0,2.0,0.3799999999999999,0.0,0.0,3.0,0.0,11.0,1.0,3.5,1.0,5.5,3.0,1.0,0.833333333333333,0.0,0.25,0.0,3.0,4.0,4.0
187,23.999999999999996,1.0,2.0,1.33333333333333,3.1875,0.0,0.66,0.0,93.0,1.0,0.0,35.0,1.0,3.1875,0.0,5.8125,1.0,1.0,1.33333333333333,0.0,0.6,0.0,3.0,3.0,2.0
