,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
931,3,1,2,0,19,0,29,2,0,3,0.11,0,84,3,0,10.0,2,3.58620689655172,1,1,1,0.71875,0,130,0.666666666666667,0,2,2
370,6,3,1,1,25,0,39,8,3,6,0.14,0,86,3,0,0.5,2,6.83333333333333,1,2,1,0.411764705882353,0,586,0.5,0,5,1
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,13,0,2,0,0,0,254,144,2,5,0.01,1,99,1,1,118,2,1.61904761904762,0,0,1,0.585648148148148,0,139,0.727272727272727,0,1,4
390,8,0,1,7,38,0,103,2,0,2,0.19,0,97,1,0,10.0,1,3.64102564102564,2,1,1,0.714285714285714,0,530,1.0,0,2,5
505,19,1,4,15,22,0,59,6,0,8,0.09,1,77.5,1,2,3,2,3.13836898395722,1,1,1,1.54761904761905,0,36,0.5,0,3,5
409,14,0,1,2,2,0,47,2,2,7,0.07,1,88,3,0,1.0,2,6.33333333333333,0,1,1,0.766233766233766,0,142,0.4,0,4,2
289,21,0,1,1,7,0,63,1,2,3,0.12,0,64.0,5,0,21,1,3.13836898395722,0,1,1,0.681818181818182,0,906,0.894736842105263,0,4,6
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,12,9,1,3,36,2,206,3,0,2,0.01,0,80,4,0,12.0,2,1.3,1,1,1,0.636363636363636,0,58,0.777777777777778,0,1,2
467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,25,0,1,3,12,0,221,3,1,27,0.22,0,53.0,1,0,29,1,16.4110429447853,0,0,0,0.317365269461078,0,39,0.8,0,2,5
397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,17,14,3,25,21,3,199,2,0,7,0.18,2,77.5,1,0,15,1,2.24324324324324,0,1,1,1.25641025641026,0,36,1.0,0,3,2
367,11,0,1,3,9,0,42,14,0,1,0.01,0,67.0,3,0,9,2,1.3,0,1,1,0.385964912280702,0,85,0.8,0,3,3
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,2,0,1,0,2,0,75,22,0,0,0.16,0,0,6,0,13.5,1,1.5,0,2,1,0.345679012345679,0,106,0.583333333333333,0,5,5
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,8,0,1,0,12,0,10,3,0,2,0.35,1,83.0,3,3,24,2,1.3,0,2,1,0.714285714285714,0,565,1.0,0,2,0
417,3,0,1,13,17,0,84,2,2,2,0.35,1,6.5,3,0,9.5,2,1.292857142857145,0,1,1,0.52,0,54,0.571428571428571,0,5,9
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,9,3,1,14,17,0,55,26,25,20,0.35,0,65.5,4,7,1.0,2,7.32857142857143,0,0,1,0.448863636363636,0,1261,0.647058823529412,0,5,3
531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,11,1,2,4,13,1,160,1,0,1,0.955,0,28.0,5,0,10.5,1,1.3,0,1,1,0.816901408450704,0,192,0.75,0,6,5
363,6,0,1,5,9,1,178,8,6,14,0.35,0,52.5,4,3,9.5,2,6.52252252252252,0,1,1,0.725,0,1068,0.714285714285714,0,3,5
398,8,1,1,1,7,7,869,4,6,0,1.29,0,53.0,6,59,11.5,2,3.13836898395722,0,1,1,0.433962264150943,0,129,0.5,0,4,10
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
