test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
157,0,13.0,0.0,2.0,0.0,0.0,0.0,254.0,144.0,2.0,5.0,0.09,1.0,99.0,1.0,1.0,118.0,2.0,3.77003484320558,0.0,0.0,1.0,0.585648148148148,0.0,139.0,0.7888992266221477,0.0,1.0,4.0,0.5101767379448164,0.48982326205518356,1,0.08313300870003731
852,0,4.0,6.0,1.0,13.498318672180176,9.0,0.0,143.0,10.99755859375,0.0,8.0,0.23,0.0,100.0,2.0,17.0,63.0,2.0,4.25757575757576,0.0,1.0,1.0,0.339805825242718,0.0,152.0,1.0,0.0,1.0,0.0,0.5111570622322938,0.4888429377677062,2,32333280278073.25
237,0,3.0,1.0,1.0,11.0,26.0,0.0,51.0,5.0,1.0,3.0,0.1,1.0,95.0,5.0,0.0,19.0,2.0,4.0,1.0,1.0,1.0,0.918918918918919,0.0,7.486328125,0.363636363636364,0.0,4.0,6.0,0.5024594817161303,0.49754051828386964,1,19.646848758090577
911,0,8.0,0.0,1.0,0.0,12.0,0.0,10.0,3.0,0.0,2.0,0.04,1.0,91.0,3.0,3.0,24.0,2.0,4.06451612903226,0.0,2.0,1.0,0.714285714285714,0.0,198.455078125,1.0,0.0,2.0,0.0,0.5094153377904276,0.49058466220957236,1,61.80779068442908
285,0,29.0,38.0,1.0,12.0,10.499390304088593,0.0,144.0,16.0,2.0,35.0,0.1,0.0,98.0,4.0,4.0,42.0,2.0,3.1497005988024,0.0,0.0,0.0,0.755434782608696,0.0,2.0,0.891845703125,0.0,5.0,5.0,0.5050492182901377,0.4949507817098623,2,8500609695911.408
289,0,21.0,0.0,1.0,1.0,7.0,0.0,63.0,1.0,2.0,3.0,0.12,0.0,78.0,5.0,0.0,21.0,1.0,4.890625,0.0,1.0,1.0,0.681818181818182,0.0,203.9384765625,0.894736842105263,0.0,4.0,6.0,0.5079466996694533,0.4920533003305467,1,118.38350253564373
292,0,6.0,0.0,2.0,3.491522789001465,52.0,0.0,88.0,8.4990234375,0.0,1.0,0.08,0.0,99.0,1.0,21.0,34.0,2.0,3.3030303030303,0.0,1.0,1.0,0.610526315789474,0.0,2598.0,0.952380952380952,1.0,1.0,8.0,0.501123705736425,0.49887629426357505,2,73712521119550.1
304,0,15.0,0.0,1.0,2.0,8.499755859375,0.0,49.0,2.0,0.0,1.0,0.04,0.0,100.0,2.0,0.0,65.0,1.0,5.43457943925234,0.0,1.0,1.0,0.497695852534562,0.0,12.45849609375,0.6875,0.0,2.0,5.0,0.5145230187748988,0.48547698122510113,2,202500244140625.0
356,0,19.0,54.0,1.0,4.0,3.499267578125,0.0,524.0,5.0,0.0,171.0,0.21,0.0,99.0,2.0,0.0,131.0,2.0,13.8922716627635,0.0,0.0,1.0,0.244239631336406,0.0,38.49965626001358,0.517857142857143,3.0,3.0,4.499878346920013,0.5109020902513688,0.48909790974863115,3,7500732421875.0
358,0,63.0,0.0,1.0,5.0,0.4951171875,1.0,454.0,9.0,0.0,6.0,0.17,0.0,85.0,3.0,1.0,33.0,2.0,5.91034482758621,0.0,1.0,1.0,0.85,0.0,20.82861328125,0.523076923076923,0.49951171875,4.0,11.0,0.5134803951456062,0.48651960485439383,3,25627163107219.39
