test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed
30,0,4.0,3.0,1.0,0.0,0.0,4.0,231.0,1.0,2.0,6.0,30.0,0.33,84.0,2.0,0.0,16.0,2.0,7.1025641025641,1.0,1.0,1.21951219512195,0.0,2.0,1.0,0.666666666666667,0.0,5.0,0.55,0.45,2
41,0,12.0,9.0,1.0,9.0,0.0,2.0,248.333,1.0,35.0,36.0,94.0,0.28,96.0,1.0,1.0,36.0,3.0,5.4,0.0,0.0,0.907894736842105,0.0,10.0,1.0,1.0,0.0,1.0,0.52,0.48,3
44,0,25.0,19.0,2.0,13.0,0.0,1.0,81.0,1.0,6.0,28.0,35.0,0.24,94.0,1.0,1.0,29.0,1.0,8.36470588235294,0.0,0.0,0.632183908045977,0.0,0.0,1.0,0.0,0.0,7.0,0.51,0.49,2
59,0,0.0,8.0,1.0,9.0,1.0,4.0,156.0,1.0,8.0,9.0,8.0,0.8,94.0,1.0,2.0,9.0,2.0,7.75,0.0,0.0,0.615384615384615,0.0,2.0,0.8,1.0,0.0,3.0,0.51,0.49,1
67,0,25.0,24.0,1.0,22.0,2.0,3.0,81.0,2.0,4.0,12.0,77.0,0.25,93.0,2.0,2.0,37.0,3.0,7.99230769230769,0.0,1.0,1.11278195488722,0.0,0.0,0.329656476520643,0.0,0.0,2.0,0.52,0.48,2
71,0,76.0,12.0,1.0,29.0,0.0,2.0,81.0,1.0,16.0,53.0,206.0,0.23,0.0,1.0,1.0,40.0,3.0,7.35161290322581,0.0,0.0,1.38461538461538,0.0,0.0,0.384935231089077,0.0,0.0,7.0,0.52,0.48,2
80,0,2.0,4.0,1.0,4.0,3.0,2.0,198.0,3.0,2.0,11.0,28.0,0.72,92.0,3.0,4.0,11.0,2.0,29.3055555555556,1.0,1.0,0.45,0.0,0.0,1.0,0.0,0.0,3.0,0.51,0.49,1
88,0,1.0,0.0,8.0,18.0,2.0,4.0,59.0,1.0,0.0,0.0,2.0,0.52,37.0,1.0,0.0,5.0,1.0,27.6666666666667,0.0,1.0,1.4,0.0,0.0,0.9,0.0,0.0,1.0,0.63,0.37,1
98,0,2.0,0.0,1.0,0.0,0.0,9.0,195.0,1.0,2.0,10.0,12.0,0.83,79.0,1.0,2.0,21.0,2.0,4.5625,1.0,0.0,1.38888888888889,0.0,0.0,1.0,0.0,0.0,3.0,0.56,0.44,1
120,0,40.0,7.0,1.0,1.0,0.0,2.0,248.333,1.0,32.0,34.0,53.0,0.34,58.0,2.0,1.0,40.0,1.0,5.20454545454545,0.0,0.0,0.477611940298507,0.0,14.0,1.0,1.0,0.0,10.0,0.51,0.49,3
140,0,25.0,12.0,1.0,0.0,0.0,4.0,81.0,1.0,5.0,3.0,10.0,0.43,94.0,4.0,1.0,33.0,2.0,7.38461538461539,1.0,1.0,1.27777777777778,0.0,0.0,1.0,0.0,0.0,8.0,0.51,0.49,2
148,0,14.0,46.0,1.0,1.0,1.0,1.0,81.0,1.0,25.0,12.0,2.0,0.33,85.0,1.0,1.0,21.0,1.0,7.73563218390805,1.0,1.0,0.775280898876405,0.0,60.0,1.0,1.0,0.0,5.0,0.51,0.49,2
157,0,3.0,0.0,1.0,3.0,0.0,4.0,80.0,1.0,0.0,1.0,6.0,0.9,83.0,2.0,1.0,8.0,2.0,3.33333333333333,1.0,1.0,0.909090909090909,0.0,10.0,0.46031746031746,1.0,0.0,1.0,0.53,0.47,1
194,0,1.0,1.0,2.0,6.0,0.0,6.0,122.0,1.0,11.0,11.0,0.0,0.78,84.0,1.0,0.0,5.0,1.0,5.69230769230769,3.0,1.0,1.6875,0.0,0.0,0.830564784053156,0.0,0.0,2.0,0.54,0.46,1
214,0,4.0,0.0,1.0,13.0,3.0,9.0,52.0,3.0,4.0,3.0,2.0,0.73,80.0,1.0,0.0,1.0,2.0,5.4,0.0,1.0,2.28571428571429,0.0,49.0,0.84394250513347,1.0,0.0,2.0,0.55,0.45,1
218,0,0.0,0.0,10.0,39.0,2.0,3.0,31.0,1.0,2.0,0.0,0.0,0.46,97.0,1.0,0.0,4.0,1.0,28.0,4.0,1.0,0.75,0.0,0.0,1.0,0.0,0.0,3.0,0.52,0.48,3
221,0,68.0,11.0,1.0,78.0,3.0,7.0,248.333,8.0,23.0,61.0,43.0,0.51,98.0,1.0,0.0,48.0,2.0,5.77241379310345,0.0,0.0,1.01298701298701,0.0,111.0,1.0,1.0,0.0,1.0,0.53,0.47,3
224,0,1.0,1.0,1.0,9.0,0.0,5.0,126.0,1.0,12.0,16.0,0.0,0.79,88.0,1.0,0.0,7.0,1.0,5.07142857142857,1.0,1.0,1.125,0.0,0.0,0.9,0.0,0.0,1.0,0.56,0.44,1
226,0,1.0,0.0,11.0,0.0,3.0,14.0,31.0,1.0,3.0,0.0,0.0,0.55,0.0,1.0,0.0,4.0,1.0,22.75,0.0,1.0,1.16666666666667,0.0,0.0,0.962264150943396,0.0,0.0,2.0,0.51,0.49,1
247,0,1.0,0.0,1.0,2.0,1.0,4.0,95.0,1.0,0.0,5.0,14.0,0.83,72.0,1.0,0.0,2.0,3.0,2.73333333333333,0.0,1.0,0.647058823529412,0.0,30.0,0.9,0.75,0.0,2.0,0.7,0.3,1
287,0,0.0,1.0,1.0,0.0,0.0,6.0,279.0,1.0,0.0,1.0,40.0,1.37,95.0,2.0,2.0,12.0,2.0,3.53658536585366,0.0,2.0,0.0,0.0,0.0,0.936014625228519,0.0,0.0,3.0,0.55,0.45,1
383,0,9.0,0.0,2.0,0.0,7.0,8.0,397.0,1.0,0.0,3.0,31.0,0.92,65.0,1.0,0.0,4.0,3.0,19.7,1.0,0.0,0.80952380952381,0.0,0.0,0.9,0.0,0.0,2.0,0.55,0.45,1
392,0,0.0,0.0,2.0,1.0,6.0,10.0,81.0,1.0,0.0,0.0,6.0,1.07,83.0,1.0,0.0,0.0,1.0,6.66666666666667,3.0,1.0,2.125,1.0,0.0,0.8,0.0,0.0,1.0,0.55,0.45,1
463,0,0.0,0.0,1.0,23.0,0.0,6.0,76.0,1.0,0.0,0.0,6.0,2.05,100.0,0.0,1.0,2.0,0.0,2.66666666666667,0.0,0.0,0.111111111111111,0.0,0.0,0.9,0.0,0.0,3.0,0.59,0.41,1
530,0,0.0,32.0,1.0,0.0,0.0,23.0,248.333,1.0,0.0,1.0,11.0,2.33,100.0,0.0,1.0,7.0,0.0,0.0232558139534884,0.0,1.0,0.0,0.0,30.0,0.880560633759902,1.0,0.0,7.0,0.53,0.47,1
617,0,0.0,2.0,1.0,43.0,0.0,12.0,715.0,1.0,0.0,1.0,35.0,4.64,100.0,1.0,1.0,11.0,1.0,1.91891891891892,0.0,0.0,0.0,0.0,0.0,0.754146341463415,0.0,0.0,2.0,0.51,0.49,1
644,0,6.0,0.0,2.0,4.0,22.0,12.0,127.0,1.0,0.0,3.0,55.0,0.93,87.0,1.0,0.0,21.0,2.0,10.672131147541,0.0,1.0,0.777777777777778,0.0,0.0,1.0,0.0,0.0,9.0,0.53,0.47,2
668,0,2.0,6.0,1.0,3.0,0.0,4.0,81.0,2.0,0.0,4.0,45.0,0.65,94.0,4.0,1.0,23.0,1.0,1.69811320754717,0.0,1.0,0.571428571428571,0.0,555.0,1.0,0.888888888888889,0.0,3.0,0.52,0.48,2
