feature,flip_pfi,lime_opposite,spsa,global,flip_pfi_rank,lime_opposite_rank,spsa_rank,global_rank
MAJOR_COMMIT,0.7970330442335868,0.29382561330322915,0.04,0.2215701304048179,1,1,1,1
CountDeclMethodProtected,0.14859544142442047,0.0042837390718618125,0.04,0.029914216711528323,2,21,1,17
MINOR_LINE,0.054371514341992784,0.08006888933643538,0.04,0.029822950819916413,3,3,1,18
CountDeclMethodPrivate,0.0,0.004781065439217078,0.04,0.026644555329164477,4,20,1,23
CountDeclMethodDefault,0.0,0.003480109960303404,0.04,0.05328460678213161,4,22,1,2
AvgEssential,0.0,0.012219402984817664,0.04,0.04568096852560742,4,16,1,4
CountDeclClassVariable,0.0,0.04255826909530432,0.04,0.0470055737889381,4,9,1,3
CountDeclClassMethod,0.0,0.09663017316938156,0.04,0.03339776937242555,4,2,1,10
AvgLineComment,0.0,0.018304463176906555,0.04,0.02678728424619264,4,15,1,22
AvgCyclomaticModified,0.0,0.022481908105913675,0.04,0.02997280435499869,4,14,1,16
CountLineComment,0.0,0.00025060801675780796,0.04,0.034492278343609566,4,25,1,9
CountDeclClass,0.0,0.0026022298947438664,0.04,0.03064945308032489,4,23,1,14
CountDeclInstanceVariable,0.0,0.006144989362321106,0.04,0.031339449521461754,4,19,1,13
CountDeclMethodPublic,0.0,0.011116011035328943,0.04,0.029186853744173517,4,17,1,20
AvgLineBlank,0.0,0.05174474349123372,0.04,0.04288916132973015,4,7,1,5
MaxInheritanceTree,0.0,0.052553630370943356,0.04,0.03165785009928412,4,6,1,12
CountClassDerived,0.0,0.04743443207337798,0.04,0.0285019385992593,4,8,1,21
CountClassCoupled,0.0,0.05698838231531938,0.04,0.029217566901583794,4,4,1,19
CountClassBase,0.0,0.0077837173197089484,0.04,0.03524931324968386,4,18,1,8
CountInput_Min,0.0,0.0023471678352560803,0.04,0.038874017167088507,4,24,1,6
CountOutput_Min,0.0,0.05563589146777145,0.04,0.03223762450817202,4,5,1,11
MaxNesting_Min,0.0,0.028313885095078282,0.04,0.025005654758126807,4,12,1,24
OWN_COMMIT,0.0,0.039554752197200164,0.04,0.03619335773814592,4,10,1,7
MINOR_COMMIT,0.0,0.02498170053919667,0.04,0.0,4,13,1,25
MAJOR_LINE,0.0,0.033914225342391836,0.04,0.030424620623634675,4,11,1,15
