Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassCoupled <= 0.6,0.19911,0.98879,1.17252
-7.5 < Added_lines <= 22.5 & -0.245 < AvgLineBlank <= 0.08,0.17188,0.97662,1.15809
0.6 < CountClassCoupled <= 2.95,0.18661,0.97368,1.15461
1.56 < CountOutput_Mean <= 2.84 & -0.28 < CountDeclClassMethod <= 0.01,0.14375,0.97205,1.15267
CountOutput_Mean <= 1.56,0.19777,0.96163,1.14031
CountDeclClass <= 0.745,0.0875,0.95408,1.13136
OWN_COMMIT <= 0.08,0.2058,0.95011,1.12665
RatioCommentToCode > 1.86,0.19643,0.94773,1.12383
0.12 < CountDeclInstanceVariable <= 1.66,0.18304,0.92683,1.09905
-7.5 < Added_lines <= 22.5,0.34732,0.92159,1.09284
