Antecedent,Antecedent Coverage %,Confidence,Lift
RatioCommentToCode > 1.705,0.19866,0.98427,1.20282
OWN_COMMIT <= 0.14,0.20134,0.97339,1.18952
Added_lines <= -8.5,0.11295,0.96443,1.17857
CountClassCoupled <= 0.76,0.19375,0.94931,1.16009
MaxInheritanceTree <= 1.03,0.23482,0.93916,1.1477
2.74 < CountClassCoupled <= 5.42,0.21518,0.93776,1.14598
0.76 < CountClassCoupled <= 2.74,0.20268,0.92511,1.13052
-8.5 < Added_lines <= 29.5,0.30714,0.92151,1.12612
CountClassBase <= 0.95,0.12589,0.91844,1.12237
CountDeclMethodPublic <= 1.55,0.19152,0.91841,1.12234
