Antecedent,Antecedent Coverage %,Confidence,Lift
RatioCommentToCode > 1.6,0.18705,0.97613,1.19093
0.9 < CountClassCoupled <= 3.25,0.2317,0.94798,1.15657
CountClassCoupled <= 0.9,0.1808,0.94568,1.15377
CountDeclMethodPublic <= 1.7,0.19509,0.93593,1.14187
OWN_COMMIT <= 0.17,0.20045,0.93541,1.14124
MaxInheritanceTree <= 1.12,0.22634,0.93491,1.14063
CountOutput_Mean <= 1.82,0.19821,0.92342,1.12662
1.82 < CountOutput_Mean <= 3.16,0.20714,0.92241,1.12539
Added_lines <= -1.5,0.11384,0.92157,1.12435
CountInput_Min > 2.18,0.17054,0.92147,1.12423
