test_idx,candidate_id,CountDeclMethodPrivate,AvgEssential,AvgLineComment,CountLineComment,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
26,0,6.0,1.0,0.0,78.961669921875,0.0,383.0,0.3,0.0,100.0,2.0,5.0,4.0,1.0,12.6617647058824,0.0,0.0,0.0,0.384615384615385,0.0,0.15380859375,4.0,6.0,16.0,0.5,0.5,2,346191406250.0
1574,0,1.0,3.0,1.0,47.0,5.0,1.0,0.19,1.0,86.0,2.0,0.0,17.0,1.0,4.82352941176471,0.0,1.0,1.0,1.5,0.0,0.7571275711059571,0.0,2.0,0.0,0.5,0.5,1,42872428894.04297
1695,0,1.0,1.0,1.0,58.0,7.0,0.0,0.23,2.0,82.0,2.0,3.0,22.0,1.0,4.58823529411765,1.0,1.0,1.0,0.666666666666667,0.0,0.5833132664362592,0.0,2.0,1.0,0.5,0.5,1,83353400230.40771
1814,0,6.0,1.0,2.0,157.0,0.0,3.0,0.37,1.0,93.0,2.0,0.0,29.0,3.0,2.96,0.0,0.0,1.0,1.0522458111798363,0.0,0.666666666666667,0.0,2.0,1.0,0.5,0.5,1,0.1522781475223156
1855,0,7.0,1.0,1.0,55.0,2.0,28.0,0.21,0.0,90.0,1.0,0.0,4.0,1.0,3.70833333333333,1.0,1.0,1.0,0.75,0.0,0.45106178522109985,0.0,1.0,0.0,0.5,0.5,1,548938214778.90015
1935,0,9.0,1.0,1.0,223.98828125,0.0,13.0,0.83,0.0,95.0,1.0,0.0,21.0,2.0,1.46875,0.0,0.0,1.0,0.447761194029851,0.0,0.571428571428571,0.0,2.0,1.0,0.5,0.5,1,9.523152391267368
1945,0,10.0,1.0,3.0,82.48486328125,0.0,4.0,0.21,2.0,91.0,1.0,0.0,13.0,1.0,3.31578947368421,0.0,1.0,1.0,0.694915254237288,0.0,0.4375,0.0,3.0,2.0,0.5,0.5,1,13.68939595136813
208,0,4.0,2.0,4.0,134.9980560541153,0.0,0.0,0.31,0.0,96.0,1.0,0.0,26.0,2.0,5.50943396226415,1.0,1.0,1.0,1.36206896551724,0.0,0.625,0.0,4.0,1.49853515625,0.51,0.49,2,7501464843750.0
209,0,87.0,1.0,1.0,63.446044921875,3.0,22.0,0.06,1.0,100.0,1.0,1.0,79.0,3.0,6.48815165876777,0.0,1.0,0.0,1.59174311926605,0.0,0.15374755859375006,0.0,5.0,11.0,0.5,0.5,2,762919108072.917
305,0,6.0,1.0,2.0,29.478515625,0.0,26.0,0.42,0.0,94.0,1.0,0.0,10.0,1.0,5.03846153846154,1.0,1.0,1.0,0.574074074074074,0.0,0.333333333333333,0.0,6.0,9.0,0.5,0.5,1,10.991936611754312
308,0,7.0,2.0,1.0,83.0,0.0,13.468505859375,0.16,0.0,99.0,1.0,0.0,3.0,1.0,9.46153846153846,0.0,1.0,0.0,0.714285714285714,0.0,0.454545454545455,0.0,3.0,3.0,0.5,0.5,1,134.5821490223192
350,0,13.0,2.0,1.0,79.0,1.0,14.497438132762909,0.15,0.0,100.0,3.0,1.0,28.0,2.0,4.61111111111111,0.0,1.0,1.0,1.225,0.0,0.15380859375,0.0,4.0,6.0,0.5,0.5,2,446191406250.0
366,0,2.0,2.0,4.0,72.0,1.0,3.0,0.4,0.0,100.0,3.0,0.0,12.0,2.0,3.83333333333333,0.0,1.0,0.0,2.0,0.0,0.16662597656249994,0.0,4.0,5.0,0.56,0.44,1,666707356770.833
376,0,8.0,2.0,2.0,58.49853515625,0.0,22.0,0.2,1.0,100.0,2.0,0.0,25.0,3.0,4.5,0.0,1.0,0.0,1.3448275862069,0.0,0.636363636363636,0.0,6.0,2.4996341466903687,0.5,0.5,2,4500365853309.631
1958,0,4.0,1.0,3.0,116.0,1.0,3.0,0.19,3.0,88.0,2.0,1.0,43.0,3.0,4.76,0.0,1.0,1.0,1.32142857142857,0.0,0.15380859375,0.0,8.0,3.49853515625,0.5,0.5,2,6510675357002.418
1965,0,4.0,2.0,2.0,72.0,0.0,5.0,0.2,2.0,86.0,2.0,0.0,33.0,2.0,4.0,0.0,1.0,1.0,1.38888888888889,0.0,0.16653103298611116,0.0,3.0,2.499878168106079,0.5,0.5,2,3553093781638.597
1966,0,1.0,1.0,4.0,77.0,0.0,6.0,0.23,4.0,88.0,3.0,0.0,17.0,2.0,5.33333333333333,0.0,1.0,1.0,1.35714285714286,0.0,0.8,0.0,5.0,3.49853515625,0.54,0.46,1,6501464843750.0
429,0,21.0,1.0,4.0,58.423828125,17.0,7.0,0.34,0.0,100.0,3.0,6.0,77.0,2.0,5.06578947368421,0.0,1.0,0.0,1.08620689655172,0.0,0.15380859375,1.0,7.0,10.0,0.5,0.5,2,566191406250.0
498,0,12.0,1.0,2.0,71.386962890625,3.0,84.0,0.51,0.0,100.0,1.0,1.0,13.0,2.0,6.11363636363636,0.0,1.0,1.0,0.865979381443299,0.0,0.15380859375,0.0,5.0,3.0,0.5,0.5,2,446191406250.0
499,0,2.0,1.0,1.0,32.0,0.0,3.0,0.11,3.0,89.0,2.0,0.0,21.0,3.0,4.09090909090909,0.0,0.0,1.0,1.42857142857143,0.0,0.1666259765625,0.0,1.0,7.0,0.53,0.47,1,583374023437.5
565,0,10.0,2.0,4.0,175.0,0.0,0.0,0.25,1.0,94.0,2.0,1.0,26.499515533447266,2.0,2.625,0.0,1.0,1.0,1.75555555555556,0.0,0.4,0.0,3.0,1.498779296875,0.5,0.5,2,5501220703125.0
2049,0,7.0,4.0,9.0,166.0,0.0,1.0,0.44,4.0,80.0,2.0,0.0,29.0,2.0,4.6,2.0,2.0,1.0,2.5,0.0,0.4999542236328122,0.0,3.0,2.0,0.5,0.5,1,115430391751.80273
