,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
363,12,1,2,0,1,3,75,2,2,11,0.21,1,29,3,0,15.0,1,3.75862068965517,1,6.72413793103448,1,0,1.0,0,3,2
364,18,1,2,6,0,3,77,16,14,4,0.09,1,57,1,2,45,3,4.03389830508475,0,6.74576271186441,0,0,0.0,1,4,6
192,0,0,1,0,0,2,56,2,10,0,0.22,0,29,1,1,5,1,3.13793103448276,0,3.62068965517241,1,0,1.0,0,2,1
450,0,0,1,1,0,2,29,4,0,2,0.38,0,8,5,2,8,1,5.44444444444444,4,4.33333333333333,2,0,0.5,0,1,0
256,5,0,1,3,1,2,283,2,2,30,0.33,0,108,3,3,24,2,9.75,1,3.73148148148148,1,0,0.0,0,4,7
479,0,0,1,2,0,2,15,2,0,0,0.04,0,7,6,0,6,1,3.28571428571429,1,3.0,1,0,1.0,0,1,0
451,0,0,1,0,0,2,22,1,0,0,1.69,0,2,3,0,1,1,3.5,3,3.0,2,0,1.0,0,1,0
478,0,0,1,2,0,2,15,2,0,14.0,0.23,0,7,6,0,6,1,3.28571428571429,1,3.42857142857143,1,0,1.0,0,1,0
476,0,0,1,2,0,2,15,2,0,14.0,0.23,0,7,6,0,6,1,3.28571428571429,1,3.42857142857143,1,0,1.0,0,1,0
164,2,0,1,3,4,2,138,1,4,1,0.63,0,18,2,35,6,1,15.4583333333333,0,3.41666666666667,1,0,0.0,0,4,5
163,1,0,2,1,4,2,4.5,4,1,7,0.56,0,22,1,0,7,2,3.39130434782609,1,4.65217391304348,1,0,1.0,0,3,4
223,10.0,0,1,0,1,3,167,2,97,3,0.08,2,70.0,2,0,92,3,8.38260869565217,1,8.49565217391304,1,0,0.518518518518518,1,4,8
61,0,0,1,1,1,1,35,1,0,2,1.17,0,6,1,14,0,1,6.625,2,1.75,5.5,0,1.0,0,4,2
467,27,0,1,9,7,2,5431,18,12,17,1.18,0,39,2,0,1.5,2,2.50670640834575,0,3.36512667660209,0,0,0.802325581395349,6,5,22
845,40,0,1,16,0,2,38,1,0,0,0.09,0,39,1,0,35,3,4.59523809523809,2,6.80952380952381,1,0,0.0,0,1,0
458,0,0,2,0,0,2,34,6,7,2,0.16,0,20,2,22,13,1,11.4782608695652,3,4.39130434782609,2,0,1.0,0,1,0
356,0,0,1,1,0,2,30,1,3,2,0.32,1,11,1,0,15.0,2,3.09090909090909,0,5.0,0,0,1.0,0,4,0
345,2.5,2,1,58,1,3,482,22,50,33,0.14,1,70.0,4,0,96,2,6.10091743119266,0,7.44495412844037,0,0,0.454545454545455,0,4,5
56,64,1,2,20,1,4,349,25,23,32,0.13,1,70.0,4,3,20.0,3,4.53030303030303,0,4.83333333333333,0,0,0.666666666666667,0,2,4
522,1,0,1,2,0,2,105.0,1,0,0,0.27,0,0,1,0,24,1,3.57777777777778,1,2.94444444444444,1,0,0.444444444444444,0,4,1
37,13,1,2,11,1,2,261,16,17,22,0.32,0,98,3,4,0.5,2,3.43564356435644,0,3.92079207920792,0,0,0.875,0,2,2
195,10.0,0,1,1,0,2,19,3,0,0,0.06,0,7,1,0,5,2,2.60869565217391,0,3.97826086956522,2,0,0.0,0,1,2
397,1,0,4,0,0,4,27,1,7,10,0.11,0,16,4,0,15.0,1,3.6875,1,7.4375,1,0,0.571428571428571,0,1,2
456,1,0,3,0,0,3,32,6,6,1,0.13,0,14.0,4,3,11,1,6.08695652173913,2,3.78260869565217,2,0,1.0,0,1,0
460,,,,,,,,,,,,,,,,,,,,,,,,,,
