Antecedent,Antecedent Coverage %,Confidence,Lift
0.14 < CountDeclClassVariable <= 0.52,0.07991,1.0,1.07589
OWN_LINE > 0.94,0.19821,0.99775,1.07347
0.78 < CountDeclInstanceVariable <= 2.18,0.18795,0.99762,1.07333
CountClassBase <= 0.885,0.12589,0.99645,1.07207
-0.44 < CountDeclInstanceVariable <= 0.78,0.32634,0.9959,1.07147
3.7 < CountDeclMethodPublic <= 6.9,0.19821,0.9955,1.07104
CountDeclMethodPublic <= 0.55,0.1808,0.99259,1.06792
0.54 < CountClassCoupled <= 2.32,0.2125,0.9916,1.06685
0.55 < CountDeclMethodPublic <= 3.7,0.23036,0.99031,1.06546
1 < PercentLackOfCohesion <= 23,0.12634,0.9894,1.06448
