Antecedent,Antecedent Coverage %,Confidence,Lift
1.3 < CountDeclMethodPublic <= 3.9,0.17692,1.0,1.07649
-0.08 < CountDeclInstanceVariable <= 1.4,0.31044,0.99846,1.07484
CountDeclMethodPublic <= 1.3,0.21888,0.99782,1.07414
CountClassCoupled <= 0.44,0.19123,0.99751,1.0738
PercentLackOfCohesion <= 10.6,0.20315,0.99531,1.07143
-0.027 < OWN_COMMIT <= 0.006 & 0.986 < CountDeclClass <= 1.132,0.50215,0.99335,1.06933
RatioCommentToCode > 1.59,0.20029,0.99286,1.0688
CountDeclInstanceVariable <= -0.08,0.11779,0.9919,1.06777
0.44 < CountClassCoupled <= 2.1,0.22318,0.99145,1.06729
CountInput_Mean <= 1.18,0.19838,0.99038,1.06614
