,CountDeclMethodPrivate,AvgEssential,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
280,,,,,,,,,,,,,,,,,,,,,,,,
993,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,
1150,,,,,,,,,,,,,,,,,,,,,,,,
517,10,2,0,1,55,5,3,0.14,1,100,1,0,2,2,2.78947368421053,0,1,1,1.42307692307692,0,0.875,0,2,1
1059,1,1,8,6,80,1,0,0.39,0,0,1,0,50,1,9.88888888888889,0,1,1,0.0,0,0.0,0,3,3
965,,,,,,,,,,,,,,,,,,,,,,,,
1305,,,,,,,,,,,,,,,,,,,,,,,,
1238,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,28,4,15,1.045,0,90,2,1,3,2,1.82352941176471,1,1,1,0.487179487179487,0,1.0,0,3,4
578,,,,,,,,,,,,,,,,,,,,,,,,
24,6,1,22,0,227,8,318,0.77,0,100,2,5,3,1,8.8030303030303,0,0,0,0.368421052631579,0,0.37037037037037,1,4,14
64,3,1,1,0,22,6,0,1.7850000000000001,1,0,2,0,3,2,1.35714285714286,0,1,1,0.523809523809524,0,1.0,0,3,0
586,,,,,,,,,,,,,,,,,,,,,,,,
723,,,,,,,,,,,,,,,,,,,,,,,,
94,0,1,0,0,26,1,5,1.8250000000000002,0,99,1,2,1,2,0.382978723404255,0,0,1,0.135416666666667,0,1.0,0,1,2
101,,,,,,,,,,,,,,,,,,,,,,,,
173,41,1,10,1,274,10,14,0.94,1,96,2,1,89,2,5.8622754491018,0,1,1,1.3876404494382,0,0.307692307692308,0,6,9
174,12,1,1,3,354,2,11,1.7650000000000001,0,90,1,0,38,2,5.61386138613861,1,1,1,0.557692307692308,0,0.333333333333333,0,6,8
183,2,2,42,4,228,2,0,1.62,0,96,1,0,23,2,5.18604651162791,1,1,1,1.35416666666667,0,0.833333333333333,0,4,9
285,,,,,,,,,,,,,,,,,,,,,,,,
1287,,,,,,,,,,,,,,,,,,,,,,,,
220,16,1,6,3,165,2,0,2.16,8,77,2,2,33,2,6.16279069767442,1,1,1,1.10869565217391,0,0.333333333333333,0,7,6
1352,3,1,0,1,25,1,9,1.68,2,70,2,0,14,1,4.375,1,1,1,0.8,0,0.8,0,1,1
269,6,1,2,2,159,1,22,1.93,0,93,1,0,6,1,5.17021276595745,1,1,1,0.63265306122449,0,0.333333333333333,0,6,6
1355,5,1,9,1,65,1,177,0.585,0,99,1,0,3,1,9.40909090909091,0,1,0,0.5,0,0.473684210526316,0,2,1
272,,,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,
1284,,,,,,,,,,,,,,,,,,,,,,,,
