,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE
1516,,,,,,,,,,,,,,,,,,,,,,,,,
1744,1,0,1,0,0,1,1,104,2,0,13,52,0,5,0,11,2,0,1,0,0.5,0,3,0,4
1761,1,0,1,0,0,1,1,96,1,0,11,44,0,4,0,10,2,0,1,0,0.4,0,3,0,7
38,0,114,1,0,0,6,1,768,1,0,0,0,0,2,1,40,2,0,0,0,0.375,0,3,0,9
1775,6,0,1,2,0,2,2,163,7,7,33,46,1,3,0,29,4,0,1,0,0.444444444444444,0,2,0,4
361,5,0,1,1,1,5,3,264,6,18,24,27,1,2,3,31,4,0,0,0,0.666666666666667,0,1,0,8
1800,7,0,2,1,0,6,3,285,7,17,29,16,2,4,3,27,2,0,0,0,0.5,0,1,0,7
58,4,0,2,1,0,4,3,132,4,9,13,25,1,3,0,19,2,0,1,0,0.727272727272727,0,3,0,6
1861,0,0,1,1,0,1,2,81,1,5,9,14,0,1,77,1,2,1,0,0,0.75,0,1,0,1
454,3,0,2,3,10,4,4,73,1,0,0,8,1,1,0,3,1,0,1,0,0.4,0,3,0,1
1534,2,0,2,0,0,6,3,180,2,11,9,12,1,4,2,20,3,0,0,0,0.571428571428571,0,1,0,4
2077,1,0,1,0,0,0,1,33,4,3,6,84,1,6,0,18,1,0,1,0,0.75,0,1,0,7
2256,2,0,1,0,0,2,3,30,1,0,0,2,5,5,0,16,1,1,5,0,0.666666666666667,0,1,0,2
2288,,,,,,,,,,,,,,,,,,,,,,,,,
1537,1,1,1,2,0,0,1,115,2,7,38,96,0,4,2,27,2,0,1,0,0.428571428571429,0,1,0,5
106,1,0,1,1,0,2,2,71,3,8,7,13,0,2,0,17,5,0,0,0,0.5,0,2,0,5
2414,3,0,1,1,0,6,6,103,1,0,12,10,8,2,0,11,2,1,1,0,0.8,0,4,0,2
2513,0,0,1,1,0,0,2,37,3,6,11,22,0,3,0,9,1,0,0,0,0.428571428571429,0,4,0,2
2617,4,0,1,1,0,1,3,48,2,6,3,6,1,3,0,12,1,1,1,0,0.428571428571429,0,3,0,5
799,0,0,1,1,0,0,1,23,1,1,2,2,0,3,0,4,1,0,1,0,0.666666666666667,0,5,0,2
110,0,0,1,0,0,0,1,22,1,0,8,25,0,3,0,9,1,0,0,0,0.333333333333333,0,5,0,1
865,1,0,2,1,3,6,4,100,1,7,3,5,2,3,1,19,1,1,1,0,0.333333333333333,0,2,0,3
2906,,,,,,,,,,,,,,,,,,,,,,,,,
2911,1,0,2,1,3,5,5,95,1,7,3,5,2,3,0,19,1,1,1,0,0.428571428571429,0,3,0,6
920,0,0,2,3,0,3,3,38,2,1,2,0,2,3,0,10,2,1,1,0,0.0,0,3,0,3
123,0,0,1,4,0,2,2,246,1,0,3,84,0,1,1,10,1,0,1,0,0.571428571428571,0,4,0,4
153,0,0,1,1,0,6,2,172,1,10,1,12,0,2,91,12,2,1,0,0,0.625,0,4,0,5
921,5,0,1,6,0,1,3,105,3,10,25,51,0,5,0,23,2,0,0,0,0.4,0,4,0,6
1620,1,0,1,1,1,2,3,60,1,7,9,10,1,3,0,11,1,1,1,0,0.4,0,3,0,3
923,1,0,1,1,1,2,3,44,1,4,2,6,1,3,0,19,2,1,1,0,0.5,0,1,0,5
956,0,0,2,1,0,5,5,136,1,9,3,11,0,1,0,22,1,2,2,0,0.5,0,3,0,7
1641,5,0,2,0,0,6,5,165,1,13,0,2,1,2,0,25,1,2,2,0,0.6,0,1,0,1
957,0,0,1,1,7,0,1,62,1,4,4,67,0,3,1,16,3,0,1,0,0.545454545454545,0,4,0,5
1656,0,0,2,0,0,0,2,27,1,0,0,11,0,1,0,42,2,1,4,0,0.75,0,1,0,2
958,,,,,,,,,,,,,,,,,,,,,,,,,
1669,0,0,2,0,0,0,3,21,1,0,1,9,1,2,0,4,2,1,1,0,0.666666666666667,0,2,0,2
1735,0,0,1,0,0,1,1,87,1,1,11,42,0,4,0,9,2,0,1,0,0.5,0,3,0,4
960,2,0,1,0,2,0,1,100,2,7,13,158,0,3,2,35,4,0,1,0,0.5,0,2,0,7
1690,3,0,1,0,0,1,1,167,1,4,25,91,0,3,0,18,2,0,1,0,0.428571428571429,0,3,0,7
987,0,0,1,1,0,1,2,25,2,2,2,4,1,4,0,8,2,0,1,0,0.5,0,3,0,1
1742,1,2,1,0,0,8,1,1595,1,11,7,181,0,3,27,94,2,0,0,0,0.5,0,4,0,8
3523,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,0,1,1,3,2,2,51,1,1,3,9,0,2,0,9,1,1,1,0,0.4,0,3,1,3
2489,,,,,,,,,,,,,,,,,,,,,,,,,
