,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
195,5.0,0.0,1.0,1.0,0.0,2.0,19.0,3.0,0.0,2.0,0.06,0.0,7.0,1.0,0.0,5.0,2.0,2.60869565217391,0.0,3.97826086956522,2.0,0.0,1.0,0.0,1.0,2.0
56,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,
363,2.0,1.0,2.0,-2.220446049250313e-16,1.0,3.0,75.0,2.0,2.0,11.0,0.2099999999999999,1.0,29.0,3.0,0.0,28.0,1.0,3.75862068965517,1.0,6.72413793103448,1.0,0.0,1.0,0.0,3.0,2.0
256,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,,,,,,
514,0.428571428571429,0.0,4.0,12.0,4.0,6.0,211.0,1.0,4.0,0.0,0.2900000000000001,0.0,0.0,1.0,0.0,11.0,1.0,5.63157894736842,1.0,4.36842105263158,1.0,0.0,0.428571428571429,0.0,4.0,2.0
478,,,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,
845,1.0,0.0,1.0,16.0,0.0,2.0,38.0,1.0,0.0,0.0,0.09,0.0,39.0,1.0,0.0,35.0,3.0,4.59523809523809,2.0,6.80952380952381,1.0,0.0,1.0,0.0,1.0,-1.1102230246251563e-16
163,,,,,,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,,,,,
