test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
194,0,0.0,0.0,1.0,1.0,5.0,2.0,96.99969573318958,1.0,11.0,0.0,0.53,1.0,97.0,3.0,9.0,23.0,1.0,2.71428571428571,0.0,0.0,0.0,17.0,1.0,0.0,5.0,7.0,0.691638171672821,0.30836182832717896,1,0.6745054184159942
251,0,10.0,28.0,1.0,0.0,7.0,2.0,79.88427734375,7.0,39.0,8.0,0.84,0.0,100.0,4.0,21.0,70.0,8.0,13.009756097561,0.0,0.0,0.0,162.0,0.705882352941177,0.0,6.0,11.0,0.5029131174087524,0.49708691239356995,1,86.14768084331406
295,0,0.0,0.0,1.0,0.0,5.0,2.0,109.99982307851315,1.0,3.0,2.0,0.77,1.0,92.0,5.0,0.0,9.0,1.0,3.07692307692308,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,0.7071378827095032,0.2928621172904968,1,0.19272016927244895
302,0,11.0,0.0,1.0,2.0,6.0,2.0,752.0,22.0,30.0,6.0,0.7800182962417603,0.0,100.0,4.0,72.0,45.0,2.0,3.34,0.0,0.0,0.0,5.99609375,0.454545454545455,0.0,6.0,8.0,0.5013148188591003,0.49868518114089966,2,120003906250000.0
401,0,0.0,0.0,1.0,0.0,5.0,1.0,96.99463242292404,4.0,5.0,1.0,0.91,0.0,100.0,6.0,1.0,6.0,2.0,4.4,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.7689436674118042,0.2310563027858734,1,1.7828413201265234
507,0,20.0,7.0,1.0,0.0,5.0,3.0,361.9799960255623,11.0,6.0,4.0,0.4,1.0,100.0,2.0,6.0,33.0,2.0,16.855421686747,0.0,1.0,0.0,2.997314453125,0.466666666666667,0.0,6.0,6.0,0.5820266604423523,0.4179733395576477,2,94002685546875.0
531,0,6.0,5.0,1.0,0.0,5.0,2.0,386.0,6.0,9.0,6.0,0.68,0.0,94.0,3.0,39.0,21.0,3.0,3.32727272727273,0.0,0.0,0.0,5.97265625,0.571428571428571,0.0,7.0,5.0,0.9287600517272949,0.07123993337154388,1,140027343750000.0
1915,0,4.0,0.0,1.0,0.0,5.0,2.0,147.0,1.0,1.0,7.0,0.67,0.0,76.0,1.0,3.0,9.0,3.0,6.04761904761905,1.0,1.0,0.0,46.9951171875,0.666666666666667,0.0,4.0,0.0,0.7076330780982971,0.2923669219017029,1,31004882812500.0
1923,0,1.0,0.0,2.0,0.0,6.0,2.0,129.0,2.0,7.0,3.0,0.8500073337554932,1.0,90.0,3.0,3.0,19.0,1.0,6.75,0.0,1.0,0.0,13.0,0.75,0.0,5.0,1.0,0.5169329643249512,0.48306703567504883,1,0.29055747569778956
1956,0,4.0,0.0,2.0,1.0,6.0,3.0,200.0,4.0,4.0,11.0,0.58,1.0,100.0,3.0,4.0,19.0,2.0,4.63636363636364,1.0,1.0,0.0,37.99853515625,0.714285714285714,0.0,4.0,1.0,0.6477984189987183,0.35220158100128174,1,14001464843750.0
834,0,11.0,0.0,1.0,0.0,6.0,2.0,95.9775390625,16.0,8.0,29.0,2.0401611328125,0.0,100.0,5.0,1.0,89.0,2.0,9.9375,0.0,1.0,0.0,100.0,0.681818181818182,1.0,5.0,9.0,0.5063691139221191,0.49363091588020325,2,44.49103350504568
1183,0,0.0,0.0,1.0,0.0,1.0,1.0,62.0,4.0,1.0,6.0,0.33,0.0,81.99561834335327,5.0,0.0,13.0,2.0,1.95,0.0,1.0,0.0,92.0,0.5,0.0,6.0,6.0,0.5744160413742065,0.42558392882347107,1,0.31957339624994513
1283,0,0.0,0.0,1.0,0.0,2.0,1.0,51.0,4.0,3.0,1.0,0.7000683593750001,2.0,100.0,5.0,0.0,16.0,2.0,1.15384615384615,0.0,1.0,0.0,17.0,0.666666666666667,0.0,5.0,5.0,0.5025219917297363,0.4974779784679413,1,0.46702607620140635
30,0,8.0,0.0,1.0,2.0,6.0,1.0,79.98095703125,7.0,17.0,18.0,0.95,0.0,100.0,5.0,3.0,27.0,1.0,2.01428571428571,0.0,0.0,0.0,6.0,0.5,0.0,4.0,8.0,0.5959011316299438,0.40409889817237854,1,22.162756690405267
62,0,0.0,0.0,1.0,0.0,7.0,3.0,49.0,1.0,2.0,3.0,0.8500412750244142,2.0,60.0,3.0,0.0,5.0,1.0,4.66666666666667,2.0,4.0,1.0,0.0,0.0,0.0,5.0,3.0,0.6644330024719238,0.3355669677257538,1,0.38398372404407044
2623,0,11.0,0.0,1.0,8.0,6.0,2.0,306.99714756011963,2.0,0.0,9.0,0.7,0.0,92.0,1.0,0.0,8.0,2.0,10.6545454545455,0.0,1.0,0.0,80.0,0.571428571428571,0.0,4.0,1.0,0.5543209910392761,0.4456790089607239,1,3.7580145131080815
824,0,0.0,0.0,1.0,10.0,6.0,2.0,306.984321847558,1.0,2.0,2.0,1.11,0.0,71.0,1.0,1.0,6.0,2.0,4.72549019607843,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5508123636245728,0.44918763637542725,1,3.276853315239574
