,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
360,11,1,2,4,0,1,160,1,0,1,0.26,0,88,5,0,17,1,4.31884057971014,0,1,1,0.816901408450704,0,5,0.75,192,13,6
928,7,4,1,22,5,3,582,4,17,7,0.84,0,98,1,1,7,8,15.928,0,0,1,0.453846153846154,0,100,0.35,0,3,5
237,3,1,1,11,26,0,51,5,1,3,0.1,1,95,5,0,19,2,4.0,1,1,1,0.918918918918919,0,19,0.363636363636364,0,4,6
929,12,9,1,3,36,2,206,3,0,2,0.3,0,80,4,0,21,2,4.13698630136986,1,1,1,0.25,0,58,0.777777777777778,0,1,2
390,8,0,1,530,38,0,103,2,0,2,0.19,0,97,1,0,12,1,3.64102564102564,2,1,1,0.714285714285714,0,0,1.0,7,2,5
233,1,0,1,3,29,0,50,8,1,6,0.13,0,93,2,142,0,2,3.325,1,1,1,0.857142857142857,0,16,1.0,0,3,4
373,43,1,2,11,0,2,246,5,3,2,0.2,2,96,4,1,34,2,4.0,0,1,1,1.15853658536585,0,378,0.333333333333333,9,4,17
304,211,0,1,2,0,0,49,2,0,1,0.04,0,100,2,0,65,1,5.43457943925234,0,1,1,0.497695852534562,0,15,0.6875,5,2,189
357,0,0,2,0,41,0,45,2,0,6,0.09,1,66,1,0,22,1,4.8695652173913,1,2,1,1.06122448979592,0,811,0.6,0,4,5
169,4,0,1,18,7,0,71,1,0,17,0.16,1,96,1,0,20,3,6.58536585365854,1,1,1,0.465116279069767,0,198,1.0,0,1,2
369,0,0,1,0,67,0,36,50,0,16,0.03,0,16,1,0,22,2,4.47457627118644,1,2,1,0.644970414201183,0,314,0.648648648648649,0,5,1
363,5,0,1,5,9,1,178,8,6,14,0.19,0,96,4,3,29,2,6.52252252252252,0,1,1,0.725,0,0,0.714285714285714,6,3,1068
375,1,0,1,0,27,0,41,1,0,0,0.17,1,0,1,0,9,1,4.11111111111111,2,3,1,0.655172413793103,0,70,0.5,0,3,6
405,42,17,2,12,0,0,155,5,0,7,0.09,0,100,3,0,33,3,6.19047619047619,0,1,0,1.0530303030303,0,56,0.411764705882353,11,2,131
397,9,1,1,4,5,2,257,5,10,0,0.45,0,100,3,5,27,2,7.42105263157895,0,1,1,0.435643564356436,0,19,0.4,27,0,5
376,36,0,1,8,16,0,170,3,0,2,0.21,0,92,5,0,3,2,6.24409448818898,0,1,1,0.603053435114504,0,92,0.4,0,4,7
385,3,0,1,4,31,0,35,15,4,2,0.06,0,100,4,2,4,2,2.83673469387755,0,1,1,0.784615384615385,0,743,0.407407407407407,0,5,3
386,6,0,1,1,105,1,171,9,0,1,0.16,1,100,4,5,2,2,3.70940170940171,0,1,1,0.645669291338583,0,145,0.409090909090909,0,4,10
370,6,3,1,1,25,0,39,8,3,6,0.14,0,86,3,0,18,2,6.83333333333333,1,2,1,0.411764705882353,0,586,0.25,0,5,1
488,25,0,1,3,4,0,221,3,1,27,0.22,0,0,1,0,29,1,16.4110429447853,0,0,0,0.317365269461078,0,39,0.8,100,2,5
409,14,0,1,2,2,0,47,2,2,7,0.07,1,88,3,0,4,2,2.89189189189189,0,1,1,0.766233766233766,0,142,0.4,0,4,2
535,14,2,2,6,20,1,119,14,0,42,0.17,0,100,2,5,16,2,3.71212121212121,0,0,0,0.962962962962963,0,47,0.25,0,3,5
531,33,0,2,16,1,8,721,20,0,2,0.52,1,96,1,18,11,2,4.25974025974026,1,0,1,0.704081632653061,0,332,0.5,0,5,4
242,3,0,1,6,9,0,39,7,3,9,0.09,0,8,5,2,23,3,2.6271186440678,0,0,1,0.402985074626866,0,156,0.666666666666667,18,3,4
359,33,0,2,27,22,0,138,3,0,4,0.11,0,97,4,0,17,2,3.88461538461538,0,1,1,0.712962962962963,0,33,1.0,0,3,4
398,8,1,1,1,7,7,60,4,6,0,1.29,0,100,3,59,27,2,5.27722772277228,0,1,1,0.433962264150943,0,129,0.5,0,4,10
368,12,0,1,1,1,1,140,2,4,5,0.33,1,94,3,0,22,2,3.28571428571429,0,2,1,0.653846153846154,0,465,0.25,0,4,8
377,2,0,1,13,6,2,20,2,1,1,0.35,0,93,4,0,20,2,6.16981132075472,0,1,1,0.625,0,169,0.571428571428571,0,6,6
