,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
169,4,0,1,6,4,0,71,1,0,17,0.16,1,96,1,0,15,3,6.58536585365854,1,1,1,0.465116279069767,0,125,1.0,0,1,2
233,0,0,1,3,29,0,50,8,1,6,0.13,0,93,2,1,15,2,3.325,1,1,1,0.857142857142857,0,125,1.0,0,3,3
237,3,1,1,6,26,0,51,5,1,3,0.1,1,95,5,0,15,2,4.0,1,1,1,0.918918918918919,0,19,0.35000000000000003,0,4,5
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,12,6,1,3,36,2,130,3,0,2,0.3,0,80,4,0,15,2,4.13698630136986,1,1,1,0.25,0,19,0.777777777777778,0,1,2
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1,0,1,0,9,0,41,1,0,0,0.17,1,0,1,0,9,1,4.11111111111111,2,3,1,0.655172413793103,0,19,0.45,0,3,5
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,9,1,1,4,9,2,257,5,10,0,0.45,0,100,3,5,27,2,7.42105263157895,0,1,1,0.435643564356436,0,19,0.4,1,4,4
398,4,1,1,1,4,7,130,4,6,0,1.29,0,100,3,38,27,2,5.27722772277228,0,1,1,0.433962264150943,0,125,0.5,0,4,10
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,14,2,2,6,20,1,104,14,0,7,0.17,0,100,2,5,16,2,3.71212121212121,0,0,0,0.962962962962963,0,19,0.45,0,3,4
