,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,effort
169,5.0,0.0,1.0,18.0,7.0,0.0,71.0,1.0,0.0,17.0,0.16,1.0,96.0,1.0,0.0,20.0,3.0,6.58536585365854,1.0,1.0,1.0,1.5,0.0,198.0,1.0,0.0,1.0,2.0,9.80474889633598e-06
233,1.0,0.0,1.0,3.0,29.0,0.0,50.0,8.0,1.0,6.0,1.4,0.0,93.0,2.0,0.0,16.0,2.0,3.325,1.0,1.0,1.0,0.857142857142857,0.0,142.0,1.0,0.0,3.0,4.0,2.4758718779271938e-05
237,3.0,1.0,1.0,11.0,26.0,0.0,51.0,5.0,1.0,3.0,1.3,1.0,95.0,5.0,0.0,19.0,2.0,4.0,1.0,1.0,1.0,0.918918918918919,0.0,124.0,0.363636363636364,0.0,4.0,6.0,2.5433323212031844e-05
242,3.0,18.0,1.0,6.0,9.0,0.0,39.0,7.0,3.0,9.0,3.2,0.0,100.0,5.0,2.0,23.0,3.0,2.6271186440678,0.0,0.0,1.0,0.402985074626866,0.0,156.0,0.666666666666667,0.0,4.0,4.0,0.00014397208000349604
292,6.0,0.0,2.0,59.0,52.0,0.0,88.0,57.0,0.0,1.0,0.08,0.0,99.0,1.0,21.0,34.0,3.0,3.3030303030303,0.0,1.0,1.0,2.9,0.0,2598.0,0.952380952380952,1.0,1.0,8.0,4.604157216592242e-07
304,15.0,0.0,1.0,2.0,211.0,0.0,49.0,2.0,0.0,1.0,4.7,0.0,100.0,2.0,0.0,65.0,1.0,5.43457943925234,0.0,1.0,1.0,0.497695852534562,0.0,189.0,0.6875,0.0,2.0,5.0,0.00011172194788666712
356,19.0,54.0,1.0,4.0,11.0,0.0,524.0,5.0,0.0,171.0,5.8,0.0,99.0,2.0,0.0,131.0,2.0,13.8922716627635,0.0,0.0,1.0,0.244239631336406,0.0,414.0,1.1,3.0,3.0,11.0,3.1213484943837244e-05
357,6.0,0.0,2.0,0.0,41.0,0.0,45.0,2.0,0.0,6.0,0.09,1.0,66.0,1.0,0.0,22.0,1.0,4.8695652173913,1.0,2.0,1.0,2.2,0.0,811.0,0.2,0.0,4.0,5.0,1.0930020166721732e-06
358,63.0,0.0,1.0,5.0,26.0,1.0,454.0,9.0,0.0,6.0,2.0,0.0,85.0,3.0,1.0,33.0,2.0,5.91034482758621,0.0,4.0,1.0,0.85,0.0,723.0,0.1,3.0,4.0,11.0,8.440131068154777e-06
928,7.0,4.0,1.0,22.0,5.0,3.0,582.0,4.0,17.0,7.0,0.84,0.0,98.0,0.0,1.0,31.0,8.0,15.928,0.0,0.0,1.0,0.453846153846154,0.0,100.0,0.0,0.0,3.0,5.0,1.5565094552139058e-06
359,33.0,0.0,2.0,27.0,22.0,0.0,138.0,3.0,0.0,4.0,0.11,0.0,97.0,4.0,0.0,17.0,2.0,3.88461538461538,0.0,1.0,1.0,0.0,0.0,165.0,1.0,0.0,3.0,4.0,4.354894319491542e-06
360,11.0,1.0,2.0,4.0,13.0,1.0,160.0,1.0,0.0,1.0,4.7,0.0,88.0,5.0,0.0,17.0,1.0,4.31884057971014,0.0,1.0,1.0,0.816901408450704,0.0,192.0,0.75,0.0,6.0,5.0,0.0001389512463711995
363,6.0,0.0,1.0,5.0,9.0,1.0,178.0,8.0,6.0,14.0,2.9,0.0,96.0,4.0,3.0,29.0,2.0,6.52252252252252,0.0,1.0,1.0,0.725,0.0,1068.0,0.714285714285714,0.0,3.0,0.0,1.3671441627560732e-05
929,12.0,9.0,0.0,3.0,36.0,2.0,206.0,3.0,0.0,2.0,0.3,0.0,80.0,4.0,0.0,21.0,2.0,4.13698630136986,1.0,1.0,1.0,0.9,0.0,58.0,0.777777777777778,0.0,1.0,2.0,9.859907217246722e-06
368,12.0,0.0,1.0,1.0,34.0,1.0,140.0,2.0,4.0,5.0,0.8,1.0,94.0,3.0,0.0,22.0,2.0,3.28571428571429,0.0,2.0,1.0,0.653846153846154,0.0,465.0,0.25,0.0,4.0,8.0,4.4788409392371165e-07
369,5.0,0.0,1.0,0.0,67.0,0.0,36.0,50.0,0.0,16.0,0.03,0.0,16.0,1.0,0.0,22.0,2.0,4.47457627118644,1.0,2.0,1.0,1.7,0.0,314.0,0.7,0.0,5.0,1.0,5.167133137140567e-06
370,6.0,3.0,1.0,1.0,25.0,0.0,39.0,8.0,3.0,6.0,0.5,0.0,86.0,3.0,0.0,18.0,2.0,6.83333333333333,1.0,2.0,1.0,0.411764705882353,0.0,586.0,0.5,0.0,5.0,1.0,1.8330439188751768e-07
373,17.0,1.0,2.0,11.0,43.0,2.0,246.0,5.0,3.0,2.0,7.2,2.0,96.0,4.0,7.0,34.0,2.0,4.0,0.0,1.0,1.0,1.15853658536585,0.0,378.0,0.1,0.0,4.0,9.0,0.00019661352706645818
375,3.0,0.0,1.0,0.0,27.0,0.0,41.0,1.0,0.0,0.0,0.17,1.0,0.0,1.0,0.0,9.0,1.0,4.11111111111111,2.0,3.0,1.0,0.655172413793103,0.0,70.0,0.0,0.0,3.0,6.0,1.6707774731949954e-05
376,36.0,0.0,1.0,8.0,16.0,0.0,170.0,3.0,0.0,2.0,3.1,0.0,92.0,5.0,0.0,24.0,2.0,6.24409448818898,0.0,1.0,1.0,1.5,0.0,92.0,0.4,0.0,1.0,7.0,0.0001884719084431774
377,2.0,0.0,1.0,13.0,6.0,2.0,165.0,2.0,1.0,1.0,6.8,0.0,93.0,4.0,0.0,20.0,2.0,6.16981132075472,0.0,1.0,1.0,1.8,0.0,169.0,0.571428571428571,0.0,6.0,6.0,0.000329492111473928
380,33.0,6.0,1.0,20.0,13.0,0.0,274.0,47.0,1.0,26.0,3.7,0.0,97.0,4.0,26.0,37.0,5.0,3.47619047619048,0.0,0.0,1.0,0.437275985663082,0.0,593.0,0.394736842105263,0.0,1.0,12.0,3.422392149954323e-05
384,23.0,0.0,2.0,6.0,38.0,2.0,543.0,3.0,16.0,5.0,2.6,2.0,97.0,3.0,3.0,50.0,2.0,4.69411764705882,0.0,1.0,1.0,1.10919540229885,0.0,1313.0,1.0,2.0,3.0,11.0,1.5042506905649233e-06
385,3.0,0.0,1.0,4.0,31.0,0.0,35.0,15.0,4.0,2.0,1.3,0.0,100.0,4.0,2.0,36.0,2.0,2.83673469387755,0.0,1.0,1.0,0.784615384615385,0.0,743.0,0.407407407407407,0.0,5.0,3.0,1.3586108037477729e-06
386,6.0,0.0,1.0,1.0,105.0,1.0,171.0,9.0,0.0,1.0,0.16,1.0,100.0,4.0,5.0,62.0,3.0,3.70940170940171,0.0,1.0,1.0,2.7,0.0,145.0,0.409090909090909,0.0,4.0,10.0,3.459561466068184e-05
390,8.0,0.0,1.0,7.0,38.0,0.0,103.0,2.0,4.0,2.0,0.19,0.0,97.0,1.0,0.0,12.0,1.0,3.64102564102564,2.0,1.0,1.0,0.714285714285714,0.0,530.0,1.0,0.0,1.0,5.0,2.8081647948874355e-05
397,9.0,1.0,1.0,4.0,27.0,2.0,257.0,5.0,10.0,0.0,0.45,0.0,100.0,3.0,5.0,27.0,2.0,7.42105263157895,0.0,1.0,1.0,0.435643564356436,0.0,34.0,0.1,0.0,5.0,5.0,5.693563903674814e-07
398,8.0,1.0,1.0,1.0,7.0,7.0,869.0,4.0,6.0,0.0,1.29,0.0,100.0,3.0,59.0,27.0,2.0,5.27722772277228,0.0,1.0,1.0,0.433962264150943,0.0,129.0,0.8,0.0,4.0,10.0,5.7223473848289075e-08
405,42.0,17.0,2.0,11.0,56.0,0.0,155.0,5.0,0.0,7.0,8.4,0.0,100.0,3.0,0.0,33.0,3.0,6.19047619047619,0.0,1.0,0.0,1.0530303030303,0.0,131.0,0.1,0.0,2.0,12.0,0.0005969445639081306
408,142.0,19.0,2.0,8.0,44.0,0.0,380.0,7.0,3.0,15.0,3.1,0.0,100.0,3.0,0.0,50.0,2.0,1.0,0.0,1.0,0.0,0.84,0.0,650.0,0.392857142857143,0.0,2.0,3.0,8.342204011890786e-05
409,14.0,0.0,1.0,2.0,2.0,0.0,47.0,2.0,2.0,7.0,0.07,1.0,88.0,2.0,0.0,25.0,2.0,2.89189189189189,0.0,1.0,1.0,0.766233766233766,0.0,142.0,1.1,0.0,4.0,2.0,2.3993745718597914e-05
415,11.0,1.0,1.0,1.0,19.0,1.0,149.0,2.0,1.0,20.0,5.8,1.0,100.0,3.0,0.0,37.0,2.0,3.10126582278481,0.0,0.0,0.0,2.4,1.0,159.0,0.526315789473684,0.0,4.0,9.0,0.0002966964242504533
417,3.0,0.0,1.0,13.0,17.0,0.0,84.0,2.0,2.0,2.0,1.6,1.0,94.0,3.0,0.0,23.0,2.0,3.04166666666667,0.0,1.0,1.0,0.52,0.0,54.0,0.571428571428571,0.0,5.0,9.0,5.4894834191188124e-05
421,9.0,3.0,1.0,14.0,17.0,0.0,55.0,26.0,25.0,20.0,0.05,0.0,91.0,4.0,7.0,22.0,2.0,2.18791946308725,0.0,0.0,1.0,2.9,0.0,1261.0,0.647058823529412,0.0,5.0,3.0,1.8724843556805482e-06
488,25.0,0.0,1.0,3.0,12.0,0.0,221.0,3.0,1.0,27.0,0.22,0.0,100.0,1.0,0.0,29.0,1.0,16.4110429447853,0.0,0.0,0.0,1.7,0.0,39.0,0.8,0.0,2.0,5.0,1.5166150340695239e-05
531,33.0,0.0,2.0,16.0,38.0,8.0,721.0,20.0,0.0,2.0,0.52,1.0,96.0,1.0,18.0,11.0,2.0,4.25974025974026,1.0,0.0,1.0,0.704081632653061,1.0,332.0,0.9,0.0,5.0,4.0,9.019425675216297e-07
535,14.0,2.0,2.0,6.0,20.0,1.0,119.0,14.0,0.0,42.0,5.1,2.0,100.0,2.0,5.0,16.0,2.0,3.71212121212121,0.0,0.0,0.0,0.962962962962963,0.0,47.0,0.5,0.0,3.0,5.0,0.00048249323162863345
