,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
356,19,54,1,4,11,0,524,5,0,171,13.8922716627635,0,99,0.21,0,2,2,131,0,0,1,0.244239631336406,0,414,0.517857142857143,3,3,11
377,2,0,1,13,6,2,165,2,1,1,6.16981132075472,0,93,0.35,0,4,2,20,0,1,1,0.625,0,169,0.571428571428571,0,6,6
405,42,17,2,11,56,0,155,5,0,7,0.09,0,100,6.19047619047619,0,3,3,33,0,1,0,1.0530303030303,0,131,0.411764705882353,0,2,12
304,15,0,1,2,211,0,49,2,0,1,5.43457943925234,0,100,0.04,0,2,1,65,0,1,1,0.497695852534562,0,189,0.6875,0,2,5
380,33,6,1,20,13,0,274,47,1,26,3.47619047619048,0,97,0.19,26,4,2,37,0,0,1,0.437275985663082,0,593,0.394736842105263,0,4,12
928,7,4,1,22,5,3,582,4,17,7,98,0,15.928,1,1,0.84,8,31,0,0,1,0.453846153846154,0,100,0.35,0,3,5
929,12,9,1,3,36,2,206,3,0,2,4.13698630136986,0,80,0.3,0,4,2,21,1,1,1,0.636363636363636,0,58,0.777777777777778,0,1,2
390,8,0,1,7,38,0,103,2,0,2,3.64102564102564,0,97,0.19,0,1,1,12,2,1,1,0.714285714285714,0,530,1.0,0,2,5
376,36,0,1,8,16,0,170,3,0,2,24,0,92,0.21,0,6.24409448818898,2,5,0,1,1,0.603053435114504,0,92,0.4,0,4,7
359,33,0,2,27,22,0,138,3,0,4,97,0,17,3.88461538461538,0,0.11,2,4,0,1,1,0.712962962962963,0,165,1.0,0,3,4
385,3,0,1,4,31,0,35,15,4,2,36,0,100,4,2,2.83673469387755,2,0.06,0,1,1,0.784615384615385,0,743,0.407407407407407,0,5,3
397,9,1,1,4,27,2,257,5,10,0,0.45,0,100,7.42105263157895,5,3,2,27,0,1,1,0.435643564356436,0,34,0.4,0,5,5
370,6,3,1,1,25,0,39,8,3,6,6.83333333333333,0,86,0.14,0,3,2,18,1,2,1,0.411764705882353,0,586,0.5,0,5,1
169,5,0,1,18,7,0,71,1,0,17,0.16,1,85,1,0,20,3,6.58536585365854,1,1,1,0.465116279069767,0,198,1.0,0,1,2
375,3,0,1,0,27,0,41,1,0,0,0.17,1,4.11111111111111,1,0,9,1,0,2,3,1,0.655172413793103,0,70,0.5,0,3,6
398,8,1,1,1,7,7,869,4,6,0,100,0,1.29,5.27722772277228,59,3,2,27,0,1,1,0.433962264150943,0,129,0.5,0,4,10
360,11,1,2,4,13,1,160,1,0,1,4.31884057971014,0,17,88,0,5,1,0.26,0,1,1,0.816901408450704,0,192,0.75,0,6,5
408,142,19,2,8,44,0,380,7,3,15,6.22693726937269,0,100,0.07,0,3,2,50,0,1,0,0.84,0,650,0.392857142857143,0,2,11
292,6,0,2,59,52,0,88,57,0,1,0.08,0,99,3.3030303030303,21,1,2,34,0,1,1,0.610526315789474,0,2598,0.952380952380952,1,1,8
237,3,1,1,11,26,0,51,5,1,3,0.1,1,95,4.0,0,5,2,19,1,1,1,0.918918918918919,0,124,0.363636363636364,0,4,6
242,3,18,1,6,9,0,39,7,3,9,0.09,0,23,5,2,2.6271186440678,3,100,0,0,1,0.402985074626866,0,156,0.666666666666667,0,3,4
369,5,0,1,0,67,0,36,50,0,16,4.47457627118644,0,22,0.03,0,1,2,16,1,2,1,0.644970414201183,0,314,0.648648648648649,0,5,1
535,14,2,2,6,20,1,119,14,0,42,3.71212121212121,0,100,0.17,5,2,2,16,0,0,0,0.962962962962963,0,47,0.5,0,3,5
488,25,0,1,3,12,0,221,3,1,27,16.4110429447853,0,100,0.22,0,1,1,29,0,0,0,0.317365269461078,0,39,0.8,0,2,5
531,33,0,2,16,38,8,721,20,0,2,0.52,1,96,4.25974025974026,18,1,2,11,1,0,1,0.704081632653061,0,332,0.5,0,5,4
417,3,0,1,13,17,0,84,2,2,2,23,1,94,0.12,0,3,2,3.04166666666667,0,1,1,0.52,0,54,0.571428571428571,0,5,9
421,9,3,1,14,17,0,55,26,25,20,91,0,2.18791946308725,4,7,0.05,2,22,0,0,1,0.448863636363636,0,1261,0.647058823529412,0,5,3
409,14,0,1,2,2,0,47,2,2,7,88,1,25,3,0,2.89189189189189,2,0.07,0,1,1,0.766233766233766,0,142,0.4,0,4,2
233,1,0,1,3,29,0,50,8,1,6,0.13,0,74,2,0,16,2,3.325,1,1,1,0.857142857142857,0,142,1.0,0,3,4
415,11,1,1,1,19,1,149,2,1,20,0.0,1,59,3,0,6,2,3.10126582278481,0,0,0,0.585365853658537,0,159,0.526315789473684,0,4,9
357,6,0,2,0,41,0,45,2,0,6,0.0,1,9,1,0,22,1,1.5,1,2,1,1.06122448979592,0,811,0.6,0,4,5
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,12,0,1,1,34,1,140,2,4,5,0.33,1,8,3,0,22,2,1.4500000000000002,0,2,1,0.653846153846154,0,465,0.25,0,4,8
363,6,0,1,5,9,1,178,8,6,14,0.19,0,80,4,3,9,2,6.52252252252252,0,1,1,0.725,0,1068,0.714285714285714,0,3,5
358,63,0,1,5,26,1,454,9,0,6,0.0,0,59,3,1,8,2,1.4000000000000001,0,1,1,0.85,0,723,0.523076923076923,3,4,11
384,23,0,2,6,38,2,543,3,16,5,0.0,2,59,3,3,8,2,1.4000000000000001,0,1,1,1.10919540229885,0,1313,0.327272727272727,2,3,11
386,6,0,1,1,105,1,171,9,0,1,0.0,1,59,4,5,7,2,1.4500000000000002,0,1,1,0.645669291338583,0,145,0.409090909090909,0,4,10
