,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
16,0,0,1,0,1,2,2,58,1,3,2,0.51,0,54,2,0,5,1,0.5,0,1,0,3,0.734375,0
86,0,0,1,0,0,4,2,116,1,7,2,0.79,0,54,2,2,6.88,3,11,1,0,0,0,0.566552901023891,3
104,0,0,1,2,0,0,2,38,1,7,2,0.1,0,54,2,0,6.88,1,13,1,1,0,2,0.470715835140998,2
96,0,12,1,1,0,0,2,29,1,1,54,0.2,0,1,1,0,9,2,3.05882352941176,1,1,0,0,0.533980582524272,5
166,0,0,1,1,1,0,2,24,2,23,30,0.05,0,88,3,0,6.88,2,15,0,1,0,37,0.547058823529412,3
78,6,1,1,5,3,4,2,849,7,21,30,0.75,0,97,1,2,6.88,9,1,0,0,0,1,0.527452745274527,4
147,0,0,1,1,0,4,2,155,1,4,99,0.73,0,9,3,0,28,1,8.079999999999995,0,1,0,1,0.659147869674185,0
207,0,0,1,0,0,2,2,61,1,0,3,0.65,0,54,2,0,4,1,0.5,0,1,0,2,0.566473988439306,1
80,1,0,1,6,1,2,1,269,2,7,5,0.53,0,97,2,3,12.63,6,0,0,1,0,1,0.539735099337748,4
263,0,0,1,2,0,0,2,29,3,0,2,0.32,0,54,1,0,5,2,0.5,0,1,0,0,0.547445255474453,2
267,0,1,2,2,0,2,3,132,4,9,8,0.24,0,89,2,2,6.88,2,10,0,0,0,39,0.531208499335989,2
85,8,4,1,2,0,3,3,279,7,8,8,0.35,0,91,1,3,6.88,4,21,0,1,0,36,0.442211055276382,4
275,1,0,1,3,0,0,2,37,1,7,30,0.06,0,92,2,1,6.88,1,15,0,0,0,18,0.328063241106719,3
268,14,5,1,3,0,1,3,200,15,7,18,0.16,0,94,2,1,6.88,3,1,0,0,0,186,0.382173382173382,3
134,1,0,1,5,0,1,2,419,6,35,5,0.28,0,98,1,2,12.63,2,21,0,0,0,378,0.408026755852843,5
299,5,0,1,3,0,1,2,173,4,13,30,0.16,0,95,1,1,3.26,4,21,0,1,0,162,0.63271375464684,3
302,2,0,1,1,0,0,2,60,3,3,7,0.2,0,92,1,2,6.88,3,15,1,1,0,15,0.439320388349515,2
432,4,6,1,18,0,0,2,56,3,3,11,0.09,0,94,1,1,6.88,2,15,0,1,0,2,0.749670619235837,3
543,0,0,2,1,0,2,4,34,1,4,0,0.44,0,54,3,1,1,1,6.88,1,2,0,5,0.40495867768595,5
546,8,0,1,2,1,1,3,119,11,30,6.88,0.12,0,93,1,2,2,3,30,0,0,0,71,0.313213703099511,21
548,0,0,2,1,0,0,2,28,2,3,3,0.15,0,54,3,0,6.88,2,13,0,1,0,4,0.430327868852459,1
195,,,,,,,,,,,,,,,,,,,,,,,,,
729,0,0,1,0,0,1,2,44,1,0,54,0.32,1,1,2,0,3,2,2.1875,0,0,0,4,0.506787330316742,11
284,,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,
790,2,0,1,3,1,0,2,74,4,4,10,0.17,0,95,2,0,6.88,3,13,0,0,0,40,0.558260869565217,2
251,,,,,,,,,,,,,,,,,,,,,,,,,
795,4,1,1,2,0,1,2,108,7,4,30,0.2,0,92,1,0,6.88,5,15,0,0,0,0,0.556005398110661,5
805,3,0,1,3,0,0,2,41,1,7,10,0.15,0,1,1,1,25,2,0.5,0,0,0,1,0.658469945355191,99
1940,0,0,1,0,0,3,1,182,1,0,3,1.3,0,0,1,0,0,2,1.53658536585366,1,1,0,17,0.809264305177112,5
854,9,0,1,2,0,2,3,151,1,0,54,0.34,1,2,1,1,9,2,13,2,1,0,8,0.606104651162791,6.88
861,0,0,1,1,0,0,2,23,1,0,2,0.35,0,54,2,0,4,2,0.5,1,1,0,16,0.682692307692308,1
792,,,,,,,,,,,,,,,,,,,,,,,,,
762,,,,,,,,,,,,,,,,,,,,,,,,,
877,3,2,1,5,0,0,3,34,6,0,5,0.14,0,15,2,0,6.88,2,54,1,1,0,5,0.515723270440252,3
893,0,0,1,0,0,0,1,21,1,0,9,0.43,0,57,1,0,9,1,1,2,1,0,5,0.752941176470588,6.88
894,1,3,1,1,0,0,2,23,2,0,2,0.23,1,54,1,0,2,2,1,1,1,0,2,0.853333333333333,3.26
909,0,0,1,1,0,1,3,53,4,16,5,0.11,3,90,1,0,12.63,2,15,3,1,0,6,0.846645367412141,3
916,0,4,1,3,0,0,3,21,1,0,8,0.15,1,54,1,0,1,1,6.88,1,1,0,68,0.621890547263682,13
871,,,,,,,,,,,,,,,,,,,,,,,,,
928,1,0,1,1,0,3,2,47,1,6,2,0.47,1,54,2,4,1,1,11,1,1,0,1,0.594117647058824,3.26
927,0,0,1,2,0,1,2,136,3,9,99,0.39,0,1,4,4,6,4,0.5,1,1,0,45,0.487364620938628,0
934,1,0,1,5,9,4,2,100,1,4,13,0.6,0,94,1,8,0,1,6.88,1,1,0,5,0.552188552188552,3
