,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
16,0,0,1,0,1,2,2,58,1,3,2,0.51,0,54,2,0,5,1,0.5,0,1,0,3,0.734375,0
86,0,0,1,0,0,4,2,116,1,7,2,0.79,0,54,2,2,11,3,6.88,1,0,0,0,0.566552901023891,3
96,0,12,1,1,0,0,2,29,1,1,9,0.2,0,54,1,0,5,2,3.05882352941176,1,1,0,0,0.533980582524272,1
202,0,32,1,0,0,4,1,189,1,0,0,3.5,0,0,1,1,5,1,6.88,0,0,0,0,0.715277777777778,1
207,0,0,1,0,0,2,2,61,1,0,3,0.65,0,54,2,0,4,1,0.5,0,1,0,2,0.566473988439306,1
263,0,0,1,2,0,0,2,29,3,0,2,0.32,0,54,1,0,5,2,0.5,0,1,0,0,0.547445255474453,2
543,0,0,2,1,0,2,4,34,1,4,0,0.44,0,54,3,1,5,1,6.88,1,2,0,5,0.40495867768595,1
792,0,0,1,0,0,0,1,95,1,0,21,0.21,0,99,1,0,0,1,0.5,1,1,0,1,0.814465408805031,0
1940,0,0,1,0,0,3,1,182,1,0,3,1.3,0,0,1,0,5,2,1.53658536585366,1,1,0,17,0.809264305177112,0
861,0,0,1,1,0,0,2,23,1,0,2,0.35,0,54,2,0,4,2,0.5,1,1,0,16,0.682692307692308,1
893,0,0,1,0,0,0,1,21,1,0,9,0.43,0,57,1,0,5,1,6.88,2,1,0,5,0.752941176470588,1
894,1,3,1,1,0,0,2,23,2,0,2,0.23,1,54,1,0,2,2,3.26,1,1,0,2,0.853333333333333,1
916,0,4,1,3,0,0,3,21,1,0,8,0.15,1,54,1,0,13,1,6.88,1,1,0,68,0.621890547263682,1
962,1,0,1,3,0,0,2,45,1,1,10,0.18,0,99,1,1,8,3,0.5,0,0,0,6,0.681159420289855,0
1059,0,0,1,0,2,3,1,52,2,3,2,0.29,2,54,5,0,13,2,3.26,0,2,0,9,0.928571428571429,3
1061,0,0,1,1,0,0,1,19,1,11,10,0.14,0,54,3,3,4,1,6.88,1,0,0,0,0.790960451977401,1
1957,0,0,1,0,0,0,2,24,1,7,8,0.21,0,54,2,0,5,1,6.88,1,2,0,5,0.948717948717949,1
1103,1,0,1,5,0,0,2,28,6,6,2,0.09,2,54,2,0,5,3,0.5,0,0,0,24,0.413793103448276,1
1467,2,0,1,1,0,0,1,46,1,6,10,0.06,5,54,4,2,13,1,6.88,1,1,0,49,0.493445692883895,1
2004,2,0,1,1,2,0,2,22,8,3,8,0.09,1,54,4,0,5,2,0.5,0,1,0,92,0.632786885245902,1
2032,0,0,1,1,0,0,5,17,1,1,2,0.15,5,54,2,0,5,1,0.5,1,2,0,11,1.0,1
1732,5,0,1,5,2,2,3,49,3,4,10,0.21,1,54,1,0,5,2,6.88,0,0,0,4,0.420886075949367,3
1866,0,0,1,0,0,0,2,21,1,2,0,0.14,0,0,1,2,5,2,0.5,0,1,0,169,0.605263157894737,1
2048,1,0,2,0,0,2,3,64,6,1,21,0.21,2,54,2,0,5,2,6.88,0,1,0,3,0.97624703087886,1
