,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
16,0.0,2.0,2.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,5.0,0.51,0.0,85.0,2.0,0.0,0.6035714285714289,1.0,2.0,0.0,1.0,0.0,5.0,10.0,1.0
80,1.0,0.0,1.0,6.0,1.0,2.0,1.0,115.0,2.0,7.0,21.0,0.53,0.0,97.0,2.0,3.0,13.0,6.0,8.46153846153846,0.0,1.0,0.0,0.0,0.539735099337748,2.0
96,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,5.0,0.05,0.0,75.0,1.0,0.0,5.0,2.0,3.05882352941176,1.0,1.0,0.0,1.0,0.533980582524272,1.0
78,6.0,1.0,1.0,5.0,3.0,4.0,2.0,699.0,7.0,21.0,21.0,0.75,0.0,97.0,1.0,2.0,30.0,7.0,5.14705882352941,0.0,0.0,0.0,0.0,0.527452745274527,4.0
86,0.0,0.0,1.0,0.0,0.0,4.0,2.0,11.0,1.0,7.0,7.0,0.79,0.0,78.0,2.0,2.0,1.0,3.0,3.64705882352941,1.0,0.0,2.0,1.0,0.566552901023891,115.0
195,0.0,21.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,13.0,0.56,0.0,96.0,1.0,2.0,115.0,2.0,2.75,0.0,0.0,0.0,10.0,0.796190476190476,2.0
104,0.0,1.0,1.0,2.0,0.0,0.0,1.0,38.0,1.0,7.0,6.0,0.1,0.0,87.0,2.0,0.0,1.0,1.0,5.16666666666667,1.0,1.0,0.0,10.0,0.470715835140998,13.0
207,0.0,0.0,1.0,0.0,0.0,2.0,1.0,61.0,1.0,0.0,3.0,0.65,0.0,61.0,2.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.503571428571429
202,0.0,1.0,1.0,0.0,0.0,4.0,1.0,115.0,1.0,0.0,0.0,3.5,0.0,0.0,1.0,1.0,5.0,1.0,4.17073170731707,0.0,0.0,0.0,30.0,0.6035714285714289,0.0
147,0.0,0.6035714285714289,1.0,1.0,0.0,4.0,2.0,13.0,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,0.0,1.0,3.32142857142857,0.0,1.0,0.0,10.0,115.0,1.0
