,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
16,0,0,1,0,1,2,2,58,1,3,5,0.51,0,85,2,0,0,1,2.0,0,1,0,3,0.734375,1
78,6,1,1,5,3,4,2,849,7,21,62,0.75,0,97,1,2,60,9,5.14705882352941,0,0,0,1,0.968,4
80,1,0,1,6,1,2,1,269,2,7,34,0.53,0,97,2,3,3,6,8.46153846153846,0,1,0,1,0.539735099337748,4
85,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,12,1,1,0,0,2,29,1,1,5,0.2,0,75,1,0,0,2,3.05882352941176,1,1,0,0,0.533980582524272,2
104,,,,,,,,,,,,,,,,,,,,,,,,,
134,1,0,1,5,0,1,2,419,6,35,74,0.28,0,98,1,2,0,2,8.11940298507463,0,0,0,378,0.408026755852843,5
147,,,,,,,,,,,,,,,,,,,,,,,,,
166,0,0,1,1,1,0,2,24,2,23,16,0.05,0,88,3,0,0,2,4.97368421052632,0,1,0,37,0.547058823529412,3
172,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,
207,0,0,1,0,0,2,2,61,1,0,3,0.65,0,61,2,0,0,1,2.0,0,1,0,2,0.566473988439306,0
251,,,,,,,,,,,,,,,,,,,,,,,,,
263,0,0,1,2,0,0,2,29,3,0,6,1.1,0,72,1,0,9,2,2.63636363636364,0,1,0,0,0.547445255474453,2
267,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,
275,1,0,1,3,0,0,2,37,1,7,19,0.06,0,92,2,1,0,1,4.33802816901408,0,0,0,18,0.328063241106719,3
282,1,1,1,1,0,1,2,70,6,2,9,0.15,1,85,2,1,40,2,3.23076923076923,0,0,0,0,0.416531604538088,3
284,,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,
432,4,6,1,18,0,0,2,56,3,3,19,0.09,0,94,1,1,13,2,4.96491228070175,0,1,0,2,0.978,3
543,0,0,2,1,0,2,4,34,1,4,0,1.14,0,60,3,1,7,1,4.4,1,2,0,5,0.40495867768595,0
546,,,,,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,,,,,,,,,,
567,0,0,1,1,0,0,1,48,2,9,10,0.25,0,90,2,3,15,2,2.84848484848485,0,1,0,0,0.55,2
729,0,0,1,0,0,1,2,44,1,0,1,0.32,1,62,2,0,0,2,2.1875,0,0,0,4,0.506787330316742,2
762,,,,,,,,,,,,,,,,,,,,,,,,,
773,,,,,,,,,,,,,,,,,,,,,,,,,
790,,,,,,,,,,,,,,,,,,,,,,,,,
792,0,0,1,0,0,0,1,95,1,0,40,2.16,0,97,1,0,0,1,2.61904761904762,1,1,0,1,0.814465408805031,1
795,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,,,,,,,,,,,
854,9,0,1,2,0,2,3,15,1,0,7,0.34,1,78,1,1,16,2,6.625,2,1,0,8,0.606104651162791,3
861,,,,,,,,,,,,,,,,,,,,,,,,,
863,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,,,,,,,,,,,,,,,,,,,
877,,,,,,,,,,,,,,,,,,,,,,,,,
893,,,,,,,,,,,,,,,,,,,,,,,,,
894,1,3,1,1,0,0,2,23,2,0,6,1.17,1,69,1,0,2,2,3.22222222222222,1,1,0,2,0.853333333333333,0
909,,,,,,,,,,,,,,,,,,,,,,,,,
916,0,4,1,3,0,0,3,21,1,0,8,0.15,1,77,1,0,0,1,4.18181818181818,1,1,0,68,0.621890547263682,0
928,,,,,,,,,,,,,,,,,,,,,,,,,
929,,,,,,,,,,,,,,,,,,,,,,,,,
934,,,,,,,,,,,,,,,,,,,,,,,,,
960,,,,,,,,,,,,,,,,,,,,,,,,,
962,1,0,1,3,0,0,2,45,1,1,15,2.01,0,89,1,1,8,3,2.46428571428571,0,0,0,6,0.681159420289855,1
972,,,,,,,,,,,,,,,,,,,,,,,,,
1043,0,0,1,1,2,2,2,272,1,0,5,0.23,3,81,5,6,12,1,3.14516129032258,0,2,0,10,0.964,3
1059,0,0,1,0,2,3,1,52,2,3,5,0.29,2,83,5,0,0,2,3.25,0,2,0,9,0.928571428571429,3
1061,0,0,1,1,0,0,1,19,1,11,14,0.14,0,87,3,3,0,1,3.6875,1,0,0,0,0.790960451977401,0
1957,,,,,,,,,,,,,,,,,,,,,,,,,
1103,1,0,1,5,0,0,2,28,6,6,8,0.09,2,85,2,0,0,3,3.05,0,0,0,24,0.413793103448276,1
1165,0,0,1,0,2,0,1,54,2,1,19,0.16,0,95,5,0,4,2,1.25862068965517,0,0,0,0,0.966,2
1255,0,0,1,2,0,0,1,23,2,9,10,0.14,0,79,2,2,0,2,3.07142857142857,0,1,0,1,0.52803738317757,3
