,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE
78,6.0,1.0,1.0,5.0,3.0,4.0,2.0,849.0,7.0,21.0,62.0,0.75,0.0,97.0,1.0,2.0,60.0,9.0,5.14705882352941,0.0,0.0,0.0,1.0,0.968,4.0
96,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,5.0,0.2,0.0,2.0,1.0,0.0,10.0,2.0,3.05882352941176,1.0,1.0,0.0,0.0,0.533980582524272,2.0
202,0.0,32.0,1.0,0.0,0.0,4.0,1.0,28.0,1.0,0.0,0.0,3.5,0.0,0.0,1.0,1.0,6.0,1.0,4.17073170731707,0.0,0.0,0.0,0.0,0.715277777777778,0.0
263,0.0,0.0,1.0,2.0,0.0,0.0,2.0,25.0,3.0,0.0,6.0,0.32,0.0,72.0,1.0,0.0,9.0,2.0,2.63636363636364,0.0,1.0,0.0,0.0,0.547445255474453,2.0
792,0.0,0.0,1.0,0.0,0.0,0.0,1.0,95.0,1.0,0.0,40.0,2.16,0.0,97.0,1.0,0.0,0.0,1.0,2.61904761904762,1.0,1.0,0.0,1.0,0.814465408805031,1.0
893,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,4.0,2.09,0.0,57.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,0.0,5.0,0.752941176470588,0.0
894,1.0,3.0,1.0,1.0,0.0,0.0,2.0,23.0,2.0,1.0,6.0,0.23,1.0,69.0,1.0,0.0,2.0,2.0,3.22222222222222,1.0,1.0,0.0,2.0,0.853333333333333,0.0
1061,0.0,0.0,1.0,1.0,0.0,0.0,1.0,19.0,1.0,11.0,14.0,0.14,0.0,87.0,3.0,3.0,2.0,1.0,3.6875,1.0,0.0,0.0,0.0,0.790960451977401,0.0
1103,1.0,0.0,1.0,5.0,0.0,0.0,2.0,28.0,6.0,6.0,8.0,0.09,2.0,85.0,2.0,0.0,6.0,3.0,3.05,0.0,0.0,0.0,1.0,0.413793103448276,1.0
2032,0.0,0.0,1.0,1.0,0.0,0.0,5.0,17.0,1.0,1.0,6.0,0.15,5.0,2.0,2.0,0.0,8.0,1.0,2.66666666666667,1.0,2.0,0.0,11.0,1.0,0.0
78,6,1,1,5,3,4,2,849,7,21,62,0.75,0,97,1,2,60,9,5.14705882352941,0,0,0,1,0.968,4
96,0,12,1,1,0,0,2,29,1,1,5,0.2,0,2,1,0,10,2,3.05882352941176,1,1,0,0,0.533980582524272,2
202,0,32,1,0,0,4,1,28,1,0,0,3.5,0,0,1,1,6,1,4.17073170731707,0,0,0,0,0.715277777777778,0
263,0,0,1,2,0,0,2,25,3,0,6,0.32,0,72,1,0,9,2,2.63636363636364,0,1,0,0,0.547445255474453,2
792,0,0,1,0,0,0,1,95,1,0,40,2.16,0,97,1,0,0,1,2.61904761904762,1,1,0,1,0.814465408805031,1
893,0,0,1,0,0,0,1,21,1,0,4,2.09,0,57,1,0,2,1,4.0,2,1,0,5,0.752941176470588,0
894,1,3,1,1,0,0,2,23,2,1,6,0.23,1,69,1,0,2,2,3.22222222222222,1,1,0,2,0.853333333333333,0
1061,0,0,1,1,0,0,1,19,1,11,14,0.14,0,87,3,3,2,1,3.6875,1,0,0,0,0.790960451977401,0
1103,1,0,1,5,0,0,2,28,6,6,8,0.09,2,85,2,0,6,3,3.05,0,0,0,1,0.413793103448276,1
2032,0,0,1,1,0,0,5,17,1,1,6,0.15,5,2,2,0,8,1,2.66666666666667,1,2,0,11,1.0,0
