"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'1.05 < CountClassCoupled <= 3.8'","b'target = 0'",0.18348,411,0.18125,406,0.98783,0.02627,1.16953,1.68359e-26,0.84464,1892
"b'000001'","b'0.2 < MAJOR_COMMIT <= 0.93'","b'target = 0'",0.13348,299,0.1317,295,0.98662,0.01895,1.16809,1.59153e-18,0.84464,1892
"b'000002'","b'MAJOR_COMMIT <= 0.2'","b'target = 0'",0.20938,469,0.20625,462,0.98507,0.0294,1.16626,4.59829e-29,0.84464,1892
"b'000003'","b'CountLineComment <= 21.8'","b'target = 0'",0.20625,462,0.20089,450,0.97403,0.02669,1.15318,2.82274e-23,0.84464,1892
"b'000004'","b'0.93 < MAJOR_COMMIT <= 1.44'","b'target = 0'",0.2567,575,0.25,560,0.97391,0.03318,1.15305,9.08593e-30,0.84464,1892
"b'000005'","b'CountClassCoupled <= 1.05'","b'target = 0'",0.21071,472,0.20491,459,0.97246,0.02693,1.15132,3.74567e-23,0.84464,1892
"b'000006'","b'3.8 < CountClassCoupled <= 8.2'","b'target = 0'",0.21071,472,0.20268,454,0.96186,0.0247,1.13878,5.1658e-19,0.84464,1892
"b'000007'","b'-0.02 < MAJOR_LINE <= 0.64'","b'target = 0'",0.29063,651,0.27946,626,0.9616,0.03399,1.13847,2.13367e-27,0.84464,1892
"b'000008'","b'MAJOR_LINE <= -0.02'","b'target = 0'",0.10536,236,0.10089,226,0.95763,0.0119,1.13377,9.23186e-09,0.84464,1892
"b'000009'","b'21.8 < CountLineComment <= 36.6'","b'target = 0'",0.24509,549,0.23393,524,0.95446,0.02692,1.13002,1.51702e-19,0.84464,1892
