,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE
10,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,0,0,0,0,0,0,508,1,0,1,0,1.07,0,0,0,0,0,0,0.0,0,0,0.0,0,12,0.5805617147080565,0,5
854,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,2,12,3,0,1,2,78,1,0,8,1,0.35,4,75,1,0,1,1,5.26666666666667,2,1,1.11764705882353,0,1,0.982843137254902,0,0
897,0,1,1,0,0,13,140,1,0,1,7,0.92,2,75,5,0,7.5,1,4.375,0,1,0.7,0,0,0.973760932944606,0,2
1037,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,1,9,1,2,0,6,136,1,0,10,2,0.95,1,83,1,0,6,1,5.08333333333333,1,1,0.714285714285714,0,0,0.976539589442815,0,2
2123,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,0,0,2,0,4,7,50,1,0,0,4,1.06,3,0,1,0,0,1,5.0,3,1,1.83333333333333,1,0,0.968085106382979,0,1
907,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,0,0,3,0,0,14,83,1,0,2,2,2.13,2,0,1,0,0,1,3.0,3,6,2.6,1,0,0.968085106382979,0,1
920,0,2,3,0,0,14,281,1,4,2,11,0.67,3,52,6,0,24,1,4.47058823529412,0,1,1.42105263157895,0,0,0.988636363636364,0,1
628,1,1,1,2,0,4,338,1,3,2,49,0.77,0,78,3,0,3,1,2.09259259259259,0,1,0.535714285714286,0,2,1.0,0,3
933,0,0,1,0,0,12,170,1,2,1,10,1.28,1,8,3,0,12.0,1,2.91666666666667,0,1,0.5,0,4,0.971988795518207,0,2
82,1,0,2,4,1,7,66,1,0,0,2,0.99,3,66,1,0,33.5,2,3.66666666666667,0,1,2.83333333333333,0,0,0.407643312101911,0,0
83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,1,1,3,0,0,27,134,1,0,5,2,0.7,9,44,3,0,11.5,1,7.0,1,1,2.66666666666667,0,4,0.971502590673575,0,2
1118,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,,,,,,,,,,,,,,,,,,,,,,,,,,,
