test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
10,0,20.0,0.0,2.0,0.0,1.0,7.0,542.0,1.0,0.0,13.0,3.0,0.99,5.0,89.0,1.0,0.0,0.0,1.0,4.52173913043478,0.0,2.0,1.48,0.0,6.48046875,0.914331465172138,0.0,2.0,0.5187889529189615,0.4812110470810384,1,81519531250000.0
1955,0,50.0,0.0,1.0,59.0,1.0,3.0,32.4609375,3.0,0.0,18.0,24.0,0.5,1.0,97.0,2.0,0.0,3.0,1.0,4.54054054054054,1.0,0.0,0.564102564102564,0.0,6.39013671875,0.929274292742927,0.0,0.0,0.5400795996763337,0.4599204003236664,2,1597609863281250.0
12,0,0.0,2.0,2.0,1.0,3.0,9.0,56.0,1.0,0.0,0.0,1.0,0.38,9.0,33.0,1.0,0.0,2.0,1.0,22.6666666666667,1.0,1.0,0.9735416412353515,0.0,0.0,0.639676113360324,0.0,1.0,0.5032673966550825,0.49673260334491753,1,0.4646528206190738
16,0,1.8359375,1.0,1.0,0.0,0.0,5.0,186.0,1.0,3.0,4.0,19.0,0.5850511932373047,1.0,76.0,2.0,0.0,10.0,2.0,6.46428571428571,1.0,1.0,1.4,0.0,281.0,0.429503916449086,0.0,4.0,0.5240210221075969,0.4759789778924031,2,3164062500000.0
1956,0,1.0,0.0,1.0,0.0,0.0,4.5,107.0,1.0,0.0,4.0,4.0,1.26,0.0,40.0,2.0,0.0,6.0,1.0,5.0,1.0,2.0,1.42857142857143,1.0,244.0,0.938388625592417,0.0,4.0,0.5016174680353859,0.49838253196461413,1,1.6862268986911086
1957,0,1.0,0.0,1.0,0.0,0.0,6.0,70.0,1.0,0.0,3.0,4.0,1.27,0.0,66.0,2.0,0.0,5.0,1.0,3.8,1.0,1.0,0.714285714285714,0.0,95.492431640625,0.945205479452055,0.0,0.0,0.5066299757636106,0.4933700242363894,1,79507568359375.0
1958,0,3.0,17.0,2.0,2.0,0.0,18.0,423.0,1.0,0.0,18.0,0.0,0.74,2.0,89.0,1.0,0.0,9.0,1.0,7.55,2.0,2.0,1.90909090909091,0.0,6.276123046875,0.790307548928239,0.0,0.0,0.7991383987928169,0.20086160120718305,1,1130723876953125.0
19,0,8.0,5.0,1.0,3.0,0.0,0.0,60.0,1.0,2.0,2.0,86.0,0.09500355362892152,0.0,97.0,3.0,1.0,12.0,4.0,5.91089108910891,0.0,1.0,1.12621359223301,0.0,17.0,0.49563838223632,0.0,1.08984375,0.6926549472998491,0.3073450527001509,2,3.3125042912941733
23,0,7.0,1.0,1.0,0.0,0.0,4.0,244.0,1.0,3.0,8.0,30.0,0.35,1.0,87.0,2.0,0.0,17.0,2.0,6.21951219512195,1.0,1.0,1.2093023255814,0.0,6.4423828125,0.4786555574652218,0.0,0.5,0.5152390173506118,0.4847609826493882,3,301557617187500.0
1959,0,2.0,0.0,1.0,0.0,0.0,11.0,107.0,1.0,0.0,3.0,4.0,1.45,0.0,69.50134193897247,2.0,0.0,7.0,1.0,4.0,1.0,2.0,1.25,0.0,220.0,0.733990147783251,0.0,1.0,0.5186876745318255,0.4813123254681745,1,0.1433519145246919
1960,0,2.0,0.0,1.0,0.0,0.0,10.0,118.0,1.0,0.0,5.0,5.0,1.26,0.0,60.0,2.0,0.0,7.0,1.0,4.14285714285714,1.0,0.0,1.33333333333333,1.0,273.0,0.955899419225832,0.0,1.0,0.5284677423790254,0.47153225762097456,1,0.8597472968885933
1961,0,2.0,0.0,1.0,0.0,0.0,6.0,92.0,1.0,0.0,4.0,6.0,1.53,0.0,78.0,2.0,0.0,4.0,1.0,3.125,0.0,0.0,0.7,0.0,109.99658745527267,0.976878612716763,0.0,1.0,0.5435692082855241,0.4564307917144759,1,77003412544727.33
27,0,6.0,5.0,4.0,0.0,0.0,1.0,52.492431640625,1.0,1.0,38.0,28.0,0.18,0.0,94.0,1.0,1.0,7.0,2.0,8.5,0.0,1.0,1.30952380952381,0.0,10.0,0.533261802575107,0.0,1.08984375,0.5242507968841745,0.47574920311582547,2,3.0017370251169244
30,0,11.0,10.0,1.0,8.0,0.0,1.0,22.485107421875,1.0,35.0,36.0,7.49853515625,0.23,0.0,96.0,1.0,1.0,25.0,3.0,4.97959183673469,0.0,0.0,0.899328859060403,0.0,199.0,0.468253968253968,0.0,8.0,0.5107901411508489,0.48920985884915114,2,19.876806570361403
33,0,25.0,18.0,2.0,13.0,0.0,1.0,21.48583984375,1.0,5.0,28.0,35.0,0.2,0.0,94.0,1.0,1.0,14.0,1.0,6.68674698795181,0.0,0.0,0.670588235294118,0.0,26.0,0.631297709923664,0.0,1.08935546875,0.5091937479101911,0.49080625208980894,2,5.191825566415699
34,0,2.49951171875,0.0,1.0,112.0,0.0,1.0,21.406005859375,1.0,4.0,8.0,173.0,0.25,0.0,99.0,1.0,1.0,13.0,2.0,4.07441860465116,0.0,0.0,0.493087557603687,0.0,11.0,0.579288025889968,0.0,4.0,0.5076240048586418,0.4923759951413582,2,35500488281250.0
35,0,3.0,0.0,1.0,3.0,16.0,14.0,285.0,1.0,0.0,0.0,14.0,0.63,3.0,72.0,1.0,0.0,5.0,1.0,6.47058823529412,0.0,1.0,0.421052631578947,0.0,6.486328125,0.506602641056423,0.0,2.4998779892921448,0.5275051189900051,0.472494881009995,2,165513671875000.0
41,0,0.0,0.0,1.0,0.0,5.0,2.0,31.0,1.0,0.0,0.0,5.0,0.22,2.0,0.0,1.0,0.0,4.0,1.0,4.6,4.0,5.0,2.42857142857143,0.0,1.0,0.47864746912912626,0.0,2.0,0.6591506044376556,0.3408493955623444,1,0.8360376442008421
48,0,0.0,8.0,1.0,9.0,2.0,4.0,139.0,1.0,7.0,7.0,9.0,0.76,0.0,94.0,1.0,2.0,8.0,2.0,6.25,0.0,0.0,0.576923076923077,0.0,6.4833984375,0.9400592330658109,0.0,3.0,0.5053512667143949,0.4946487332856051,2,179516601562500.0
