Antecedent,Antecedent Coverage %,Confidence,Lift
-0.145 < MAJOR_LINE <= 0.315 & -1.36 < CountDeclClassMethod <= 0.22,0.26027,1.0,1.20755
-0.006 < MaxNesting_Mean <= 0.182 & -0.4 < CountDeclInstanceMethod <= 5.3,0.18438,0.99758,1.20462
-0.006 < MaxNesting_Mean <= 0.182 & 0.34 < CountDeclClass <= 1.08,0.22902,0.99415,1.20049
CountDeclClassMethod <= -1.36,0.05893,0.99242,1.1984
-0.006 < MaxNesting_Mean <= 0.182 & -0.77 < CountDeclClassVariable <= 0.16,0.21429,0.98958,1.19497
Del_lines <= -24.5,0.04107,0.98913,1.19442
-0.4 < CountDeclInstanceMethod <= 5.3 & -0.122 < AvgLineBlank <= 0.013,0.22455,0.98807,1.19314
-0.145 < MAJOR_LINE <= 0.315 & 0.34 < CountDeclClass <= 1.08,0.2558,0.98778,1.1928
CountClassCoupled <= 1.3,0.20982,0.98511,1.18956
-0.006 < MaxNesting_Mean <= 0.182 & -0.445 < CountDeclMethodProtected <= 0.02,0.24955,0.98211,1.18595
