test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
16,0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,58.0,1.0,3.0,2.0,0.51,0.0,85.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.734375,1.0,0.6896093648716847,0.31039063512831533,2
78,0,6.0,1.0,1.0,5.0,3.0,4.0,2.0,849.0,7.0,21.0,62.0,0.75,0.0,97.0,1.0,2.0,60.0,9.0,5.14705882352941,0.0,0.0,0.0,0.0,0.951219512195122,4.0,0.5041810542382346,0.4958189457617654,2
80,0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,269.0,2.0,7.0,34.0,2.9,0.0,97.0,2.0,3.0,19.0,6.0,8.46153846153846,0.0,1.0,0.0,0.0,0.976190476190476,4.0,0.5912805511406077,0.40871944885939226,3
86,0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,116.0,1.0,7.0,1.0,0.79,0.0,78.0,2.0,2.0,13.0,2.0,3.64705882352941,1.0,0.0,0.0,0.0,0.566552901023891,3.0,0.5356031856636216,0.4643968143363784,3
95,0,1.0,4.0,1.0,4.0,0.0,8.0,2.0,1049.0,6.0,22.0,23.0,1.37,0.0,95.0,1.0,1.0,53.0,6.0,4.21296296296296,0.0,0.0,0.0,0.0,0.983451536643026,5.0,0.640737595439085,0.35926240456091496,1
96,0,0.0,12.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,1.0,0.2,0.0,75.0,1.0,0.0,10.0,2.0,3.05882352941176,1.0,1.0,0.0,0.0,0.533980582524272,2.0,0.5329814129237729,0.4670185870762272,1
104,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,38.0,1.0,7.0,2.0,0.1,0.0,87.0,2.0,0.0,29.0,1.0,5.16666666666667,1.0,1.0,0.0,0.0,0.470715835140998,2.0,0.5609736376719788,0.43902636232802117,2
134,0,1.0,4.0,1.0,5.0,0.0,1.0,2.0,419.0,6.0,35.0,74.0,0.28,0.0,98.0,1.0,2.0,65.0,1.0,8.11940298507463,0.0,0.0,0.0,378.0,0.408026755852843,5.0,0.5405984194775844,0.45940158052241564,2
147,0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,155.0,1.0,4.0,3.0,0.73,0.0,90.0,3.0,0.0,28.0,1.0,3.32142857142857,0.0,1.0,0.0,0.0,0.659147869674185,1.0,0.5566916177471211,0.4433083822528789,1
166,0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,24.0,2.0,23.0,16.0,0.05,0.0,88.0,3.0,0.0,40.0,1.0,4.97368421052632,0.0,1.0,0.0,37.0,0.980891719745223,3.0,0.6458810407851379,0.3541189592148621,2
172,0,4.0,0.0,1.0,2.0,4.0,2.0,2.0,121.0,2.0,3.0,16.0,0.38,0.0,92.0,1.0,0.0,1.0,1.0,3.92307692307692,1.0,1.0,0.0,0.0,0.495867768595041,2.0,0.6681926560651104,0.3318073439348897,2
192,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,83.0,1.0,8.0,12.0,3.0,0.0,82.0,1.0,3.0,28.0,2.0,4.48275862068965,0.0,0.0,0.0,0.0,0.326653306613226,0.0,0.618020648851957,0.38197935114804304,3
195,0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,164.0,1.0,2.0,29.0,0.56,0.0,96.0,1.0,2.0,22.0,1.0,2.75,0.0,0.0,0.0,0.0,0.852173913043478,1.0,0.5108070533605511,0.4891929466394489,4
202,0,0.0,32.0,1.0,0.0,0.0,4.0,1.0,189.0,1.0,0.0,0.0,3.5,0.0,0.0,1.0,1.0,6.0,1.0,4.17073170731707,0.0,0.0,0.0,1.0,0.715277777777778,0.0,0.22100272390678433,0.7789972760932157,1
213,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,0.0,10.0,0.17,0.0,69.0,3.0,0.0,3.0,1.0,9.93333333333333,1.0,1.0,0.0,0.0,0.44578313253012,0.0,0.6290328989126581,0.3709671010873419,2
251,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,170.0,1.0,0.0,39.0,0.41,0.0,97.0,2.0,0.0,28.0,1.0,2.63529411764706,1.0,1.0,0.0,10.0,0.950354609929078,3.0,0.5552266165613093,0.4447733834386907,1
263,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,29.0,3.0,0.0,2.0,0.32,0.0,72.0,1.0,0.0,9.0,2.0,2.63636363636364,0.0,1.0,0.0,0.0,0.547445255474453,2.0,0.672066409181368,0.32793359081863205,1
267,0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,132.0,5.0,9.0,14.0,0.24,0.0,89.0,2.0,2.0,26.0,1.0,4.025,0.0,0.0,0.0,39.0,0.531208499335989,0.0,0.6127356671415802,0.3872643328584198,3
