test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
0,0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,56.0,12.0,0.37,1.0,100.0,4.0,0.0,6.0,1.0,2.75,0.0,6.25,1.0,1.0,2.6,320.0,1.0,0.0,1.0,1.0,0.6151582,0.38484183
0,1,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,11.0,12.0,0.35,1.0,100.0,4.0,0.0,6.0,1.0,2.75,0.0,6.41666666666667,1.0,1.0,1.6,326.0,1.0,0.0,1.0,1.0,0.5776335,0.42236647
0,2,1.0,2.0,1.0,8.0,1.0,1.0,24.0,0.0,13.0,8.0,6.71,0.0,81.0,2.0,0.0,4.0,2.0,4.72727272727273,1.0,6.18181818181818,1.0,1.0,1.57142857142857,299.0,1.0,0.0,1.0,0.0,0.6808013,0.31919873
6,0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,14.0,15.0,0.74,0.0,85.0,1.0,0.0,11.0,2.0,4.41176470588235,0.0,3.64705882352941,11.0,1.0,4.5,361.0,0.625,0.0,1.0,4.0,0.6942014,0.3057986
6,1,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,6.0,8.98,9.0,71.0,4.0,0.0,7.0,1.0,4.42857142857143,1.0,7.85714285714286,2.0,1.0,2.4,373.0,0.5,0.0,2.0,1.0,0.55980885,0.44019118
10,0,1.0,0.0,4.0,6.0,0.0,5.0,1.0,0.0,10.0,7.0,0.63,2.0,39.0,1.0,0.0,4.0,1.0,4.125,1.0,4.875,1.0,1.0,2.1,339.0,0.375,0.0,4.0,3.0,0.69183207,0.3081679
10,1,8.0,0.0,1.0,5.0,0.0,1.0,3.0,1.0,7.0,16.0,5.19,0.0,87.0,3.0,0.0,17.0,2.0,2.68,0.0,3.04,0.0,451.0,0.551724137931034,343.0,0.666666666666667,0.0,1.0,1.0,0.5243404,0.47565964
10,2,2.0,0.0,1.0,0.0,26.0,3.0,1.0,0.0,14.0,15.0,0.74,0.0,85.0,1.0,0.0,11.0,2.0,4.41176470588235,0.0,2.1,1.0,1.0,0.526315789473684,361.0,0.625,0.0,1.0,4.0,0.6002066,0.39979342
10,3,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,47.0,12.0,0.35,1.0,100.0,4.0,0.0,6.0,1.0,2.75,0.0,6.41666666666667,1.0,1.0,3.1,326.0,1.0,0.0,1.0,1.0,0.7434325,0.25656745
13,0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,9.0,7.0,0.51,1.0,79.0,0.0,0.0,4.0,1.0,3.5,1.0,3.8,1.0,1.0,0.916666666666667,210.0,0.375,0.0,4.0,3.0,0.7204458,0.2795542
13,1,1.0,0.0,2.0,5.0,1.0,2.0,29.0,1.0,9.0,8.0,1.1,0.0,79.0,4.0,0.0,4.0,1.0,4.0,0.0,3.8,1.0,1.0,1.07142857142857,224.0,0.5,0.0,3.0,0.0,0.6962754,0.3037246
13,2,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,11.0,0.27,0.0,80.0,3.0,2.0,8.0,1.0,3.5,0.0,6.42857142857143,1.0,1.0,4.7,213.0,0.8,0.0,2.0,1.0,0.50335336,0.49664664
14,0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,11.0,13.0,5.0,0.29,0.0,84.0,4.0,2.0,8.0,1.0,5.41176470588235,0.0,5.41176470588235,0.0,1.0,2.6,237.0,0.0,0.0,2.0,2.0,0.57783395,0.42216605
14,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,54.0,16.19,3.0,78.0,2.0,0.0,16.0,1.0,1.875,0.0,4.0,1.0,1.0,0.3,243.0,0.666666666666667,0.0,1.0,1.0,0.7019222,0.29807785
