,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
169,5.0,0.0,1.0,18.0,7.0,0.0,71.0,1.0,0.0,17.0,0.825,1.0,96.0,1.0,0.0,20.0,3.0,6.58536585365854,1.0,1.0,1.0,0.465116279069767,0.0,198.0,1.0,0.0,1.0,2.0
233,1.0,0.0,1.0,3.0,29.0,0.0,50.0,8.0,1.0,6.0,0.13,0.0,93.0,2.0,0.0,3.0,2.0,3.325,1.0,1.0,1.0,0.857142857142857,0.0,142.0,1.0,0.0,3.0,4.0
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,7.0,4.0,1.0,22.0,5.0,3.0,582.0,4.0,17.0,7.0,0.84,0.0,98.0,1.0,1.0,0.0,8.0,15.928,0.0,0.0,1.0,0.453846153846154,0.0,100.0,0.35,0.0,3.0,5.0
359,33.0,0.0,2.0,27.0,22.0,0.0,138.0,3.0,0.0,4.0,0.11,0.0,97.0,4.0,0.0,3.0,2.0,3.88461538461538,0.0,1.0,1.0,0.712962962962963,0.0,165.0,1.0,0.0,3.0,4.0
292,6.0,0.0,2.0,59.0,52.0,0.0,88.0,57.0,0.0,1.0,0.08,0.0,99.0,1.0,21.0,34.0,2.0,3.3030303030303,0.0,1.0,1.0,0.610526315789474,0.0,9.0,0.952380952380952,1.0,1.0,8.0
357,6.0,0.0,2.0,0.0,41.0,0.0,45.0,2.0,0.0,6.0,0.09,1.0,66.0,1.0,0.0,22.0,1.0,4.8695652173913,1.0,2.0,1.0,1.06122448979592,0.0,811.0,0.05,0.0,4.0,5.0
929,12.0,9.0,1.0,3.0,36.0,2.0,206.0,3.0,0.0,2.0,0.3,0.0,80.0,4.0,0.0,21.0,2.0,4.13698630136986,1.0,1.0,1.0,0.636363636363636,0.0,58.0,0.05,0.0,1.0,2.0
