Antecedent,Antecedent Coverage %,Confidence,Lift
0.035 < MAJOR_LINE <= 0.485 & -0.8 < Added_lines <= 9.2,0.08725,0.99438,1.79358
CountLineComment <= 28.5 & -0.8 < Added_lines <= 9.2,0.08382,0.99415,1.79317
CountClassCoupled <= 1.75 & -0.8 < Added_lines <= 9.2,0.07549,0.99351,1.792
MAJOR_LINE <= 0.035 & -0.8 < Added_lines <= 9.2,0.11667,0.9916,1.78856
-0.11 < AvgLineBlank <= 0.52 & -0.8 < Added_lines <= 9.2,0.1451,0.98649,1.77934
0.94 < CountInput_Mean <= 3.4 & -0.8 < Added_lines <= 9.2,0.16912,0.98551,1.77757
1.75 < CountClassCoupled <= 4 & -0.8 < Added_lines <= 9.2,0.09657,0.98477,1.77625
AvgLineComment <= 1.55 & -0.8 < Added_lines <= 9.2,0.09167,0.98396,1.77478
4 < CountClassCoupled <= 7.6 & -0.8 < Added_lines <= 9.2,0.11471,0.97863,1.76517
28.5 < CountLineComment <= 54.5 & -0.8 < Added_lines <= 9.2,0.10735,0.96804,1.74606
