test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1,num_features_changed
59,0,17.0,7.0,1.0,1.0,0.0,2.0,1.0,19.0,26.0,2.0,32.0,150.0,0.0,1.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.54,0.46,2
106,0,16.0,0.0,3.0,3.0,4.0,0.0,5.0,204.0,2.0,5.0,11.0,13.0,1.0,1.0,0.0,35.0,2.0,2.0,8.52941176470588,1.0,1.0,0.0,0.857142857142857,2.0,7.0,0.51,0.49,2
117,0,7.0,0.0,2.0,1.0,0.0,4.0,3.0,137.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,5.0,2.0,0.0,5.41463414634146,1.0,1.0,0.0,0.8,3.0,7.0,0.55,0.45,1
160,0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,122.0,2.0,8.0,44.0,112.0,0.0,1.0,2.0,28.0,2.0,0.0,1.8595041322314,1.0,1.0,0.0,0.0,1.0,1.0,0.54,0.46,3
165,0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,50.0,1.0,4.0,6.0,6.0,0.0,1.0,0.0,10.0,2.0,0.0,4.2,1.0,1.0,0.0,1.0,1.0,2.0,0.59,0.41,1
204,0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,75.0,3.0,8.0,8.0,13.0,0.0,2.0,0.0,5.0,5.0,0.0,4.26086956521739,0.0,1.0,0.0,0.0,2.0,6.0,0.54,0.46,1
205,0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,53.0,1.0,5.0,13.0,35.0,0.0,3.0,0.0,20.0,3.0,0.0,2.88636363636364,1.0,1.0,0.0,1.0,2.0,1.0,0.55,0.45,1
624,0,1.0,2.0,1.0,1.0,0.0,8.0,1.0,1632.0,1.0,12.0,7.0,182.0,0.0,3.0,27.0,94.0,2.0,0.0,3.60913705583756,0.0,1.0,0.0,0.875,4.0,3.0,0.56,0.44,1
913,0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,65.0,1.0,5.0,9.0,15.0,0.0,1.0,103.0,2.0,2.0,0.0,2.95,0.0,1.0,0.0,0.6,2.0,2.0,0.55,0.45,1
3061,0,4.0,0.0,1.0,1.0,0.0,5.0,5.0,109.0,1.0,0.0,13.0,12.0,6.0,2.0,0.0,4.0,2.0,2.0,10.0,1.0,1.0,0.0,0.4,4.0,3.0,0.74,0.26,1
3216,0,7.0,0.0,1.0,4.0,0.0,1.0,1.0,57.0,28.0,0.0,2.0,26.037500000000023,0.0,5.0,0.0,14.0,2.0,0.0,6.20338983050847,1.0,1.0,0.0,0.666666666666667,2.0,2.0,0.55,0.45,1
3399,0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,83.0,5.0,16.0,39.0,86.0,0.0,3.0,2.0,30.0,4.0,0.0,1.0943064182194657,0.0,1.0,0.0,0.75,6.0,1.0,0.51,0.49,3
4185,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,58.0,1.0,7.0,3.0,13.0,0.0,1.0,4.0,23.0,2.0,0.0,7.85714285714286,1.0,1.0,0.0,1.0,2.0,2.0,0.73,0.27,1
