test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE,proba0,proba1
59,0,17.0,7.0,1.0,1.0,0.0,7.0,1.0,417.0,26.0,24.0,32.0,150.0,0.0,3.0,19.0,14.0,2.0,0.0,2.19318181818182,0.0,0.0,0.0,0.5,1.0,2.0,0.5386094537641529,0.4613905462358471
106,0,16.0,0.0,3.0,22.0,4.0,5.0,5.0,204.0,2.0,5.0,11.0,13.0,2.0,1.0,0.0,78.0,2.0,2.0,8.52941176470588,1.0,1.0,0.0,0.857142857142857,2.0,7.0,0.5633548709034069,0.4366451290965931
117,0,7.0,0.0,2.0,1.0,0.0,4.0,3.0,137.0,4.0,9.0,13.0,25.0,1.0,3.0,0.0,48.0,2.0,0.0,5.41463414634146,1.0,1.0,0.0,0.8,2.0,7.0,0.5044251344861305,0.49557486551386953
160,0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,122.0,2.0,28.0,44.0,112.0,0.0,4.0,2.0,28.0,2.0,0.0,1.8595041322314,1.0,1.0,0.0,0.666666666666667,1.0,5.0,0.6077938517351534,0.39220614826484657
204,0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,75.0,3.0,8.0,8.0,13.0,0.0,2.0,0.0,1.0,0.0,0.0,4.26086956521739,0.0,1.0,0.0,0.0,2.0,6.0,0.94738158187572,0.05261841812427998
205,0,0.0,4.0,1.0,1.0,0.0,18.0,18.0,53.0,1.0,5.0,13.0,35.0,0.0,3.0,0.0,20.0,3.0,0.0,2.88636363636364,1.0,1.0,0.0,1.0,2.0,5.0,0.5657680394541948,0.43423196054580515
212,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,1.0,2.0,8.0,25.0,0.0,3.0,0.0,9.0,2.0,0.0,9.2,19.0,1.0,0.0,0.0,5.0,1.0,0.9782471255157658,0.021752874484234238
624,0,1.0,2.0,1.0,1.0,0.0,8.0,9.0,1632.0,1.0,12.0,7.0,182.0,0.0,3.0,27.0,94.0,2.0,0.0,3.60913705583756,0.0,1.0,0.0,0.875,4.0,1.0,0.6624620992917789,0.33753790070822115
807,0,3.0,0.0,1.0,1.0,0.0,20.0,2.0,63.0,1.0,5.0,14.0,28.0,0.0,1.0,0.0,14.0,2.0,1.0,2.72222222222222,1.0,1.0,0.0,0.666666666666667,2.0,4.0,0.9016679269972468,0.09833207300275314
3061,0,4.0,0.0,1.0,7.0,0.0,5.0,5.0,109.0,1.0,0.0,13.0,12.0,6.0,0.0,0.0,11.0,2.0,2.0,10.0,1.0,1.0,0.0,0.4,4.0,3.0,0.6585428408574671,0.34145715914253294
3216,0,7.0,0.0,1.0,4.0,0.0,1.0,1.0,57.0,28.0,0.0,2.0,52.0,6.0,5.0,0.0,14.0,2.0,0.0,6.20338983050847,1.0,1.0,0.0,0.666666666666667,2.0,2.0,0.7447880009781513,0.2552119990218487
3399,0,1.0,3.0,1.0,1.0,0.0,20.0,2.0,83.0,5.0,16.0,39.0,86.0,0.0,3.0,2.0,30.0,4.0,357.0,3.19811320754717,0.0,1.0,0.0,0.75,6.0,6.0,0.5747289397370217,0.4252710602629783
3716,0,6.0,0.0,2.0,0.0,0.0,2.0,5.0,99.0,1.0,2.0,4.0,19.0,2.0,1.0,1.0,22.0,2.0,151.0,11.037037037037,21.0,1.0,0.0,0.666666666666667,2.0,5.0,0.6419532762346787,0.3580467237653214
4195,0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,43.0,1.0,0.0,19.0,51.0,0.0,5.0,2.0,16.0,2.0,0.0,1.7843137254902,26.0,1.0,0.0,1.0,2.0,3.0,0.5440836423609946,0.4559163576390054
4237,0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,49.0,1.0,1.0,18.0,50.0,0.0,5.0,0.0,16.0,2.0,0.0,1.72549019607843,16.0,1.0,0.0,0.5,4.0,3.0,0.6650670549914239,0.3349329450085761
4637,0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,106.0,1.0,10.0,9.0,176.0,0.0,3.0,2.0,36.0,4.0,337.0,2.54891304347826,1.0,1.0,0.0,0.4,2.0,9.0,0.5029423491847117,0.4970576508152883
5371,0,1.0,0.0,8.0,2.0,0.0,1.0,3.0,1429.0,4.0,7.0,11.0,19.0,1.0,4.0,0.0,20.0,2.0,0.0,6.25925925925926,0.0,1.0,0.0,1.0,2.0,4.0,0.6683182554801517,0.3316817445198484
5440,0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,71.0,2.0,7.0,9.0,23.0,0.0,3.0,0.0,7.0,2.0,1.0,1.5,1.0,1.0,0.0,0.1,2.0,5.0,0.5195864060156428,0.4804135939843572
5525,0,5.0,0.0,1.0,1.0,49.0,0.0,2.0,35.0,1.0,7.0,15.0,28.0,0.0,4.0,2949.0,6.0,1.0,0.0,3.575,1.0,1.0,0.0,1.0,3.0,3.0,0.757842205485349,0.24215779451465103
5528,0,0.0,0.0,1.0,3.0,32.0,0.0,1.0,32.0,1.0,3.0,11.0,30.0,0.0,3.0,0.0,12.0,2.0,0.0,1.48484848484848,0.0,1.0,0.0,0.0,3.0,2.0,0.5350250092506452,0.46497499074935483
6488,0,10.0,0.0,1.0,4.0,0.0,0.0,9.0,27.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0,9.0,1.0,29.0,5.14285714285714,1.0,1.0,0.0,0.5,3.0,2.0,0.8648679819434709,0.13513201805652905
6739,0,9.0,0.0,1.0,2.0,4.0,1.0,16.0,98.0,3.0,22.0,18.0,34.0,1.0,3.0,0.0,17.0,1.0,0.0,4.39622641509434,0.0,1.0,0.0,0.5,2.0,3.0,0.7620830128836149,0.23791698711638504
6789,0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,23.0,2.0,2.0,3.0,4.0,0.0,3.0,360.0,5.0,2.0,1.0,6.875,1.0,1.0,0.0,0.0,3.0,3.0,0.6797335278179639,0.3202664721820361
7400,0,16.0,0.0,2.0,0.0,0.0,6.0,5.0,365.0,3.0,0.0,34.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,0.8,1.0,1.0,0.0,0.666666666666667,4.0,5.0,0.5250946382565588,0.4749053617434412
