,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
59,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,
205,0,4,1,1,0,0,2,53,1,5,13,35,0,3,0,20,3,0,2.88636363636364,1,1,0,1.0,2,0
807,3,0,1,1,0,1,2,63,1,5,14,28,0,1,0,14,2,1,2.72222222222222,1,1,0,0.0,2,4
5440,5,0,1,1,2,1,1,71,2,7,9,23,0,3,0,7,2,1,4.62857142857143,1,1,0,0.0,2,5
3716,,,,,,,,,,,,,,,,,,,,,,,,,
5525,5,0,1,1,2,0,1,35,1,7,15,28,0,4,0,6,1,0,3.575,1,1,0,1.0,3,3
7400,16,0,2,0,0,6,1,365,3,0,34,4,2,2,0,2,2,2,9.15,1,1,0,0.666666666666667,4,5
6789,,,,,,,,,,,,,,,,,,,,,,,,,
3399,,,,,,,,,,,,,,,,,,,,,,,,,
