,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,AvgLineBlank,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Min,OWN_COMMIT,MINOR_LINE,MAJOR_LINE
5525,3,0,1,1,2,0,2,35,1,0,15,6.5,0,4,0,6,1,0,9.66666666666667,1,1,0,1.0,3,3
807,3,0,1,1,0,1,2,63,1,0,14,6.5,0,1,0,14,2,1,9.66666666666667,1,1,0,0.0,2,3
5371,1,0,1,2,0,1,2,65,4,2,11,19,1,4,0,4.5,2,0,9.66666666666667,0,1,0,1.0,2,3
5440,3,0,1,1,2,1,2,71,2,2,9,6.5,0,3,0,7,2,1,9.66666666666667,1,1,0,0.0,2,0
205,0,0,1,1,0,0,2,53,1,2,13,6.5,0,3,0,2.5,3,0,2.88636363636364,1,1,0,1.0,2,0
117,7,0,2,1,0,4,3,137,4,9,13,4.0,1,3,0,19,2,0,5.41463414634146,1,1,0,0.5857142857142854,3,2
160,1,0,1,2,0,0,8.0,122,2,2,7.0,27.0,0,4,2,28,2,0,1.8595041322314,1,1,0,0.666666666666667,1,4
106,16,0,3,3,4,5,1,204,2,1,11,13,2,1,0,14.0,2,2,8.52941176470588,1,1,0,0.5857142857142854,2,4
4237,0,0,1,1,0,0,12.0,49,1,1,4,27.0,0,5,0,16,2,0,14.8605769230769,1,1,0,0.0,4,3
3216,7,0,1,2,0,1,13.0,57,13.5,0,2,12.0,0,5,0,14,2,0,6.20338983050847,1,1,0,0.0,2,2
6739,9,0,1,2,4,1,2,35.5,3,0,18,4.0,1,3,0,10.5,1,0,4.39622641509434,0,1,0,0.5,2,3
5528,0,0,1,0,0,0,12.0,32,1,0,11,12.5,0,3,0,12,2,0,14.8605769230769,0,1,0,0.0,3,2
624,1,2,1,1,0,8,1,1632,1,2,7,12.0,0,3,27,5.0,2,0,3.60913705583756,0,1,0,0.5857142857142854,4,5
3399,1,3,1,1,0,0,2,83,5,16,4.0,12.0,0,3,2,30,1,0,3.19811320754717,0,1,0,0.75,1,0
59,17,4,1,1,0,2,8.0,417,13.5,2,4.0,12.0,0,3,19,14,2,0,2.19318181818182,0,0,0,0.5,1,2
4637,1,0,1,0,2,0,1,106,1,0,9,12.0,0,3,2,17.0,3,0,2.54891304347826,1,1,0,0.4,2,2
212,0,0,1,0,0,0,2.5,22,1,2,8,25.0,0,3,0,9,2,0,11.6666666666667,1,1,0,0.722222222222222,5,1
204,2,0,1,1,0,2,2,75,3,1,0,13,0,2,0,4.5,0,0,4.26086956521739,0,1,0,0.0,2,2
4195,0,0,1,1,0,0,12.0,43,1,0,4,27.0,0,5,2,16,2,0,14.8605769230769,1,1,0,1.0,2,3
3061,4,0,1,1,0,4,5,109,1,0,13,12,6,2,0,11,2,2,10.0,1,1,0,0.4,4,3
6488,5,0,1,4,0,0,1,27,1,2,4,2,0,3,0,9,1,0,5.14285714285714,1,1,0,0.5,3,2
6789,2,0,1,1,0,0,3,23,2,2,3,1,0,3,0,5,2,1,6.875,1,1,0,0.0,3,3
7400,16,0,2,0,0,6,5,365,3,0,34,4,1,2,0,2,2,2,9.15,1,1,0,0.666666666666667,4,5
3716,6,0,2,0,0,2,5,99,1,2,4,19,2,1,1,22,2,1,9.18181818181818,1,1,0,0.666666666666667,2,5
