test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,proba0,proba1
78,0,31.0,1.0,1.0,5.0,3.0,4.0,2.0,848.0,7.0,21.0,62.0,0.76,0.0,97.0,1.0,2.0,59.0,9.0,13.3,0.0,0.0,0.0,1.0,1.0,1.0,0.5018167819533869,0.49818321804661314
78,1,0.0,4.0,1.0,2.0,0.0,8.0,13.0,1043.0,11.0,22.0,21.0,1.43,0.0,94.0,1.0,1.0,50.0,1.0,4.24038461538461,0.0,0.0,1.0,140.0,1.0,1.0,0.584772160916815,0.415227839083185
80,0,1.0,0.0,1.0,35.0,1.0,2.0,8.0,261.0,2.0,7.0,31.0,0.55,0.0,28.0,2.0,32.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,1.0,1.1,2.0,0.5361170131926019,0.46388298680739815
80,1,25.0,0.0,1.0,1.0,2.0,2.0,2.0,254.0,1.0,0.0,5.0,0.23,3.0,81.0,5.0,3.0,11.0,1.0,3.23728813559322,6.0,2.0,0.0,0.0,0.514127764127764,3.0,0.5048901303667284,0.4951098696332717
85,0,1.0,0.0,1.0,6.0,1.0,2.0,4.0,261.0,2.0,7.0,31.0,0.55,0.0,97.0,2.0,3.0,18.0,6.0,6.65882352941177,0.0,1.0,0.0,94.0,1.0,2.0,0.5000755211238506,0.4999244788761494
85,1,6.0,3.0,1.0,1.0,0.0,4.0,3.0,284.0,6.0,8.0,22.0,0.39,0.0,89.0,1.0,3.0,27.0,1.0,53.6,0.0,1.0,0.0,82.0,1.0,1.0,0.5461854033586911,0.45381459664130885
85,2,0.0,0.0,1.0,1.0,2.0,2.0,2.0,254.0,6.0,0.0,5.0,0.23,3.0,81.0,5.0,3.0,11.0,1.0,17.3,0.0,2.0,0.0,0.0,0.514127764127764,3.0,0.7140508816964661,0.2859491183035339
86,0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,116.0,1.0,7.0,7.0,0.82,0.0,78.0,2.0,2.0,13.0,3.0,52.4,1.0,0.0,0.0,0.0,0.57439446366782,2.0,0.5799731895574454,0.42002681044255463
86,1,0.0,1.0,1.0,1.0,0.0,5.0,4.0,105.0,2.0,10.0,8.0,0.32,2.0,83.0,3.0,0.0,6.0,2.0,4.13333333333333,4.0,1.0,0.0,0.0,0.518367346938776,4.0,0.503527481072239,0.49647251892776106
86,2,0.0,0.0,1.0,1.0,0.0,0.0,2.0,127.0,1.0,3.0,9.0,0.29,0.0,89.0,2.0,0.0,19.0,2.0,34.8,0.0,1.0,0.0,1.0,1.1,0.0,0.8844653632921547,0.11553463670784526
