,score,project,explainer,model
1016,0.7071067811865476,jruby@2,LIME,XGB
32,0.0,jruby@2,LIME,XGB
809,0.0,jruby@2,LIME,XGB
1188,0.0,jruby@2,LIME,XGB
1349,0.0,jruby@2,LIME,XGB
793,0.0,jruby@2,LIME,XGB
578,0.0,jruby@2,LIME,XGB
816,0.0,jruby@2,LIME,XGB
782,0.0,jruby@2,LIME,XGB
1634,0.8769230769230768,jruby@2,LIME,XGB
678,0.0,jruby@2,LIME,XGB
905,0.0,jruby@2,LIME,XGB
476,0.27972231837796246,jruby@2,LIME,XGB
633,0.4864369382550747,jruby@2,LIME,XGB
956,1.0,jruby@2,LIME,XGB
769,0.2493857150241109,jruby@2,LIME,XGB
788,0.4009751606290995,jruby@2,LIME,XGB
780,0.637046572580888,jruby@2,LIME,XGB
750,0.7417909813342656,jruby@2,LIME,XGB
658,0.6236652342039032,jruby@2,LIME,XGB
748,0.6232833821568974,jruby@2,LIME,XGB
988,0.6225407906270003,jruby@2,LIME,XGB
1670,0.0,hive@1,LIME,XGB
2241,0.0,hive@1,LIME,XGB
1581,0.08,hive@1,LIME,XGB
1695,0.0,hive@1,LIME,XGB
1574,0.0,hive@1,LIME,XGB
1899,0.0,hive@1,LIME,XGB
1798,0.0,hive@1,LIME,XGB
834,0.0,hive@1,LIME,XGB
1947,0.6,hive@1,LIME,XGB
1958,0.0,hive@1,LIME,XGB
1575,0.0,hive@1,LIME,XGB
1965,0.0,hive@1,LIME,XGB
1795,0.0,hive@1,LIME,XGB
1945,0.0,hive@1,LIME,XGB
1805,0.0,hive@1,LIME,XGB
1059,0.6,hive@1,LIME,XGB
1816,0.0,hive@1,LIME,XGB
1799,0.0,hive@1,LIME,XGB
984,0.0,hive@1,LIME,XGB
2261,0.010364499097633621,hive@1,LIME,XGB
1939,0.04581300550746917,hive@1,LIME,XGB
1851,0.04047684999314963,hive@1,LIME,XGB
499,0.0,hive@1,LIME,XGB
1966,0.28,hive@1,LIME,XGB
1431,0.6151206065182201,hive@1,LIME,XGB
305,0.6805194442379239,hive@1,LIME,XGB
1850,0.8041869332145419,hive@1,LIME,XGB
565,0.164359212075403,hive@1,LIME,XGB
308,0.6819904483522845,hive@1,LIME,XGB
1591,0.0,hive@1,LIME,XGB
1853,0.22076124780367118,hive@1,LIME,XGB
1806,0.0,hive@1,LIME,XGB
1604,0.28,hive@1,LIME,XGB
1605,0.18478781602345204,hive@1,LIME,XGB
1883,0.3821656050955414,hive@1,LIME,XGB
1789,0.0,hive@1,LIME,XGB
1915,0.027516292541636487,hive@1,LIME,XGB
1913,0.0,hive@1,LIME,XGB
1937,0.6,hive@1,LIME,XGB
1922,0.2768070987838809,hive@1,LIME,XGB
1998,0.05369127516778524,hive@1,LIME,XGB
677,0.6164068378474307,hive@1,LIME,XGB
1438,0.2768070987838809,hive@1,LIME,XGB
1458,0.3333333333333333,hive@1,LIME,XGB
2049,1.0,hive@1,LIME,XGB
1938,0.02077364973178454,hive@1,LIME,XGB
1530,0.0,hive@1,LIME,XGB
1531,0.0,hive@1,LIME,XGB
1600,0.0,hive@1,LIME,XGB
1817,1.0,hive@1,LIME,XGB
1955,0.22076124780367118,hive@1,LIME,XGB
1814,0.6274286968538546,hive@1,LIME,XGB
366,0.4826067942968065,hive@1,LIME,XGB
1906,0.3784040995049439,hive@1,LIME,XGB
1933,0.07643312101910825,hive@1,LIME,XGB
376,0.4787709449576345,hive@1,LIME,XGB
831,0.0,hive@1,LIME,XGB
1932,0.1935483870967742,hive@1,LIME,XGB
1944,0.40328891005107625,hive@1,LIME,XGB
429,0.6380916963482217,hive@1,LIME,XGB
766,0.14728671844646354,hive@1,LIME,XGB
208,0.4885906496778052,hive@1,LIME,XGB
2128,0.8349428849810564,hive@1,LIME,XGB
209,0.4750333052309928,hive@1,LIME,XGB
350,0.5267740361989537,hive@1,LIME,XGB
26,0.4444353665145362,hive@1,LIME,XGB
1855,0.6232289707443398,hive@1,LIME,XGB
498,0.5947287806289222,hive@1,LIME,XGB
1893,0.0,camel@0,LIME,XGB
204,0.0,camel@0,LIME,XGB
11,0.0,camel@0,LIME,XGB
1516,0.3157894736842105,camel@0,LIME,XGB
987,0.0,camel@0,LIME,XGB
695,0.11724137931034483,camel@0,LIME,XGB
2906,0.4647203889521139,camel@0,LIME,XGB
923,0.3852184382665984,camel@0,LIME,XGB
1861,0.6455568787243073,camel@0,LIME,XGB
1537,0.8691328558888971,camel@0,LIME,XGB
454,0.3333333333333333,camel@0,LIME,XGB
364,0.17873897153726181,camel@0,LIME,XGB
1641,0.4880676801810333,camel@0,LIME,XGB
2125,0.0,camel@0,LIME,XGB
799,0.3370999312316211,camel@0,LIME,XGB
2256,0.10526315789473686,camel@0,LIME,XGB
1620,0.7141862925534284,camel@0,LIME,XGB
106,0.5424210871456187,camel@0,LIME,XGB
3213,0.0,camel@0,LIME,XGB
2513,0.6666666666666666,camel@0,LIME,XGB
1744,0.22857142857142856,camel@0,LIME,XGB
1764,0.22857142857142856,camel@0,LIME,XGB
1735,0.16064212007147788,camel@0,LIME,XGB
2617,0.6763344385799044,camel@0,LIME,XGB
865,0.5549173857000138,camel@0,LIME,XGB
76,0.4527893831408213,camel@0,LIME,XGB
3523,0.0,camel@0,LIME,XGB
2489,0.7109080600578136,camel@0,LIME,XGB
920,0.2988291924105689,camel@0,LIME,XGB
361,0.0,camel@0,LIME,XGB
123,0.43535852815096987,camel@0,LIME,XGB
957,0.6666666666666666,camel@0,LIME,XGB
399,0.0,camel@0,LIME,XGB
1682,0.3157894736842105,camel@0,LIME,XGB
2911,0.24090602791485793,camel@0,LIME,XGB
107,0.0,camel@0,LIME,XGB
2077,0.0,camel@0,LIME,XGB
