,score,project,explainer,model
1349,0.0,jruby@2,LIME,CatB
578,0.0,jruby@2,LIME,CatB
956,0.5,jruby@2,LIME,CatB
816,0.7231026685152142,jruby@2,LIME,CatB
476,0.0,jruby@2,LIME,CatB
678,0.5936746969205057,jruby@2,LIME,CatB
775,0.06150214515535612,jruby@2,LIME,CatB
575,0.6889324903686285,jruby@2,LIME,CatB
1367,0.6444252697426507,jruby@2,LIME,CatB
633,0.6374169790488304,jruby@2,LIME,CatB
788,0.6952754791277888,jruby@2,LIME,CatB
782,0.1686475892462491,jruby@2,LIME,CatB
658,0.43319468765089775,jruby@2,LIME,CatB
905,0.5649802689704563,jruby@2,LIME,CatB
793,0.5388050421002435,jruby@2,LIME,CatB
748,0.6138665519667814,jruby@2,LIME,CatB
769,0.675414791838823,jruby@2,LIME,CatB
988,0.562687060892192,jruby@2,LIME,CatB
750,0.8496569243826915,jruby@2,LIME,CatB
806,0.7650848584425785,jruby@2,LIME,CatB
780,0.6611117188510262,jruby@2,LIME,CatB
834,0.0,hive@1,LIME,CatB
1798,0.31999999999999995,hive@1,LIME,CatB
2264,0.0,hive@1,LIME,CatB
1695,0.5372666128661723,hive@1,LIME,CatB
1059,1.0,hive@1,LIME,CatB
499,0.0,hive@1,LIME,CatB
1574,0.31999999999999995,hive@1,LIME,CatB
1795,0.0,hive@1,LIME,CatB
1958,0.6151206065182201,hive@1,LIME,CatB
1939,0.0,hive@1,LIME,CatB
1799,0.43999999999999995,hive@1,LIME,CatB
1604,0.0,hive@1,LIME,CatB
1945,0.026845637583892634,hive@1,LIME,CatB
1789,0.0,hive@1,LIME,CatB
1802,0.0,hive@1,LIME,CatB
1966,0.28,hive@1,LIME,CatB
1965,0.30756030325911005,hive@1,LIME,CatB
565,0.7372097807744856,hive@1,LIME,CatB
1438,0.0,hive@1,LIME,CatB
1940,0.08,hive@1,LIME,CatB
1899,0.041345644928880695,hive@1,LIME,CatB
1458,0.0,hive@1,LIME,CatB
1806,0.0,hive@1,LIME,CatB
1431,0.7759890145875388,hive@1,LIME,CatB
766,0.0,hive@1,LIME,CatB
1883,0.5,hive@1,LIME,CatB
1805,0.16000000000000003,hive@1,LIME,CatB
1855,0.5034918167479718,hive@1,LIME,CatB
366,0.28,hive@1,LIME,CatB
1934,0.1791044776119403,hive@1,LIME,CatB
308,0.28,hive@1,LIME,CatB
26,0.8366638853603086,hive@1,LIME,CatB
1851,0.5428571428571428,hive@1,LIME,CatB
1913,0.0,hive@1,LIME,CatB
376,0.8636343329227888,hive@1,LIME,CatB
1936,0.0,hive@1,LIME,CatB
1817,0.14615963776015656,hive@1,LIME,CatB
1938,0.0,hive@1,LIME,CatB
1852,1.0,hive@1,LIME,CatB
851,0.0,hive@1,LIME,CatB
1933,1.0,hive@1,LIME,CatB
350,0.6789730917963014,hive@1,LIME,CatB
1853,0.45748482324324236,hive@1,LIME,CatB
208,0.7230051599616771,hive@1,LIME,CatB
1955,0.27539072047757507,hive@1,LIME,CatB
1850,0.7009079382603214,hive@1,LIME,CatB
1922,0.15286624203821655,hive@1,LIME,CatB
305,0.7232456732435014,hive@1,LIME,CatB
2049,1.0,hive@1,LIME,CatB
498,0.7330238970935554,hive@1,LIME,CatB
831,0.004306524669906463,hive@1,LIME,CatB
677,0.7829907322062806,hive@1,LIME,CatB
209,0.8760988921892532,hive@1,LIME,CatB
1944,0.0,hive@1,LIME,CatB
429,0.8046871344208851,hive@1,LIME,CatB
1893,0.0,camel@0,LIME,CatB
52,0.0,camel@0,LIME,CatB
923,0.0,camel@0,LIME,CatB
1743,0.19485321360217575,camel@0,LIME,CatB
987,0.8017837257372732,camel@0,LIME,CatB
50,0.0,camel@0,LIME,CatB
818,0.0,camel@0,LIME,CatB
11,0.6933752452815365,camel@0,LIME,CatB
695,0.5,camel@0,LIME,CatB
2414,0.5,camel@0,LIME,CatB
377,0.7071067811865475,camel@0,LIME,CatB
799,0.7187952884282608,camel@0,LIME,CatB
106,0.6736243367989813,camel@0,LIME,CatB
920,0.0,camel@0,LIME,CatB
454,0.5129891760425771,camel@0,LIME,CatB
956,0.6123724356957946,camel@0,LIME,CatB
1682,0.3157894736842105,camel@0,LIME,CatB
2513,0.6741998624632421,camel@0,LIME,CatB
1620,0.21588951402466325,camel@0,LIME,CatB
2617,0.1959744500210359,camel@0,LIME,CatB
957,0.0,camel@0,LIME,CatB
348,0.8333333333333333,camel@0,LIME,CatB
921,0.746089240177247,camel@0,LIME,CatB
110,0.6277240267896844,camel@0,LIME,CatB
432,0.7958803316450777,camel@0,LIME,CatB
865,0.5235973208979756,camel@0,LIME,CatB
1516,0.0,camel@0,LIME,CatB
1800,0.7750588910287111,camel@0,LIME,CatB
444,0.42105263157894735,camel@0,LIME,CatB
2489,0.38209060532970734,camel@0,LIME,CatB
3523,0.0,camel@0,LIME,CatB
107,0.33849289118832165,camel@0,LIME,CatB
153,0.21821789023599242,camel@0,LIME,CatB
1534,0.0,camel@0,LIME,CatB
123,0.5426010216071296,camel@0,LIME,CatB
1737,0.10144912216475056,camel@0,LIME,CatB
2911,0.6035147019555083,camel@0,LIME,CatB
433,0.7859424920127795,camel@0,LIME,CatB
1764,0.48288905313022734,camel@0,LIME,CatB
1771,0.5453301096037296,camel@0,LIME,CatB
958,0.3142499204668814,camel@0,LIME,CatB
1742,0.8642013218928951,camel@0,LIME,CatB
58,0.400200565974288,camel@0,LIME,CatB
361,0.0,camel@0,LIME,CatB
1735,0.0,camel@0,LIME,CatB
960,0.0,camel@0,LIME,CatB
1537,0.30538712398412493,camel@0,LIME,CatB
38,0.7079185357100594,camel@0,LIME,CatB
1775,0.2259091698617676,camel@0,LIME,CatB
1690,0.3333333333333333,camel@0,LIME,CatB
1074,0.7745966692414833,hive@0,LIME,CatB
723,1.0,hive@0,LIME,CatB
269,0.5357786804169031,hive@0,LIME,CatB
994,0.20851441405707477,hive@0,LIME,CatB
367,1.0,hive@0,LIME,CatB
325,0.4144671933023981,hive@0,LIME,CatB
993,0.4489545073042683,hive@0,LIME,CatB
24,0.34825870646766166,hive@0,LIME,CatB
320,0.667450382816731,hive@0,LIME,CatB
522,1.0,hive@0,LIME,CatB
601,0.38593011165749425,hive@0,LIME,CatB
996,0.4047229303438486,hive@0,LIME,CatB
272,1.0,hive@0,LIME,CatB
1059,0.0778256192078857,hive@0,LIME,CatB
337,0.6141776824268401,hive@0,LIME,CatB
108,0.8627450980392157,hive@0,LIME,CatB
1405,0.0,hive@0,LIME,CatB
360,0.2955965365308128,hive@0,LIME,CatB
1312,0.0,hive@0,LIME,CatB
429,0.4399430245596289,hive@0,LIME,CatB
285,0.7861229379495163,hive@0,LIME,CatB
454,0.6369998808631079,hive@0,LIME,CatB
298,0.7320218968291251,hive@0,LIME,CatB
344,0.5,hive@0,LIME,CatB
505,0.7416880869947424,hive@0,LIME,CatB
995,0.04400254494007283,hive@0,LIME,CatB
965,0.7768599221853825,hive@0,LIME,CatB
1322,0.0,hive@0,LIME,CatB
1287,0.8148857869241153,hive@0,LIME,CatB
313,0.0,hive@0,LIME,CatB
174,0.7851197445489871,hive@0,LIME,CatB
1356,0.8313702367707395,hive@0,LIME,CatB
1371,0.8587454569550504,hive@0,LIME,CatB
338,0.8404023669348449,hive@0,LIME,CatB
389,0.4438641636605845,hive@0,LIME,CatB
4,0.3760582585840707,hive@0,LIME,CatB
323,0.4105878994285191,hive@0,LIME,CatB
183,0.6352572322109526,hive@0,LIME,CatB
225,0.0,hive@0,LIME,CatB
327,1.0,hive@0,LIME,CatB
336,0.74312108134672,hive@0,LIME,CatB
546,0.7078410989022029,hive@0,LIME,CatB
1404,0.5174609932916876,hive@0,LIME,CatB
1284,0.7083942468587217,hive@0,LIME,CatB
64,0.2275449101796408,hive@0,LIME,CatB
1,0.5869503353705565,hive@0,LIME,CatB
357,1.0,hive@0,LIME,CatB
362,0.8801537356817433,hive@0,LIME,CatB
520,0.0,hive@0,LIME,CatB
1294,0.2668126326200041,hive@0,LIME,CatB
1069,0.38224789915966406,hive@0,LIME,CatB
1150,0.5975821429447922,hive@0,LIME,CatB
1152,0.7166805070118589,hive@0,LIME,CatB
1238,0.5275623782853548,hive@0,LIME,CatB
335,0.3305758115510357,hive@0,LIME,CatB
694,0.6507578669587327,hive@0,LIME,CatB
453,0.708881810852545,hive@0,LIME,CatB
970,0.6834686925633556,hive@0,LIME,CatB
220,0.764598279359124,hive@0,LIME,CatB
512,0.3552669264543046,hive@0,LIME,CatB
270,0.6384506771954652,hive@0,LIME,CatB
515,0.3380551361694918,hive@0,LIME,CatB
585,0.4289279049566866,hive@0,LIME,CatB
281,0.6455391518523335,hive@0,LIME,CatB
173,0.8139993288456465,hive@0,LIME,CatB
1390,0.6074176190218947,hive@0,LIME,CatB
184,0.5128687503128878,hive@0,LIME,CatB
141,0.0,camel@1,LIME,CatB
770,0.2222222222222222,camel@1,LIME,CatB
946,0.0,camel@1,LIME,CatB
2825,0.5,camel@1,LIME,CatB
3867,0.0,camel@1,LIME,CatB
196,0.8857142857142856,camel@1,LIME,CatB
2994,0.0,camel@1,LIME,CatB
755,0.0,camel@1,LIME,CatB
4147,0.0,camel@1,LIME,CatB
4555,0.0,camel@1,LIME,CatB
4704,0.42857142857142855,camel@1,LIME,CatB
6733,0.0,camel@1,LIME,CatB
637,1.0,camel@1,LIME,CatB
195,0.0,camel@1,LIME,CatB
202,0.0,camel@1,LIME,CatB
216,0.5,camel@1,LIME,CatB
