Antecedent,Antecedent Coverage %,Confidence,Lift
0.54 < CountClassCoupled <= 2.32 & -0.058 < MAJOR_LINE <= 0.064,0.11011,1.0,1.21933
0.54 < CountClassCoupled <= 2.32 & 0.9925 < OWN_COMMIT <= 1.0135,0.10916,1.0,1.21933
-0.058 < MAJOR_LINE <= 0.064 & 0.9925 < OWN_COMMIT <= 1.0135,0.24775,0.9751,1.18896
1.62 < ADEV <= 2.31 & -0.196 < CountDeclMethodPrivate <= 0.004,0.18462,0.96915,1.18171
0.9925 < OWN_COMMIT <= 1.0135 & -0.196 < CountDeclMethodPrivate <= 0.004,0.33318,0.96581,1.17764
ADEV <= 1.62,0.19079,0.96269,1.17383
0.9925 < OWN_COMMIT <= 1.0135 & -0.015 < CountDeclClassMethod <= 0.21,0.37684,0.9597,1.17019
OWN_COMMIT > 1.0135,0.08211,0.95376,1.16294
MAJOR_LINE <= -0.058,0.07119,0.95333,1.16243
CountClassCoupled <= 0.54,0.20978,0.93891,1.14484
