,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
295,114.0,0.0,1.0,0.0,5.0,2.0,114.0,1.0,3.0,2.0,0.77,1.0,92.0,5.0,0.0,9.0,1.0,3.07692307692308,0.0,1.0,0.0,0.0,0.0,3.469446951953614e-18,2.0,9.0
401,2.81,0.0,1.0,0.0,5.0,1.0,134.0,4.0,5.0,1.0,0.9099999999999999,0.0,100.0,6.0,1.0,6.0,2.0,4.4,0.0,1.0,0.0,0.0,0.0,3.469446951953614e-18,5.0,3.0
194,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,,,,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,,,,,,,,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,,,
824,2.91,0.0,1.0,10.0,6.0,2.0,375.0,1.0,2.0,2.0,1.11,0.0,71.0,1.0,1.0,6.0,2.0,4.72549019607843,1.0,1.0,0.0,0.0,0.0,3.469446951953614e-18,1.0,3.0
1283,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,
