,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
67,0,0,19,2,0,0,2,1,27,6,6,0.1,0,87,2,0,2,1,5.13333333333333,1,1,0,0.464757709251101,0.9500000000000001,1
409,4,6,1,0.2,0,0,2,3,3,0.25,10,19,0,94,1,1,13,2,4.6140350877193,0,1,0,0.755614266842801,16,1
520,0,0,1,1,0,3,3,1,2,0,1,0.63,0,66,3,1,6,1,3.1,1,2,0,0.40357142857142897,0.25,0
43,1,0,1,6,1,2,1,2,6,21,72,0.55,0,97,2,3,4,4,6.65882352941177,0,1,0,0.568445475638051,0.5,2
111,1,0,1,1,0,1,2,2,4,14,13,0.25,0,83,1,0,9,2,3.0500000000000003,0,0,0,0.551369863013699,0.0,0
153,0,0,1,1,0,2,2,1,6,10,19,0.24,0,83,1,3,9,2,4.40740740740741,0,0,0,0.383474576271186,0.25,1
739,1,0,1,1,0,0,3,0.2,5,2,9,19,0,85,2,0,10,2,2.83720930232558,1,1,0,0.460820895522388,1.0,1
745,0,4,1,1,0,1,2,3,1,10,19,0.16,0,83,1,1,9,2,4.59375,0,0,0,0.647584973166369,1.0,1
757,2,0,2,1,2,0,3,1,2,2,5,0.9500000000000001,0,62,1,0.2,5,2,5.38235294117647,1,1,0,0.639791937581274,19,2
789,1,0,1,3,0,0,2,1,6,10,19,0.12,0,92,1,1,9,2,2.6,0,0,0,0.706744868035191,1.0,0
133,1,0,1,2,5,2,2,1,1,13,19,0.41,0,90,1,0,1,2,3.6969696969697,1,1,0,0.583529411764706,0.25,1
790,0,2,1,0,0,0,2,1,1,0.2,9,19,0,80,1,1,5,2,2.19230769230769,0,0,0,0.501930501930502,1.0,0
793,0,0,1,1,0,0,3,1,3,4,13,0.1,0,77,2,0,9,2,4.54545454545455,0,0,0,0.40357142857142897,1.0,0
838,4,0,1,1,0,1,3,1,0,8,19,0.35,1,78,1,1,9,2,6.46666666666667,2,1,0,0.677570093457944,1.0,1
523,2,0,1,2,1,1,3,6,29,21,11,0.14,0,93,1,2,38,2,4.25714285714286,0,0,0,0.417142857142857,0.25,1
855,2,3,1,1,0,0,3,3,1,21,19,0.1,0,93,1,0,9,2,2.76785714285714,0,1,0,0.463030303030303,0.25,2
857,2,1,2,1,0,0,3,3,2,21,19,0.1,1,90,2,0,9,2,2.875,0,1,0,0.584040747028862,1.0,3
893,0,0,1,1,0,1,3,4,7,10,10,0.12,2,91,1,0,38,2,6.85714285714286,3,1,0,0.86970684039088,1.0,1
911,0,0,1,2,0,1,2,2,9,21,19,0.39,0,93,4,3,6,2,2.4375,1,1,0,0.492779783393502,1.0,1
912,0,0,1,1,0,9,2,1,3,0,2,0.51,1,75,2,4,0.25,1,3.0,1,1,2,0.572327044025157,1,1
913,1,0,1,1,0,1,2,2,3,10,36,0.36,0,93,4,3,9,2,2.07142857142857,0,0,0,0.470212765957447,0.25,2
917,1,0,1,1,9,4,2,1,4,0,13,0.61,0,94,1,5,9,1,5.47619047619048,1,1,0,0.555932203389831,0.25,3
165,0,0,1,0,0,1,2,1,1,6,19,0.23,0,82,2,0,9,1,2.37037037037037,0,1,0,0.676923076923077,0.25,0
1452,0.2,0,1,1,0,0,1,1,6,11,19,9,1,82,4,1,2,1,4.59090909090909,2,1,0,0.593110871905274,1.0,1
1677,1,0,1,0,0,4,1,1,0,2,19,1.24,0,1,1,0,2,89,1.8780487804878,0,2,0,0.913793103448276,0.0,1
1803,0,0,1,1,2,0,2,1,7,9,3,0.22,0,89,2,3,4,1,3.84210526315789,1,2,0,0.595505617977528,0.0,2
212,0,0,1,1,0,1,1,1,0,21,19,0.23,0,89,2,0,9,1,2.4,1,1,0,0.61100569259962,1.0,1
58,0,4,1,2,0,8,2,5,22,21,72,1.43,0,57,1,1,38,4,4.24038461538461,0,0,0,0.66008316008316,0.25,1
228,0,1,1,1,0,3,3,3,7,1,30,0.26,0,89,2,2,25,2,3.775,0,0,0,0.584239130434783,0.25,1
243,0,1,1,1,0,1,2,3,3,10,19,0.16,1,87,2,1,38,2,3.24390243902439,0,0,0,0.419354838709677,0.2,2
236,0,0,1,2,0,0,2,1,6,9,63,0.06,0,92,2,1,38,1,4.08571428571429,0,0,0,0.303571428571429,0.25,1
259,5,0,1,3,0,1,2,2,13,21,72,0.15,0,95,1,1,52,4,3.12765957446809,0,1,0,0.69479090242113,0.2,1
746,4,1,1,5,0,1,2,2,10,4,72,0.15,0,96,1,0,38,4,2.95744680851064,0,1,0,0.659197012138189,0.666666666666667,2
48,4,3,1,1,0,4,3,3,8,4,38,0.39,0,89,1,3,27,4,4.87272727272727,0,1,0,0.496396396396396,0.25,2
229,4,4,1,2,0,1,3,6,2,4,60,0.17,0,94,2,1,38,2,4.20731707317073,0,0,0,0.536567164179104,0.533333333333333,2
41,2,1,1,5,3,4,2,7,21,20,139,0.76,0,97,1,2,52,1,4.73053892215569,0,0,0,0.533424283765348,0.2,1
97,,,,,,,,,,,,,,,,,,,,,,,,,
