,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE
133,4.0,0.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,13.0,27.0,1.82,0.0,90.0,1.0,0.0,1.0,2.0,3.6969696969697,1.0,1.0,0.0,0.583529411764706,0.666666666666667,1.0
236,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,19.0,63.0,0.06,0.0,92.0,2.0,1.0,42.0,1.0,4.08571428571429,0.0,0.0,0.0,0.351648351648352,0.05,1.0
520,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,0.63,0.0,75.0,3.0,1.0,6.0,1.0,3.75,1.0,2.0,0.0,0.540816326530612,0.05,0.0
790,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,22.0,0.12,0.0,80.0,1.0,1.0,12.0,2.0,2.19230769230769,0.0,0.0,0.0,0.501930501930502,0.05,0.0
911,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,9.0,25.0,39.0,0.39,0.0,93.0,4.0,3.0,6.0,4.0,2.4375,1.0,1.0,0.0,0.492779783393502,1.0,2.0
913,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,5.0,20.0,36.0,0.36,0.0,93.0,4.0,3.0,14.0,2.0,2.07142857142857,0.0,0.0,0.0,0.470212765957447,0.05,3.0
917,1.0,0.0,1.0,5.0,9.0,4.0,2.0,1.0,4.0,0.0,16.0,0.61,0.0,94.0,1.0,8.0,15.0,1.0,5.47619047619048,1.0,1.0,0.0,0.555932203389831,0.05,3.0
1452,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,11.0,36.0,0.07,4.0,82.0,4.0,1.0,15.0,1.0,4.59090909090909,2.0,1.0,0.0,0.593110871905274,0.05,1.0
1803,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,16.0,9.0,3.0,0.22,0.0,1.0,2.0,3.0,4.0,1.0,3.84210526315789,1.0,2.0,0.0,0.595505617977528,0.0,3.0
133,4,0,1,2,5,2,2,2,2,13,27,1.82,0,90,1,0,1,2,3.6969696969697,1,1,0,0.583529411764706,0.666666666666667,1
236,0,0,1,2,0,0,2,1,7,19,63,0.06,0,92,2,1,42,1,4.08571428571429,0,0,0,0.351648351648352,0.05,1
520,0,0,1,1,0,3,3,1,3,0,1,0.63,0,75,3,1,6,1,3.75,1,2,0,0.540816326530612,0.05,0
790,0,2,1,0,0,0,2,1,2,6,22,0.12,0,80,1,1,12,2,2.19230769230769,0,0,0,0.501930501930502,0.05,0
911,0,0,1,2,0,1,2,1,9,25,39,0.39,0,93,4,3,6,4,2.4375,1,1,0,0.492779783393502,1.0,2
913,1,0,1,1,0,1,2,2,5,20,36,0.36,0,93,4,3,14,2,2.07142857142857,0,0,0,0.470212765957447,0.05,3
917,1,0,1,5,9,4,2,1,4,0,16,0.61,0,94,1,8,15,1,5.47619047619048,1,1,0,0.555932203389831,0.05,3
1452,2,0,1,1,0,0,1,1,6,11,36,0.07,4,82,4,1,15,1,4.59090909090909,2,1,0,0.593110871905274,0.05,1
1803,0,0,2,1,2,1,3,1,16,9,3,0.22,0,1,2,3,4,1,3.84210526315789,1,2,0,0.595505617977528,0.0,3
