test_idx,candidate_id,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,MaxNesting_Min,OWN_LINE,OWN_COMMIT,MAJOR_LINE,proba0,proba1,num_features_changed,dist_unit_l2
101,0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,6.0,7.0,27.0,0.09,0.0,91.0,2.0,0.0,4.0,1.0,5.70588235294118,1.0,7.91176470588235,1.0,0.0,0.353146853146853,0.333333333333333,2.0,0.6120500188681922,0.38794998113180784,1,9.105625252930965
132,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,65.0,0.1,0.0,0.0,1.0,31.0,28.0,2.0,3.70769230769231,1.0,1.41538461538462,1.0,0.0,0.341614906832298,1.0,3.0,0.5929344523427575,0.4070655476572425,1,11000000000000.0
147,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,0.11,0.0,0.0,1.0,2.0,2.0,2.0,0.046875,0.0,0.40625,0.0,0.0,0.654605263157895,1.0,2.0,0.636504709921748,0.36349529007825193,1,8.76837987319278
148,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,65.0,0.09,0.0,6.0,1.0,2.0,6.0,2.0,0.984615384615385,0.0,1.35384615384615,1.0,0.0,0.354938271604938,1.0,3.0,0.5510917222956275,0.4489082777043726,1,7.756643733978228
153,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,71.0,0.09,0.0,88.0,1.0,0.0,0.0,2.0,3.29166666666667,1.0,3.59722222222222,1.0,0.0,0.267241379310345,0.666666666666667,3.0,0.6418408278135642,0.3581591721864357,1,8.431134493454596
193,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,67.0,0.1,0.0,94.0,1.0,3.0,8.0,2.0,3.6865671641791,0.0,2.35820895522388,1.0,0.0,0.351351351351351,1.0,3.0,0.5245564302954435,0.47544356970455653,1,6.744907594763677
199,0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,9.0,43.0,2.0,0.4,0.0,97.0,1.0,2.0,29.0,2.0,3.0,0.0,2.01052631578947,0.0,0.0,0.578005115089514,0.5,2.0,0.5443210987322097,0.4556789012677904,1,18.885741265340418
203,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,12.0,50.0,0.35,0.0,93.0,1.0,5.0,0.0,2.0,2.80769230769231,0.0,1.19230769230769,0.0,0.0,0.724852071005917,1.0,1.0,0.6419142635364102,0.3580857364635898,1,4.721435316334574
205,0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,6.0,12.0,27.0,0.17,0.0,87.0,2.0,0.0,5.0,2.0,4.02777777777778,0.0,6.08333333333333,1.0,0.0,0.75992438563327,0.5,1.0,0.5660620522563452,0.4339379477436548,1,5.058680696072758
215,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,65.0,0.12,0.0,1.0,1.0,4.0,0.0,2.0,1.89393939393939,1.0,1.5,1.0,0.0,0.334365325077399,0.5,1.0,0.5538873747934054,0.4461126252065947,1,6.070416835287309
218,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,7.0,6.0,1.0,0.11,0.0,83.0,3.0,0.0,26.0,2.0,4.53846153846154,0.0,5.5,0.0,0.0,0.252747252747253,0.5,2.0,0.5,0.5,1,4.046944556858661
255,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,53.0,9.0,0.34,0.0,98.0,2.0,0.0,31.0,1.0,4.07017543859649,1.0,2.23684210526316,1.0,0.0,0.538638985005767,0.666666666666667,3.0,0.622684039788155,0.37731596021184494,1,23.607176581675525
271,0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,11.0,14.0,7.0,0.19,0.0,89.0,2.0,2.0,5.0,2.0,4.14893617021277,0.0,5.36170212765957,0.0,0.0,0.347517730496454,0.5,2.0,0.5516861180981179,0.448313881901882,2,9.586314854679443
272,0,16.0,6.0,1.0,1.0,0.0,1.0,3.0,7.0,10.0,44.0,82.0,0.14,0.0,94.0,2.0,1.0,58.0,3.0,4.74561403508772,0.0,7.15789473684211,0.0,0.0,0.367626886145405,0.6,3.0,0.563983467445391,0.4360165325546092,1,8000000000000.0
279,0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,11.0,24.0,0.0,0.06,0.0,95.0,2.0,1.0,48.0,2.0,4.075,0.0,3.825,0.0,0.0,0.240831295843521,0.5,5.0,0.5232814958642373,0.4767185041357626,2,2000000000000.0
286,0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,7.0,4.0,10.0,38.0,0.13,1.0,86.0,2.0,1.0,7.0,2.0,3.36170212765957,0.0,6.04255319148936,0.0,0.0,0.98804780876494,0.5,3.0,0.593430409650349,0.406569590349651,2,12.318185996211303
287,0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,4.0,6.0,12.0,0.11,0.0,84.0,2.0,1.0,2.0,2.0,3.88888888888889,0.0,8.88888888888889,1.0,0.0,0.440318302387268,1.0,2.0,0.665716546036553,0.3342834539634472,1,8.431134493454596
303,0,10.0,0.0,1.0,3.0,0.0,1.0,3.0,5.0,16.0,40.0,17.0,0.12,0.0,95.0,1.0,1.0,72.0,4.0,3.35514018691589,0.0,6.1588785046729,1.0,0.0,0.460674157303371,0.333333333333333,3.0,0.522769256844255,0.47723074315574476,1,14.38913620216413
312,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,8.0,13.0,0.1,0.0,89.0,3.0,0.0,25.0,1.0,3.93333333333333,1.0,4.55,1.0,0.0,0.732348111658456,1.0,3.0,0.5378846254567635,0.4621153745432364,1,10.567021898464281
2171,0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,4.0,17.0,2.0,61.0,0.38,0.0,100.0,3.0,1.0,11.0,3.0,3.6025641025641,0.0,2.67948717948718,1.0,0.0,0.986795774647887,1.0,2.0,0.5,0.5,1,22.258195062712627
92,0,1.0,4.0,1.0,3.0,0.0,8.0,2.0,7.0,24.0,24.0,142.0,1.27,0.0,95.0,1.0,1.0,55.0,6.0,4.58928571428571,0.0,4.27678571428571,0.0,0.0,0.568269230769231,1.0,6.0,0.5173874329862443,0.4826125670137557,1,13.264984936370055
816,0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,4.0,5.0,1.0,43.0,0.12,0.0,87.0,2.0,1.0,2.0,2.0,3.08163265306122,1.0,5.3265306122449,1.0,0.0,0.321789321789322,1.0,3.0,0.5756666868206429,0.42433331317935713,2,11.74563251535126
941,0,10.0,3.0,1.0,3.0,0.0,0.0,3.0,4.0,2.0,48.0,75.0,0.08,0.0,95.0,1.0,0.0,19.0,2.0,3.38888888888889,0.0,3.9,1.0,0.0,0.326880119136262,1.0,0.0,0.5146646989279642,0.4853353010720357,1,3000000000000.0
